m,M,epsilon_of_M,NICV
0.0,0.0,0.25,0.5432550962688545
0.0,0.0,0.25,1.159456288365648
0.0,0.0,0.25,0.5919345604526624
0.0,0.0,0.25,1.0870618885544279
0.0,0.0,0.25,0.8109786932612497
0.0,0.0,0.25,0.6981531536427883
0.0,0.0,0.25,0.4345779620871373
0.0,0.0,0.25,0.4680241227479568
0.0,0.0,0.25,0.7052513279939925
0.0,0.0,0.25,0.8984111847851328
0.0,0.0,0.25,1.102810475158118
0.0,0.0,0.25,0.47277073436705586
0.0,0.0,0.25,0.44798939770149565
0.0,0.0,0.25,0.4747063759950303
0.0,0.0,0.25,0.7086704037340485
0.0,0.0,0.25,0.480615967517848
0.0,0.0,0.25,0.41684575556018966
0.0,0.0,0.25,0.8732183138260896
0.0,0.0,0.25,0.5720546506571964
0.0,0.0,0.25,0.5696874517544643
0.0,0.0,0.25,2.0644617632497564
0.0,0.0,0.25,0.49793102519790183
0.0,0.0,0.25,0.5011576386770603
0.0,0.0,0.25,0.7676597356411237
0.0,0.0,0.25,0.5001218744228166
0.0,0.0,0.25,0.5624758841149016
0.0,0.0,0.25,0.8849690181960788
0.0,0.0,0.25,0.7291024988202062
0.0,0.0,0.25,0.5716440905481657
0.0,0.0,0.25,0.43852983462240924
0.0,0.0,0.25,0.47369084805803063
0.0,0.0,0.25,0.7165260892261995
0.0,0.0,0.25,0.5580851648435364
0.0,0.0,0.25,0.4598410848410462
0.0,0.0,0.25,0.5084508503083169
0.0,0.0,0.25,0.5371773446913224
0.0,0.0,0.25,0.516924454177841
0.0,0.0,0.25,0.8378241489254975
0.0,0.0,0.25,0.5095552941463548
0.0,0.0,0.25,0.45173413615056823
0.0,0.0,0.25,0.6224948116609483
0.0,0.0,0.25,0.560741537978866
0.0,0.0,0.25,0.46412333940579437
0.0,0.0,0.25,0.7269332469613574
0.0,0.0,0.25,0.44848719650489727
0.0,0.0,0.25,0.8445704635006667
0.0,0.0,0.25,0.7374808162063676
0.0,0.0,0.25,0.7695679864216071
0.0,0.0,0.25,0.5819723376406805
0.0,0.0,0.25,0.5232197704614009
0.0,0.0,0.25,0.4879177828205998
0.0,0.0,0.25,0.4518855613888023
0.0,0.0,0.25,0.44496208560038447
0.0,0.0,0.25,0.5662698166368112
0.0,0.0,0.25,0.485807683065876
0.0,0.0,0.25,0.7548516948825109
0.0,0.0,0.25,0.49379875746448365
0.0,0.0,0.25,0.6244165169555136
0.0,0.0,0.25,0.5653535954204453
0.0,0.0,0.25,1.0562085792493872
0.0,0.0,0.25,0.3872921910315773
0.0,0.0,0.25,0.49441900445699155
0.0,0.0,0.25,1.036802194668494
0.0,0.0,0.25,0.7984456397307205
0.0,0.0,0.25,0.45598781222764834
0.0,0.0,0.25,0.6734237477837791
0.0,0.0,0.25,0.8580336062577637
0.0,0.0,0.25,0.5309922676029839
0.0,0.0,0.25,0.5931998833163106
0.0,0.0,0.25,0.544465129271885
0.0,0.0,0.25,0.6727375400675949
0.0,0.0,0.25,0.7887394650556875
0.0,0.0,0.25,0.495510162373924
0.0,0.0,0.25,0.47144404378059823
0.0,0.0,0.25,0.8010433595012582
0.0,0.0,0.25,0.5403634437083041
0.0,0.0,0.25,0.7171740900915805
0.0,0.0,0.25,0.45057794549388075
0.0,0.0,0.25,0.7584823270549421
0.0,0.0,0.25,0.826185506723995
0.0,0.0,0.25,0.7445764871299683
0.0,0.0,0.25,0.6751060201899985
0.0,0.0,0.25,1.0246028848294815
0.0,0.0,0.25,0.6202155870424696
0.0,0.0,0.25,0.9063047943696381
0.0,0.0,0.25,0.4399015996652405
0.0,0.0,0.25,0.6287164235100561
0.0,0.0,0.25,0.6510513245592646
0.0,0.0,0.25,0.6224689676504437
0.0,0.0,0.25,0.5387533770248331
0.0,0.0,0.25,0.5687310256673161
0.0,0.0,0.25,0.5174143671292282
0.0,0.0,0.25,0.5686155584159988
0.0,0.0,0.25,1.1164246010010803
0.0,0.0,0.25,0.48656433477872946
0.0,0.0,0.25,0.9209032573737226
0.0,0.0,0.25,0.6119261838667343
0.0,0.0,0.25,0.6047252131066392
0.0,0.0,0.25,0.7927140017635725
0.0,0.0,0.25,0.6986326113778233
0.0,0.0,0.25,1.460437201007434
0.0,0.0,0.25,0.6083331861532474
0.0,0.0,0.25,0.6441787944175149
0.0,0.0,0.25,0.5445445039893839
0.0,0.0,0.25,1.3967736044170906
0.0,0.0,0.25,0.5704325049162159
0.0,0.0,0.25,0.5253420472896424
0.0,0.0,0.25,0.5516121588868862
0.0,0.0,0.25,0.6576256672240849
0.0,0.0,0.25,0.8820057541763013
0.0,0.0,0.25,0.58744619944337
0.0,0.0,0.25,0.9369481457037435
0.0,0.0,0.25,0.46028453441983125
0.0,0.0,0.25,0.5395723051156355
0.0,0.0,0.25,0.6014816315710224
0.0,0.0,0.25,0.8723257219464144
0.0,0.0,0.25,0.5288584414315068
0.0,0.0,0.25,0.9894348130337397
0.0,0.0,0.25,0.6575902856745472
0.0,0.0,0.25,0.5988829894383102
0.0,0.0,0.25,0.4744261556935133
0.0,0.0,0.25,0.6577492120850283
0.0,0.0,0.25,0.43020983719108885
0.0,0.0,0.25,0.4498143293962425
0.0,0.0,0.25,0.47737520208947304
0.0,0.0,0.25,0.578572347945045
0.0,0.0,0.25,0.5989936592910874
0.0,0.0,0.25,0.5977886648770742
0.0,0.0,0.25,0.7664695138066081
0.0,0.0,0.25,0.5267282353540654
0.0,0.0,0.25,0.6622473506783831
0.0,0.0,0.25,0.7004641693533951
0.0,0.0,0.25,0.7580633174291336
0.0,0.0,0.25,0.5074926491241298
0.0,0.0,0.25,1.739145760039451
0.0,0.0,0.25,0.589522882740874
