m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.25,0.6676433986192365
0.01,0.01,0.25,0.686928142039344
0.02,0.02,0.25,0.6640535649899102
0.03,0.03,0.25,0.668291986956794
0.04,0.04,0.25,0.6660760139024074
0.05,0.05,0.25,0.6592510316560025
0.06,0.06,0.25,0.6652113098570669
0.07,0.07,0.25,0.6827162557883012
0.08,0.08,0.25,0.6653076524629868
0.09,0.09,0.25,0.6475954451811656
0.1,0.1,0.25,0.6614914952449262
0.11,0.11,0.25,0.6684904156360485
0.12,0.12,0.25,0.6933518128947553
0.13,0.13,0.25,0.6599669400303312
0.14,0.14,0.25,0.6866400159538439
0.15,0.15,0.25,0.654645189546881
0.16,0.16,0.25,0.6645991346683665
0.17,0.17,0.25,0.6676780093503368
0.18,0.18,0.25,0.6654335226132824
0.19,0.19,0.25,0.6668460127505681
0.2,0.2,0.25,0.645521451302821
0.21,0.21,0.25,0.6690117204355072
0.22,0.22,0.25,0.6822450635789082
0.23,0.23,0.25,0.6892860631946577
0.24,0.24,0.25,0.6607394715199886
0.25,0.25,0.25,0.6641818577079867
0.26,0.26,0.25,0.6666870470152774
0.27,0.27,0.25,0.6601726548189704
0.28,0.28,0.25,0.6823056922382922
0.29,0.29,0.25,0.6752735524131452
0.3,0.3,0.25,0.6779350646975494
0.31,0.31,0.25,0.669534843940453
0.32,0.32,0.25,0.6626161657881321
0.33,0.33,0.25,0.6584199015356489
0.34,0.34,0.25,0.6768002993707415
0.35,0.35,0.25,0.652975422511189
0.36,0.36,0.25,0.6822528805477436
0.37,0.37,0.25,0.6715061882853683
0.38,0.38,0.25,0.6626451507487741
0.39,0.39,0.25,0.6605523401251715
0.4,0.4,0.25,0.6749582569634981
0.41,0.41,0.25,0.6554903549102274
0.42,0.42,0.25,0.6605885517417217
0.43,0.43,0.25,0.6724544426177118
0.44,0.44,0.25,0.666630526392041
0.45,0.45,0.25,0.6594961940591556
0.46,0.46,0.25,0.6666912462102346
0.47,0.47,0.25,0.6719646354999563
0.48,0.48,0.25,0.6641233370168427
0.49,0.49,0.25,0.6850387526254562
0.5,0.5,0.25,0.6475389845469649
0.51,0.51,0.25,0.6527866976383617
0.52,0.52,0.25,0.6700265242436457
0.53,0.53,0.25,0.6600168135274935
0.54,0.54,0.25,0.6827656579729255
0.55,0.55,0.25,0.6660579781311909
0.56,0.56,0.25,0.6491225545040684
0.57,0.57,0.25,0.6767175964711207
0.58,0.58,0.25,0.6825622664891399
0.59,0.59,0.25,0.6701993509257036
0.6,0.6,0.25,0.671857873551371
0.61,0.61,0.25,0.6690674901894671
0.62,0.62,0.25,0.6770750601931879
0.63,0.63,0.25,0.6563610184957531
0.64,0.64,0.25,0.6594882666798502
