m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.24999999999999994,0.6667565149709632
0.01,0.01,0.2477855577623473,0.6619809057247426
0.02,0.02,0.24556620088507244,0.6951750375423642
0.03,0.03,0.2433419075049566,0.6838386383001585
0.04,0.04,0.2411126556125652,0.6716051877454965
0.05,0.05,0.23887842305094018,0.6981587534034679
0.06,0.06,0.23663918751428026,0.7172358893651443
0.07,0.07,0.23439492654660346,0.6775943210557211
0.08,0.08,0.2321456175403962,0.7234678143431088
0.09,0.09,0.229891237735247,0.7221463730447469
0.1,0.1,0.2276317642164649,0.7167673463436648
0.11,0.11,0.22536717391368066,0.7195406749661664
0.12,0.12,0.22309744359943545,0.7161425721671423
0.13,0.13,0.22082254988774924,0.7291527478271521
0.14,0.14,0.21854246923267656,0.7575250670618343
0.15,0.15,0.216257177926844,0.7489515277923576
0.16,0.16,0.21396665209996982,0.7563188302288465
0.17,0.17,0.21167086771737015,0.7670354745715915
0.18,0.18,0.2093698005784441,0.8126723858154872
0.19,0.19,0.20706342631514338,0.7745894360385188
0.2,0.2,0.20475172039042486,0.7821868611672369
0.21,0.21,0.20243465809668282,0.8412866192459015
0.22,0.22,0.20011221455416608,0.8125396657211204
0.23,0.23,0.19778436470937377,0.8239604365018978
0.24,0.24,0.19545108333343392,0.8356756778642667
0.25,0.25,0.19311234502046387,0.830577023526546
0.26,0.26,0.19076812418590924,0.8628852296738069
0.27,0.27,0.18841839506486482,0.8603228365014158
0.28,0.28,0.18606313171037664,0.8911822281437847
0.29,0.29,0.18370230799172074,0.8638169380536607
0.3,0.3,0.1813358975926658,0.8901203434310503
0.31,0.31,0.17896387400971187,0.9632562172319861
0.32,0.32,0.17658621055030907,0.9173060272949999
0.33,0.33,0.1742028803310564,0.9485185688938927
0.34,0.34,0.17181385627587667,0.9000583759523904
0.35,0.35,0.16941911111417207,0.9294107118838321
0.36,0.36,0.16701861737895565,0.9368602405713378
0.37,0.37,0.16461234740496086,0.9719784156688525
0.38,0.38,0.1622002733267292,1.0666294223921244
0.39,0.39,0.159782367076674,1.0472325483630565
0.4,0.4,0.1573586003831194,1.0538891166157418
0.41,0.41,0.1549289447683191,1.0444098982994767
0.42,0.42,0.15249337154644674,1.0347114404958966
0.43,0.43,0.15005185182156497,1.1109963125491131
0.44,0.44,0.14760435648556838,1.1410772578655142
0.45,0.45,0.14515085621610022,1.129467663704568
0.46,0.46,0.14269132147444627,1.1846122475347365
0.47,0.47,0.14022572250339935,1.1832919582487176
0.48,0.48,0.13775402932510028,1.182503975167736
0.49,0.49,0.13527621173885068,1.2093371318120245
