m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.25,0.06312366770623234
0.01,0.01,0.25,0.09251596822677216
0.02,0.02,0.25,0.058447361506820616
0.03,0.03,0.25,0.0757413988345806
0.04,0.04,0.25,0.06397317443688372
0.05,0.05,0.25,0.06243977572004018
0.06,0.06,0.25,0.059640492873248525
0.07,0.07,0.25,0.06476449700589197
0.08,0.08,0.25,0.0530145445668731
0.09,0.09,0.25,0.04790914826959863
0.1,0.1,0.25,0.06488609291613202
0.11,0.11,0.25,0.07367371166380254
0.12,0.12,0.25,0.08369913193265983
0.13,0.13,0.25,0.06157371311394948
0.14,0.14,0.25,0.09519286186244207
0.15,0.15,0.25,0.052270322501149734
0.16,0.16,0.25,0.07035088453482571
0.17,0.17,0.25,0.06677181476215675
0.18,0.18,0.25,0.07266029975581995
0.19,0.19,0.25,0.07746070250810608
0.2,0.2,0.25,0.04945147555681796
0.21,0.21,0.25,0.06628536726659415
0.22,0.22,0.25,0.06745484581511413
0.23,0.23,0.25,0.08313328506307868
0.24,0.24,0.25,0.06045192465331595
0.25,0.25,0.25,0.06489373374600772
0.26,0.26,0.25,0.057950930395160145
0.27,0.27,0.25,0.061017735528478466
0.28,0.28,0.25,0.06850051983454393
0.29,0.29,0.25,0.0833425401229615
0.3,0.3,0.25,0.06484877659371655
0.31,0.31,0.25,0.09398644449407906
0.32,0.32,0.25,0.07621222085180461
0.33,0.33,0.25,0.05389589995820359
0.34,0.34,0.25,0.07182978511697952
0.35,0.35,0.25,0.05750380175531785
0.36,0.36,0.25,0.1529030861338496
0.37,0.37,0.25,0.0697286690905338
0.38,0.38,0.25,0.0752370100348287
0.39,0.39,0.25,0.05643410039284458
0.4,0.4,0.25,0.07522107986296987
0.41,0.41,0.25,0.06317434451607645
0.42,0.42,0.25,0.06728188239947056
0.43,0.43,0.25,0.06480198160210424
0.44,0.44,0.25,0.1011207254650373
0.45,0.45,0.25,0.05805262484468355
0.46,0.46,0.25,0.1119534790646249
0.47,0.47,0.25,0.08321862474360504
0.48,0.48,0.25,0.06479715429257814
0.49,0.49,0.25,0.07462453494738508
0.5,0.5,0.25,0.06053554779588761
0.51,0.51,0.25,0.07981928317858249
0.52,0.52,0.25,0.08936905717213993
0.53,0.53,0.25,0.05696754365174429
0.54,0.54,0.25,0.07525576996266473
0.55,0.55,0.25,0.07850771480331288
0.56,0.56,0.25,0.04661343746723642
0.57,0.57,0.25,0.07960123943085068
0.58,0.58,0.25,0.07805947612069242
0.59,0.59,0.25,0.07684145573811553
0.6,0.6,0.25,0.06498601514787183
0.61,0.61,0.25,0.06945398672552325
0.62,0.62,0.25,0.07097067576890018
0.63,0.63,0.25,0.07901568410567177
0.64,0.64,0.25,0.06616974906768126
0.65,0.65,0.25,0.0508706645947753
0.66,0.66,0.25,0.07792290158019655
0.67,0.67,0.25,0.055810460958795174
0.68,0.68,0.25,0.06498928027936104
0.69,0.69,0.25,0.06569323288606344
0.7,0.7,0.25,0.15289609616051197
0.71,0.71,0.25,0.06191449633109451
0.72,0.72,0.25,0.060062376465915904
0.73,0.73,0.25,0.06430380816277972
0.74,0.74,0.25,0.064463558712438
0.75,0.75,0.25,0.06314888996976259
0.76,0.76,0.25,0.08077420255569896
0.77,0.77,0.25,0.08997004233766506
0.78,0.78,0.25,0.09848847170761084
0.79,0.79,0.25,0.05650481662397809
0.8,0.8,0.25,0.06828706135578971
0.81,0.81,0.25,0.0823792559739732
0.82,0.82,0.25,0.08058862618409983
0.83,0.83,0.25,0.07057857981613885
0.84,0.84,0.25,0.07427339018971027
0.85,0.85,0.25,0.06473370154610546
0.86,0.86,0.25,0.057291726160058516
0.87,0.87,0.25,0.06559431919885494
0.88,0.88,0.25,0.06196458842707761
0.89,0.89,0.25,0.07255988446866382
0.9,0.9,0.25,0.06566083664497784
0.91,0.91,0.25,0.06118833615198191
0.92,0.92,0.25,0.0693866120909556
0.93,0.93,0.25,0.06678497248970237
0.94,0.94,0.25,0.07243100265887109
0.95,0.95,0.25,0.06576069092923528
0.96,0.96,0.25,0.06562459932963191
0.97,0.97,0.25,0.07024007448459567
0.98,0.98,0.25,0.08398442211510994
0.99,0.99,0.25,0.06304424531357654
0.1,0.2,0.25,0.05177104168017095
0.1,0.3,0.25,0.0861273464359013
0.1,0.4,0.25,0.07687706511163586
0.1,0.5,0.25,0.07325143271825495
0.1,0.6,0.25,0.15496391275912
0.1,0.7,0.25,0.07080606604537444
0.1,0.8,0.25,0.06458623048676354
0.1,0.9,0.25,0.06805393945905312
0.2,0.3,0.25,0.05597169063878037
0.2,0.4,0.25,0.07420896795347384
0.2,0.5,0.25,0.07483606185415848
0.2,0.6,0.25,0.10330849543136013
0.2,0.7,0.25,0.0675564489654527
0.2,0.8,0.25,0.05904545912223958
0.2,0.9,0.25,0.05169373950792016
0.3,0.4,0.25,0.07313613397797371
0.3,0.5,0.25,0.07773002972461286
0.3,0.6,0.25,0.04989820095725677
0.3,0.7,0.25,0.08223914424698825
0.3,0.8,0.25,0.0636959282415909
0.3,0.9,0.25,0.06249200102205994
0.4,0.5,0.25,0.06525842484452993
