m,M,epsilon_of_M,NICV
0.0,0.0,0.25,0.9112500521811462
0.0,0.0,0.25,0.4752655284908959
0.0,0.0,0.25,0.8754450415179756
0.0,0.0,0.25,0.4131821986555668
0.0,0.0,0.25,0.7598690987913942
0.0,0.0,0.25,0.5846760340801322
0.0,0.0,0.25,0.5425509267640354
0.0,0.0,0.25,0.42913511084756634
0.0,0.0,0.25,0.5362121461252375
0.0,0.0,0.25,0.5386048995528577
0.0,0.0,0.25,0.49362837622971895
0.0,0.0,0.25,1.1390136634032295
0.0,0.0,0.25,0.9706471320458449
0.0,0.0,0.25,1.457366948616434
0.0,0.0,0.25,0.6694228808979624
0.0,0.0,0.25,0.6101894762293704
0.0,0.0,0.25,0.7915789748372504
0.0,0.0,0.25,0.5762217767371344
0.0,0.0,0.25,0.6214110384542515
0.0,0.0,0.25,0.47843739406833197
0.0,0.0,0.25,0.46641112989131056
0.0,0.0,0.25,0.9171596805738101
0.0,0.0,0.25,0.5646739994604111
0.0,0.0,0.25,0.5593112421743297
0.0,0.0,0.25,1.3635064218586175
0.0,0.0,0.25,1.138930962295622
0.0,0.0,0.25,0.4903291373893932
0.0,0.0,0.25,0.4582672653969222
0.0,0.0,0.25,1.0169347432839904
0.0,0.0,0.25,0.5536500797764511
0.0,0.0,0.25,0.5549699405575717
0.0,0.0,0.25,0.6009311175535493
0.0,0.0,0.25,0.5913769063043658
0.0,0.0,0.25,0.6063025336127474
0.0,0.0,0.25,0.9965803784007007
0.0,0.0,0.25,0.5934243366670844
0.0,0.0,0.25,0.4429072455385468
0.0,0.0,0.25,0.608933620367066
0.0,0.0,0.25,0.953763199586319
0.0,0.0,0.25,0.6439012821659957
0.0,0.0,0.25,0.39491937690028206
0.0,0.0,0.25,0.6172972852090537
0.0,0.0,0.25,0.967618825763281
0.0,0.0,0.25,1.1983782163506123
0.0,0.0,0.25,0.8107177442049703
0.0,0.0,0.25,0.5139161809998446
0.0,0.0,0.25,0.8337521462247632
0.0,0.0,0.25,1.1114468151002534
0.0,0.0,0.25,0.4844193727708703
0.0,0.0,0.25,1.2341539100376622
0.0,0.0,0.25,0.5965040729435042
0.0,0.0,0.25,0.6493218528005715
0.0,0.0,0.25,0.40961416223891234
0.0,0.0,0.25,0.6692337238948434
0.0,0.0,0.25,0.4308594425481118
0.0,0.0,0.25,0.5590918886082471
0.0,0.0,0.25,0.4655072431146199
0.0,0.0,0.25,0.4619298186301372
0.0,0.0,0.25,0.48079641554358515
0.0,0.0,0.25,0.4367989893999252
0.0,0.0,0.25,0.8883481338709069
0.0,0.0,0.25,1.5093415964817167
0.0,0.0,0.25,0.4310120226491508
0.0,0.0,0.25,0.4868509616085959
0.0,0.0,0.25,0.7415055179229865
0.0,0.0,0.25,0.6186029929203272
0.0,0.0,0.25,0.5518094396889848
0.0,0.0,0.25,0.4453063831808084
0.0,0.0,0.25,0.5391731030487368
0.0,0.0,0.25,0.8507386636387675
0.0,0.0,0.25,0.46994169370493494
0.0,0.0,0.25,0.5550860446407162
0.0,0.0,0.25,0.4822967128175771
0.0,0.0,0.25,0.43694169123345233
0.0,0.0,0.25,0.435298507710598
0.0,0.0,0.25,0.49384030862114864
0.0,0.0,0.25,0.6454150935953988
0.0,0.0,0.25,0.4634416070749163
0.0,0.0,0.25,0.7296982076288208
0.0,0.0,0.25,0.7308960998234608
0.0,0.0,0.25,0.5004271084167037
0.0,0.0,0.25,0.3888000591490469
0.0,0.0,0.25,0.6684189699290347
0.0,0.0,0.25,0.5567911846198415
0.0,0.0,0.25,1.5749012035753034
0.0,0.0,0.25,0.5400335219058815
0.0,0.0,0.25,0.4603554632663245
0.0,0.0,0.25,0.8185369053244765
0.0,0.0,0.25,1.8121642434967502
0.0,0.0,0.25,0.5768237649771907
0.0,0.0,0.25,0.615459010083471
0.0,0.0,0.25,0.5464950586077139
0.0,0.0,0.25,0.9960217885692279
0.0,0.0,0.25,0.5753127280992669
0.0,0.0,0.25,0.5742909429623272
0.0,0.0,0.25,0.5634995739457727
0.0,0.0,0.25,0.4821719300437856
0.0,0.0,0.25,0.6257682416955005
0.0,0.0,0.25,0.7239020002664048
0.0,0.0,0.25,0.43552684514463763
0.0,0.0,0.25,1.0442164260880609
0.0,0.0,0.25,0.4576584031727076
0.0,0.0,0.25,0.531833999114426
0.0,0.0,0.25,0.7817104546283877
0.0,0.0,0.25,0.5308263542507151
0.0,0.0,0.25,1.455720374032493
0.0,0.0,0.25,0.48657282592899226
0.0,0.0,0.25,0.4305594808727959
0.0,0.0,0.25,0.6119105843454513
0.0,0.0,0.25,0.651543036191366
0.0,0.0,0.25,0.43918699688566204
0.0,0.0,0.25,0.7858249104962597
0.0,0.0,0.25,0.4792071657427468
