m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.25,0.6756991002062138
0.01,0.01,0.25,0.6732643163251987
0.02,0.02,0.25,0.6730477378815656
0.03,0.03,0.25,0.6906426952544015
0.04,0.04,0.25,0.6857332412556609
0.05,0.05,0.25,0.6979768604197704
0.06,0.06,0.25,0.7090183686713977
0.07,0.07,0.25,0.6945104077003871
0.08,0.08,0.25,0.7098441558484183
0.09,0.09,0.25,0.706451602833178
0.1,0.1,0.25,0.7243680658892951
0.11,0.11,0.25,0.7392640512111937
0.12,0.12,0.25,0.7484544480514167
0.13,0.13,0.25,0.7358515924829128
0.14,0.14,0.25,0.8163450042626887
0.15,0.15,0.25,0.7811874676308023
0.16,0.16,0.25,0.7651692895343106
0.17,0.17,0.25,0.7785247387220418
0.18,0.18,0.25,0.7998977798260787
0.19,0.19,0.25,0.7919012083071758
0.2,0.2,0.25,0.8291744987984464
0.21,0.21,0.25,0.8112784510345739
0.22,0.22,0.25,0.8316727485517021
0.23,0.23,0.25,0.8606809684919867
0.24,0.24,0.25,0.8379122243452373
0.25,0.25,0.25,0.8630093925193054
0.26,0.26,0.25,0.8765863276088962
0.27,0.27,0.25,0.884192228362139
0.28,0.28,0.25,0.8756410147987526
0.29,0.29,0.25,0.9189347571970607
0.3,0.3,0.25,0.9301304822302402
0.31,0.31,0.25,0.9463302111890503
0.32,0.32,0.25,0.9573379179941424
0.33,0.33,0.25,0.9603738852336422
0.34,0.34,0.25,0.9998645268342677
0.35,0.35,0.25,1.0261649125047752
0.36,0.36,0.25,1.0388665999777902
0.37,0.37,0.25,1.029541471642238
0.38,0.38,0.25,0.9912652982478259
0.39,0.39,0.25,1.027812332038459
0.4,0.4,0.25,1.1229682063523778
0.41,0.41,0.25,1.0924888646405635
0.42,0.42,0.25,1.1441486465013648
0.43,0.43,0.25,1.129529265851571
0.44,0.44,0.25,1.1540816928170392
0.45,0.45,0.25,1.1980593029995472
0.46,0.46,0.25,1.2112825304358044
0.47,0.47,0.25,1.2599351674676347
