m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.24999999999999994,0.6627111270816195
0.01,0.01,0.252231843108818,0.6758572996639138
0.02,0.02,0.2545041109790552,0.6791343502760988
0.03,0.03,0.2568179179810562,0.6947224902951983
0.04,0.04,0.2591744200495381,0.6843037094383028
0.05,0.05,0.26157481665031834,0.6651394135129381
0.06,0.06,0.2640203528603893,0.6751512577732777
0.07,0.07,0.26651232156907717,0.6752573484894747
0.08,0.08,0.2690520658086282,0.655533328498263
0.09,0.09,0.27164098122324504,0.6843615534542875
0.1,0.1,0.27428051868631076,0.670026667014559
0.11,0.11,0.2769721870763485,0.6784953112941158
0.12,0.12,0.2797175562231261,0.683559540318352
0.13,0.13,0.2825182600362664,0.7074421955711555
0.14,0.14,0.28537599982977657,0.6731113001054388
0.15,0.15,0.2882925478570475,0.6634251900242542
0.16,0.16,0.2912697510721274,0.6679838082791376
0.17,0.17,0.29430953513446373,0.6714704504143706
0.18,0.18,0.29741390867581596,0.6755299296567773
0.19,0.19,0.3005849678497158,0.6813189403502995
0.2,0.2,0.30382490118569716,0.6770190319081205
0.21,0.21,0.30713599477254494,0.6843177208348973
0.22,0.22,0.31052063779706046,0.689809228348065
0.23,0.23,0.3139813284673266,0.6766163844703352
0.24,0.24,0.3175206803522031,0.7060458405751908
0.25,0.25,0.3211414291718321,0.6794784655115798
0.26,0.26,0.3248464400773246,0.6936559885627472
0.27,0.27,0.3286387154615538,0.6814936182679762
0.28,0.28,0.33252140334718094,0.6922698367991743
0.29,0.29,0.336497806402695,0.7004732716066305
0.3,0.3,0.34057139164247785,0.675041075734677
0.31,0.31,0.34474580087270945,0.6870952246615596
0.32,0.32,0.349024861951473,0.6860961536352143
0.33,0.33,0.35341260093871385,0.6886800075668134
0.34,0.34,0.357913255219926,0.6840517850260063
0.35,0.35,0.36253128769667475,0.6895229222673188
0.36,0.36,0.36727140214746473,0.6904668185208279
0.37,0.37,0.3721385598742083,0.7007503797166021
0.38,0.38,0.377137997762821,0.6927274259391595
0.39,0.39,0.38227524790151096,0.7093833177322281
0.4,0.4,0.38755615891737866,0.7084043791699202
0.41,0.41,0.39298691921135254,0.692707405812899
0.42,0.42,0.39857408229356917,0.7254411249915464
0.43,0.43,0.40432459444653623,0.7387352095574241
