m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.25,0.08444437943809736
0.01,0.01,0.25,0.06452166287945149
0.02,0.02,0.25,0.06514158890288833
0.03,0.03,0.25,0.07996120597069507
0.04,0.04,0.25,0.0728643036697201
0.05,0.05,0.25,0.09122160101090815
0.06,0.06,0.25,0.09774120050317475
0.07,0.07,0.25,0.08385756808614157
0.08,0.08,0.25,0.08144146648615241
0.09,0.09,0.25,0.07798571573156723
0.1,0.1,0.25,0.08592784848395535
0.11,0.11,0.25,0.13486622526715125
0.12,0.12,0.25,0.14555812514184735
0.13,0.13,0.25,0.09999354096710543
0.14,0.14,0.25,0.38896328864684554
0.15,0.15,0.25,0.14483017148186697
0.16,0.16,0.25,0.11449189336836776
0.17,0.17,0.25,0.1292285952989213
0.18,0.18,0.25,0.14024038075281306
0.19,0.19,0.25,0.15709560071460363
0.2,0.2,0.25,0.28374434137915544
0.21,0.21,0.25,0.15525092974065227
0.22,0.22,0.25,0.18882659677631994
0.23,0.23,0.25,0.1785415483944744
0.24,0.24,0.25,0.15484179471379284
0.25,0.25,0.25,0.17784899294706313
0.26,0.26,0.25,0.20560957597385515
0.27,0.27,0.25,0.2388720702281837
0.28,0.28,0.25,0.21937328208093823
0.29,0.29,0.25,0.313442400637785
0.3,0.3,0.25,0.26800472138643305
0.31,0.31,0.25,0.25151103902577115
0.32,0.32,0.25,0.30481544834234753
0.33,0.33,0.25,0.3653399753171586
0.34,0.34,0.25,0.3414108959026319
0.35,0.35,0.25,0.4546170379136012
0.36,0.36,0.25,0.24377144766367034
0.37,0.37,0.25,0.4057877279793213
0.38,0.38,0.25,0.23194400610724486
0.39,0.39,0.25,0.29073185461536694
0.4,0.4,0.25,0.48095153783618333
0.41,0.41,0.25,0.34382439658228175
0.42,0.42,0.25,0.5505468055650183
0.43,0.43,0.25,0.4118507762174433
0.44,0.44,0.25,0.4666960771701263
0.45,0.45,0.25,0.5590148756938477
0.46,0.46,0.25,0.4875026411214681
0.47,0.47,0.25,0.540521552662171
0.48,0.48,0.25,0.5541403661750338
0.49,0.49,0.25,0.4660780986552673
0.5,0.5,0.25,0.5893028847968714
0.51,0.51,0.25,0.6061341402347802
0.52,0.52,0.25,0.5584356713132268
0.53,0.53,0.25,0.8052791942114897
0.54,0.54,0.25,0.743812393550162
0.55,0.55,0.25,0.5872204846461389
0.56,0.56,0.25,0.770948263611551
0.57,0.57,0.25,0.7623718745169795
0.58,0.58,0.25,0.7995382535752112
0.59,0.59,0.25,0.7618322842703654
0.6,0.6,0.25,0.8112583996115622
0.61,0.61,0.25,0.9639871768343953
0.62,0.62,0.25,0.9626976684414451
0.63,0.63,0.25,0.8965064187972374
0.64,0.64,0.25,1.084969681262503
0.65,0.65,0.25,1.0933541510854408
0.66,0.66,0.25,0.9304114333265481
0.67,0.67,0.25,1.265006588973428
0.68,0.68,0.25,1.3159270611001217
0.69,0.69,0.25,1.081881673056001
0.7,0.7,0.25,1.2266383644366032
0.71,0.71,0.25,1.4117838742454816
0.72,0.72,0.25,1.2860712188469277
0.73,0.73,0.25,1.4219559844003717
0.74,0.74,0.25,1.50222960929036
0.75,0.75,0.25,1.4689748877938078
0.76,0.76,0.25,1.3897055018134659
0.77,0.77,0.25,1.4393342681303516
0.78,0.78,0.25,1.5279458086786988
0.79,0.79,0.25,1.405079117429147
0.8,0.8,0.25,1.5693294401996796
0.81,0.81,0.25,1.614928292557835
0.82,0.82,0.25,1.5145909493256158
0.83,0.83,0.25,1.841737062046343
0.84,0.84,0.25,1.4820055092920208
0.85,0.85,0.25,1.6829705835362818
0.86,0.86,0.25,1.9361525648867142
0.87,0.87,0.25,1.4639734504195898
0.88,0.88,0.25,1.7189637597181033
0.89,0.89,0.25,1.777720952351655
0.9,0.9,0.25,1.6035297252654206
0.91,0.91,0.25,1.7160956582578426
0.92,0.92,0.25,1.9521045337871348
0.93,0.93,0.25,1.4909696113743873
0.94,0.94,0.25,1.8601550263599382
0.95,0.95,0.25,1.7612844808846093
0.96,0.96,0.25,2.0462425054970352
0.97,0.97,0.25,1.5576304867838535
0.98,0.98,0.25,1.4941693146063573
0.99,0.99,0.25,1.800518287153651
0.1,0.2,0.25,0.12880703861896597
0.1,0.3,0.25,0.11298541935414244
0.1,0.4,0.25,0.12290777638183505
0.1,0.5,0.25,0.1386657361791633
0.1,0.6,0.25,0.17173821859380506
0.1,0.7,0.25,0.19199601916239847
0.1,0.8,0.25,0.13629569776968337
0.1,0.9,0.25,0.19312364453820313
0.2,0.3,0.25,0.17607645566483393
0.2,0.4,0.25,0.2270472308135012
0.2,0.5,0.25,0.20514566864304357
0.2,0.6,0.25,0.25921373643587414
0.2,0.7,0.25,0.1982676063885818
0.2,0.8,0.25,0.2538491433877148
0.2,0.9,0.25,0.28417102858614635
0.3,0.4,0.25,0.28021521683118633
0.3,0.5,0.25,0.2855591608509803
0.3,0.6,0.25,0.2384749328417307
0.3,0.7,0.25,0.25352888072574326
0.3,0.8,0.25,0.3157366105865897
0.3,0.9,0.25,0.33580072156989343
0.4,0.5,0.25,0.4069794530197158
0.4,0.6,0.25,0.4330895001330885
0.4,0.7,0.25,0.606025439401261
0.4,0.8,0.25,0.5753215375630634
0.4,0.9,0.25,0.555319992282902
0.5,0.6,0.25,0.7145428047737875
0.5,0.7,0.25,0.6319485263282628
0.5,0.8,0.25,0.6828440294532725
0.5,0.9,0.25,0.6976044213243501
0.6,0.7,0.25,0.987926199139782
0.6,0.8,0.25,0.891858393026554
0.6,0.9,0.25,1.2114385116785393
0.7,0.8,0.25,1.4523593839935254
0.7,0.9,0.25,1.4847477298865592
0.8,0.9,0.25,1.7941445757635484
