m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.008055701586977326,0.0049322715376169946,-0.0089425852352506
0.01,0.01,0.013663825714145372,0.011070842375430212,-0.011283410600456123
0.02,0.02,-0.008994172891655383,-0.015080785286188614,0.022127299660798627
0.03,0.03,-0.022350708297607436,-0.026430503338404243,-0.006804056954243021
0.04,0.04,-0.01965722735325348,-0.018227695535895316,-0.01412805351016444
0.05,0.05,-0.038725828763767844,-0.005888381856935632,0.00018189298369752915
0.06,0.06,-0.04380705881433078,-0.009939947916210778,0.008217520693746594
0.07,0.07,-0.011794151912085882,0.007458907298826478,-0.01691608664466593
0.08,0.08,-0.04453650338543147,0.009774323964723886,0.013623658494690494
0.09,0.09,-0.05885615765201235,-0.03676610827312188,0.015694770211568954
0.1,0.1,-0.06287657064436891,-0.00853517176963281,-0.007600719545630352
0.11,0.11,-0.07077363557514516,-0.010004895658067281,-0.01972337624502729
0.12,0.12,-0.05510263515666136,0.00979227257640336,-0.03231187588427442
0.13,0.13,-0.07588465245258158,-0.047475255540824324,-0.00669884465576065
0.14,0.14,-0.1297049883088448,0.013528715848405093,-0.05881993720085443
0.15,0.15,-0.12654227808392127,-0.008780000477373151,-0.03223593983844464
0.16,0.16,-0.10057015486594412,-0.003384673610771105,-0.008850459305464131
0.17,0.17,-0.11084672937170492,-0.003792441064033758,-0.011489264150450262
0.18,0.18,-0.1344642572127963,-0.010096407043494904,0.012774605989408494
0.19,0.19,-0.1250551955566077,-0.0144729275997314,-0.01731177226865699
0.2,0.2,-0.1836530474956254,-0.0314975806052995,-0.0469876376312095
0.21,0.21,-0.1422667305990667,-0.015306000399390118,0.03000816821132768
0.22,0.22,-0.1494276849727939,-0.007564164769156778,-0.019133082830581793
0.23,0.23,-0.17139490529732904,0.012669678724322453,-0.036720531990088956
0.24,0.24,-0.1771727528252487,-0.045306369055202245,-0.0022365464809706026
0.25,0.25,-0.19882753481131876,-0.015296607803593099,-0.032432368992759364
0.26,0.26,-0.20989928059361884,-0.02696894154746987,-0.013701097935089335
0.27,0.27,-0.2240195735431686,-0.021320963449005803,-0.02386939186072312
0.28,0.28,-0.19333532256046038,-0.009964144560882127,0.015541213345032112
0.29,0.29,-0.2436612047839155,-0.025199719193485293,-0.05511781914340008
0.3,0.3,-0.2521954175326908,0.002893988962872407,-0.04001013879918991
0.31,0.31,-0.2767953672485973,-0.01756038072110655,0.016926006042935593
0.32,0.32,-0.29472175220601027,-0.023479987847082162,-0.04003189069914237
0.33,0.33,-0.3019539836979933,-0.03026010603116447,-0.011855316339749344
0.34,0.34,-0.32306422746352614,-0.007251485655264789,-0.09980615088187728
0.35,0.35,-0.37318948999358614,-0.03654749975612981,-0.0967542006209432
0.36,0.36,-0.3566137194300466,-0.00821393797308434,-0.10200635940645242
