m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.5,0.004345766322442992
0.01,0.01,0.49605754532553353,0.006241489696445244
0.02,0.02,0.4920994861619237,0.006405449767050723
0.03,0.03,0.48812569849099385,0.0059156083301168646
0.04,0.04,0.4841360568101951,0.006339994727895971
0.05,0.05,0.48013043410882683,0.0047613178584341755
0.06,0.06,0.4761087018437724,0.006604394819933762
0.07,0.07,0.4720707299147485,0.005626772353569037
0.08,0.08,0.4680163866390518,0.007891771275823387
0.09,0.09,0.46394553872579114,0.028199211409326973
0.1,0.1,0.45985805124959506,0.007113099696280413
0.11,0.11,0.45575378762377566,0.007451856343631836
0.12,0.12,0.45163260957294576,0.00651664758454484
0.13,0.13,0.44749437710506174,0.008040573958340461
0.14,0.14,0.44333894848289374,0.005804425367116965
0.15,0.15,0.43916618019489273,0.006195379578518079
0.16,0.16,0.43497592692545334,0.007826244782433565
0.17,0.17,0.43076804152454756,0.012199311418085366
0.18,0.18,0.4265423749767188,0.007690943198576466
0.19,0.19,0.4222987763694164,0.008870868487509606
0.2,0.2,0.4180370928606561,0.010341520140448226
0.21,0.21,0.4137571696459893,0.010617786986052428
0.22,0.22,0.4094588499247608,0.011667467310272694
0.23,0.23,0.40514197486564013,0.010674857571412505
0.24,0.24,0.40080638357140336,0.01405340704468464
0.25,0.25,0.3964519130429505,0.01069233672238056
0.26,0.26,0.3920783981425341,0.012839900070041306
0.27,0.27,0.38768567155618155,0.011954851194125189
0.28,0.28,0.3832735637552874,0.01033646092452634
0.29,0.29,0.3788419029573562,0.018805316706960253
0.3,0.3,0.37439051508586846,0.019763061276580365
0.31,0.31,0.3699192237292539,0.012657650309297603
0.32,0.32,0.36542785009893863,0.0426606539165696
0.33,0.33,0.36091621298644966,0.01973516780980081
0.34,0.34,0.35638412871954467,0.014909315032349574
0.35,0.35,0.35183141111734534,0.017561979006835156
0.36,0.36,0.3472578714444431,0.0203093662238395
0.37,0.37,0.3426633183639511,0.01820347834753678
0.38,0.38,0.3380475578894727,0.0178116486985303
0.39,0.39,0.33341039333595685,0.03035430243857385
0.4,0.4,0.3287516252694073,0.018738442094347843
0.41,0.41,0.324071051455416,0.02874754119622872
0.42,0.42,0.3193684668064857,0.02484985275491836
0.43,0.43,0.3146436633281093,0.02871240902156427
0.44,0.44,0.30989643006356743,0.04358230859853332
0.45,0.45,0.30512655303741093,0.037571205499414846
0.46,0.46,0.3003338151975887,0.04345457278854189
0.47,0.47,0.29551799635618126,0.03257900249487357
0.48,0.48,0.2906788731287013,0.04332053635099982
0.49,0.49,0.2858162188719178,0.048062196189023666
0.5,0.5,0.28092980362016146,0.0388539022998252
0.51,0.51,0.2760193940200654,0.053759162951122465
0.52,0.52,0.27108475326369763,0.04159748156370577
0.53,0.53,0.2661256410200323,0.11988646351353512
0.54,0.54,0.26114181336471715,0.06288932069465092
0.55,0.55,0.2561330227080783,0.053070343441748186
0.56,0.56,0.2510990177213167,0.1486796417647721
0.57,0.57,0.24603954326083285,0.0848707448380027
0.58,0.58,0.24095434029063204,0.08218529644529399
0.59,0.59,0.23584314580274376,0.0778075778545007
0.6,0.6,0.2307056927355977,0.07754860686515312
0.61,0.61,0.22554170989029212,0.12203694915524423
0.62,0.62,0.22035092184468896,0.10859376756467334
0.63,0.63,0.2151330488652684,0.10846692984984257
