m,M,epsilon_of_M,stat_NICV
0.0,0.0,0.5,0.005740484617938788
0.01,0.01,0.5039665605676084,0.003451574207567643
0.02,0.02,0.5079979177547899,0.004832697983532505
0.03,0.03,0.5120957059628882,0.004132080904279078
0.04,0.04,0.5162616161383375,0.004114434244856523
0.05,0.05,0.5204973982856399,0.004984009675773246
0.06,0.06,0.524804864117896,0.0037958096509059557
0.07,0.07,0.5291858898538833,0.005401525243146303
0.08,0.08,0.5336424191713875,0.0043430508272924604
0.09,0.09,0.5381764663272126,0.0066157331824889315
0.1,0.1,0.5427901194551419,0.004731905367725684
0.11,0.11,0.5474855440539914,0.004694731683619281
0.12,0.12,0.5522649866788762,0.005113972665383827
0.13,0.13,0.5571307788498734,0.004860756472385333
0.14,0.14,0.5620853411934147,0.004875245277522727
0.15,0.15,0.5671311878330225,0.004796838823825721
0.16,0.16,0.5722709310473791,0.006446017899782547
0.17,0.17,0.5775072862152558,0.006176148649077329
0.18,0.18,0.5828430770684829,0.005702955122659099
0.19,0.19,0.5882812412759918,0.006227628534724735
0.2,0.2,0.5938248363839753,0.004323170099106975
0.21,0.21,0.5994770461394302,0.005973396418685977
0.22,0.22,0.605241187226804,0.007261272769999574
0.23,0.23,0.6111207164501729,0.005933245940531046
0.24,0.24,0.6171192383963631,0.005629694922072498
0.25,0.25,0.623240513617734,0.006793324504483751
0.26,0.26,0.6294884673770176,0.004835349767941291
0.27,0.27,0.6358671990006552,0.0051408423008827454
0.28,0.28,0.6423809918915998,0.008209766381979183
0.29,0.29,0.6490343242575735,0.004916767057699069
0.3,0.3,0.6558318806163518,0.006721260594127123
0.31,0.31,0.6627785641459,0.006812566133922914
0.32,0.32,0.6698795099541458,0.00698796091894636
0.33,0.33,0.6771400993509752,0.009164438239207923
0.34,0.34,0.6845659752137845,0.00730846889763873
0.35,0.35,0.6921630585477133,0.006844306288251464
0.36,0.36,0.6999375663527393,0.00600032204925036
0.37,0.37,0.7078960309222104,0.007700292025424533
0.38,0.38,0.7160453207114357,0.007106286173924205
0.39,0.39,0.7243926629307728,0.0068602158448632655
0.4,0.4,0.7329456680356207,0.008969102801164192
0.41,0.41,0.7417123563060677,0.010375885007128252
0.42,0.42,0.7507011867321132,0.0072238436577998335
0.43,0.43,0.7599210884467501,0.007293871686684588
0.44,0.44,0.7693814949793284,0.009875038901710384
