m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.0011113984508036006,-0.0011277011222524,-0.0013784156240470007
0.01,0.01,-0.0004020414077918,0.0010113846377113002,0.0013764894433745001
0.02,0.02,0.00014280250666730016,-0.00041781190069579976,0.0021333661908813006
0.03,0.03,-0.0035653206692271996,-0.00044187678746380023,-0.0013399164559255994
0.04,0.04,-0.0001771556529381003,0.0006098766634394003,0.0014385281666618992
0.05,0.05,-0.0018221028329730004,-0.00012381690131529986,-0.0019209777489968003
0.06,0.06,0.0017173682626449999,0.0033948745305667,0.0011310789011061
0.07,0.07,-0.0011639111157872003,-0.0006533553865492999,-0.0002853086188152002
0.08,0.08,0.0015524485018433,0.003085702055786,0.002015466894588201
0.09,0.09,-0.0014155324888558002,-0.0015935206275954003,0.0217614663655776
0.1,0.1,-0.0019305308351146005,0.0003149170817539999,0.00013574641168619984
0.11,0.11,-0.0023226553982496,8.905969536389998e-05,0.0003454095663991
0.12,0.12,-0.00038126699803659944,0.0016753653855559004,-0.0006539574644314995
0.13,0.13,-0.0018851269028472995,0.0018105377100047,-0.0005158471268968991
0.14,0.14,-0.0013352731757213998,0.0020260003717362998,-0.0024320934578635003
0.15,0.15,-0.0030197512996138,-0.0002099474291947,-0.0014112631157268
0.16,0.16,-0.0034524436777990993,-0.0010558587501264,-0.0010163580450217
0.17,0.17,-0.007164548792096499,-0.0018810799901329,0.0007396939670444008
0.18,0.18,-0.0035226387382180004,-6.874343005949975e-05,-0.0014659072322411012
0.19,0.19,-0.0050539860358541,-0.0019772382600269003,-0.0004335078230423006
0.2,0.2,-0.0062331436691072,0.0005173762970992002,-0.0007321699248651007
0.21,0.21,-0.0060515443670772,-8.489341194559998e-05,-0.0013222603877651
0.22,0.22,-0.0052074073380954,-0.0028787448381322996,0.00207753204031
0.23,0.23,-0.012562841115503001,-0.0014454857847029995,-0.006375743699918501
0.24,0.24,-0.007637365066126701,-0.0008232876243777004,0.0016096346808631996
0.25,0.25,-0.0115339805732119,-0.0027202239602080007,-0.0049147443951071
0.26,0.26,-0.008326055325041,-0.0009277384795114002,0.0006062334565705013
0.27,0.27,-0.0121470220452166,-0.00010454488276570063,-0.005228468269208499
0.28,0.28,-0.009580382299260799,-0.0035603713488790998,-0.0038933164078344996
0.29,0.29,-0.0098429768716685,-3.5602079896000435e-06,0.004049132985582302
0.3,0.3,-0.011046516068871099,-0.0013734788227834993,0.0033687634363656
0.31,0.31,-0.0126222926182344,-0.0029040671915862,-0.0038731412512735004
0.32,0.32,-0.02600745342902,-0.0026021414332232998,0.012267381001826599
0.33,0.33,-0.0195824300008808,-0.0050083837990100005,-0.004003316631277898
0.34,0.34,-0.0201871677181411,-0.0017970242467162997,-0.010789297336714002
0.35,0.35,-0.0174108754659991,-0.0020845514092767995,-0.004608651338138599
0.36,0.36,-0.0194223041717651,-0.0004597203512826994,-0.004653539645893198
0.37,0.37,-0.034100661991920495,-0.0017820437969417006,-0.021815431872866598
0.38,0.38,-0.08428537087928159,-0.0018751738908522001,-0.0717048344638233
0.39,0.39,-0.028227511745502597,-0.0020654583280828994,-0.0026679668237090982
0.4,0.4,-0.0314883303193823,-0.0040012993218436,-0.017717691704355
0.41,0.41,-0.035424736841768896,-0.0053530660455888,-0.011700014607079597
0.42,0.42,-0.0383850964955748,-0.0018483528204472,-0.018910734578009097
0.43,0.43,-0.043654593619742506,-0.0028553653917004996,-0.019380690893162304
0.44,0.44,-0.0381748493319556,-0.004736708661303799,0.00026912902617119705
0.45,0.45,-0.040296602097899405,-0.0039256046272756005,-0.0066646826057531056
0.46,0.46,-0.049868388289802196,-0.004664681667057501,-0.0110630013562103
0.47,0.47,-0.0589890356279299,-0.0032350752905806997,-0.0322299227680785
0.48,0.48,-0.057684216471988695,-0.0034513266686714995,-0.020321325346666898
0.49,0.49,-0.049256947051794,-0.006328793711262899,-0.004941857791799904
0.5,0.5,-0.0405801500485551,-0.0048634275758953,-0.0068184755787239
0.51,0.51,-0.0823228481864953,-0.0024860533340946003,-0.034096302097837594
0.52,0.52,-0.0870923937209665,-0.0048010414502844,-0.050225188730561296
0.53,0.53,-0.0717853450591622,-0.0059288115333844,0.043806349630974906
0.54,0.54,-0.1276857910123067,-0.0042741653026941,-0.06924326236490551
0.55,0.55,-0.07923769069294251,-0.0011123144185061998,-0.0340784152305164
0.56,0.56,-0.1201785607930538,-0.011232287554259899,0.021485702444234894
0.57,0.57,-0.11614556338230221,-0.0040317107122343,-0.040620489000670904
0.58,0.58,-0.3152650317982792,-0.011384419162992501,-0.2377759355254744
0.59,0.59,-0.28744630443640723,-0.0074236441963402,-0.2147282176987586
0.6,0.6,-0.08341406425859699,-0.005310273929936199,-0.0116634608766268
0.61,0.61,-0.2425277057819888,-0.0090534563980063,-0.1244897826922551
