m,M,epsilon_of_M,NICV
0.0,0.0,1,0.38973791259522045
0.0,0.0,1,0.41496992706230545
0.0,0.0,1,0.38716894550604486
0.0,0.0,1,0.35965446796226475
0.0,0.0,1,0.3980079140679594
0.0,0.0,1,0.41631682557906613
0.0,0.0,1,0.4145695898002512
0.0,0.0,1,0.4045190697600959
0.0,0.0,1,0.42031172534198685
0.0,0.0,1,0.41958091099242584
0.0,0.0,1,0.3875542339424813
0.0,0.0,1,0.3880928348297735
0.0,0.0,1,0.3829893251409367
0.0,0.0,1,0.4068237926003143
0.0,0.0,1,0.4255194934873727
0.0,0.0,1,0.3864825277826205
0.0,0.0,1,0.407581673182405
0.0,0.0,1,0.3990063175630272
0.0,0.0,1,0.4373225172071193
0.0,0.0,1,0.31421947587540683
0.0,0.0,1,0.3922087736107926
0.0,0.0,1,0.3991180353056792
0.0,0.0,1,0.42060814951727105
0.0,0.0,1,0.40010706708757476
0.0,0.0,1,0.41264499836098717
0.0,0.0,1,0.42042923320027265
0.0,0.0,1,0.3902723756488408
0.0,0.0,1,0.4268191029125056
0.0,0.0,1,0.3092501453904175
0.0,0.0,1,0.44338990380412235
0.0,0.0,1,0.4182926617538873
0.0,0.0,1,0.40192404036512297
0.0,0.0,1,0.41000618716527093
0.0,0.0,1,0.39135632948145793
0.0,0.0,1,0.3922848326915051
0.0,0.0,1,0.40645463994070663
0.0,0.0,1,0.394659667734748
0.0,0.0,1,0.39991241495992264
0.0,0.0,1,0.4107323138445658
0.0,0.0,1,0.41711278720559014
0.0,0.0,1,0.3896321665713742
0.0,0.0,1,0.40124416132370033
0.0,0.0,1,0.392461822259471
0.0,0.0,1,0.39629808371004777
0.0,0.0,1,0.3855049222125661
0.0,0.0,1,0.41564813948368573
0.0,0.0,1,0.39870681908777394
0.0,0.0,1,0.4206152628457106
0.0,0.0,1,0.4044981916776017
0.0,0.0,1,0.4119538626587529
0.0,0.0,1,0.4100577247088093
0.0,0.0,1,0.40289444339118735
0.0,0.0,1,0.399738538053345
0.0,0.0,1,0.39622274974493743
0.0,0.0,1,0.4194511328803146
0.0,0.0,1,0.40629114229713337
0.0,0.0,1,0.4052852903566958
0.0,0.0,1,0.37073442406578194
0.0,0.0,1,0.400041939317406
0.0,0.0,1,0.4012433108734496
0.0,0.0,1,0.39973323676867983
0.0,0.0,1,0.39578490091596386
0.0,0.0,1,0.3937475992974731
0.0,0.0,1,0.3987946049617094
0.0,0.0,1,0.40136383239333884
0.0,0.0,1,0.3948748156953351
0.0,0.0,1,0.42631166782522856
0.0,0.0,1,0.4016981451008259
0.0,0.0,1,0.4053439592216504
0.0,0.0,1,0.4370931717422317
0.0,0.0,1,0.4050332854925211
0.0,0.0,1,0.396453010961959
0.0,0.0,1,0.4515484988050934
0.0,0.0,1,0.3989956756915471
0.0,0.0,1,0.40031635220560396
0.0,0.0,1,0.413400603918673
0.0,0.0,1,0.4109442850915473
0.0,0.0,1,0.41857175855625534
0.0,0.0,1,0.3967965228815208
0.0,0.0,1,0.42062746940479534
0.0,0.0,1,0.40334032778796086
0.0,0.0,1,0.39922879827295626
0.0,0.0,1,0.3476814046161464
0.0,0.0,1,0.4285471014860067
0.0,0.0,1,0.39895396133051975
0.0,0.0,1,0.4078660003451368
0.0,0.0,1,0.40130176097487297
0.0,0.0,1,0.44559256849984413
0.0,0.0,1,0.40535423388805636
0.0,0.0,1,0.43701575979618446
0.0,0.0,1,0.4243412222902281
0.0,0.0,1,0.4231712049245597
0.0,0.0,1,0.4056635547058228
0.0,0.0,1,0.41894789274986227
0.0,0.0,1,0.40758988543577407
0.0,0.0,1,0.3951682571066801
0.0,0.0,1,0.43729576502946527
0.0,0.0,1,0.5651997004459298
0.0,0.0,1,0.38261171440866953
0.0,0.0,1,0.4086686671578468
0.0,0.0,1,0.4291660364484324
0.0,0.0,1,0.45336886044477476
0.0,0.0,1,0.3850794007007719
0.0,0.0,1,0.37962850500396267
0.0,0.0,1,0.3956998504009255
0.0,0.0,1,0.3976201591706923
0.0,0.0,1,0.4006631458683111
0.0,0.0,1,0.4349542513182825
0.0,0.0,1,0.4015407349319225
0.0,0.0,1,0.465839782508074
0.0,0.0,1,0.4096656392299212
0.0,0.0,1,0.397810499610345
0.0,0.0,1,0.47595489902753535
0.0,0.0,1,0.39213301115449645
0.0,0.0,1,0.3944273536050292
0.0,0.0,1,0.4289915120233925
0.0,0.0,1,0.41143923273920313
0.0,0.0,1,0.4041151572981266
0.0,0.0,1,0.4067330410239679
0.0,0.0,1,0.39467009970765393
0.0,0.0,1,0.3791143123267184
0.0,0.0,1,0.3991513045274094
0.0,0.0,1,0.4047406970929235
0.0,0.0,1,0.38065880255466206
0.0,0.0,1,0.408612436708751
0.0,0.0,1,0.41050387593297083
0.0,0.0,1,0.3961065627930731
0.0,0.0,1,0.39008871560387637
0.0,0.0,1,0.4003973363292375
0.0,0.0,1,0.462337877709183
0.0,0.0,1,0.39531691767840355
0.0,0.0,1,0.4182396877550798
0.0,0.0,1,0.45460857550061656
0.0,0.0,1,0.4136077087810542
0.0,0.0,1,0.43714827579792115
0.0,0.0,1,0.40150429739378835
0.0,0.0,1,0.4034046583069766
0.0,0.0,1,0.43962861735863024
0.0,0.0,1,0.3886876487507056
0.0,0.0,1,0.4040903811301367
0.0,0.0,1,0.41624535475090557
0.0,0.0,1,0.4034662250502554
0.0,0.0,1,0.42250941048765794
0.0,0.0,1,0.3990826105861186
0.0,0.0,1,0.440369359326069
0.0,0.0,1,0.40248162748293015
0.0,0.0,1,0.3684854418042561
0.0,0.0,1,0.39169373935521984
0.0,0.0,1,0.39012027942671473
0.0,0.0,1,0.4192692422998248
0.0,0.0,1,0.46461241768864514
0.0,0.0,1,0.39986901197013247
0.0,0.0,1,0.392520144277081
0.0,0.0,1,0.41154660932431025
0.0,0.0,1,0.43809003657104095
0.0,0.0,1,0.4246976590321874
0.0,0.0,1,0.44929714614225125
0.0,0.0,1,0.4095772516839889
0.0,0.0,1,0.3914763815755209
0.0,0.0,1,0.4140625253650287
0.0,0.0,1,0.38841664848580637
0.0,0.0,1,0.40306851335274835
0.0,0.0,1,0.4034503843921126
0.0,0.0,1,0.4293885922250947
0.0,0.0,1,0.40515356443738015
0.0,0.0,1,0.40718436992628154
0.0,0.0,1,0.39048612266809135
0.0,0.0,1,0.38538105724872995
0.0,0.0,1,0.3990273188240118
0.0,0.0,1,0.3785349536402576
0.0,0.0,1,0.37249434573231854
0.0,0.0,1,0.3890525793611234
0.0,0.0,1,0.38638378638520293
0.0,0.0,1,0.39254578881485147
0.0,0.0,1,0.39551088895998565
0.0,0.0,1,0.378994088448404
0.0,0.0,1,0.38882713942737607
0.0,0.0,1,0.4125824428485562
0.0,0.0,1,0.3455930691018453
0.0,0.0,1,0.35873575221572257
0.0,0.0,1,0.5164637162342062
0.0,0.0,1,0.39615299834092593
0.0,0.0,1,0.4265107118466706
0.0,0.0,1,0.3940048343642137
0.0,0.0,1,0.3953603767349834
0.0,0.0,1,0.41605349540810305
0.0,0.0,1,0.3305559404121171
0.0,0.0,1,0.4018357722889715
0.0,0.0,1,0.3908345571061931
0.0,0.0,1,0.40065228972299566
0.0,0.0,1,0.3961718195666376
0.0,0.0,1,0.40495857352535136
0.0,0.0,1,0.40463514407145396
0.0,0.0,1,0.41708420538889257
0.0,0.0,1,0.4099585295744277
0.0,0.0,1,0.4466457075848011
0.0,0.0,1,0.40579275844809465
0.0,0.0,1,0.4437261700152137
0.0,0.0,1,0.37775379740458404
0.0,0.0,1,0.37753149163500715
0.0,0.0,1,0.4027364204560892
0.0,0.0,1,0.41686049587537743
0.0,0.0,1,0.38268708371636223
0.0,0.0,1,0.3836354197359095
0.0,0.0,1,0.4420900951032483
0.0,0.0,1,0.40019284552030027
0.0,0.0,1,0.44486205998229544
0.0,0.0,1,0.3318014884852081
0.0,0.0,1,0.39334276322638545
0.0,0.0,1,0.32571682316164263
0.0,0.0,1,0.420499951490924
0.0,0.0,1,0.4173484364702306
0.0,0.0,1,0.4064609530266059
0.0,0.0,1,0.437157975418373
0.0,0.0,1,0.38916892484056215
0.0,0.0,1,0.41346332662479746
0.0,0.0,1,0.4262264544061184
0.0,0.0,1,0.40450092728468573
0.0,0.0,1,0.423476833004369
0.0,0.0,1,0.38616575453179663
0.0,0.0,1,0.41326224363501196
0.0,0.0,1,0.40736568582555105
0.0,0.0,1,0.4541053357712644
0.0,0.0,1,0.3976187112709332
0.0,0.0,1,0.3950120616090262
0.0,0.0,1,0.43312305940755125
0.0,0.0,1,0.4004782112976398
0.0,0.0,1,0.41011205228827396
0.0,0.0,1,0.4083547207941406
0.0,0.0,1,0.4433956547928742
0.0,0.0,1,0.39035642774927143
0.0,0.0,1,0.42511941203736253
0.0,0.0,1,0.39557526187444014
0.0,0.0,1,0.3977951746458596
0.0,0.0,1,0.37565461339821976
0.0,0.0,1,0.41099168568138433
0.0,0.0,1,0.4068959013616836
0.0,0.0,1,0.3969219636029416
0.0,0.0,1,0.40150937910988865
0.0,0.0,1,0.3847473992141992
0.0,0.0,1,0.418225062158155
0.0,0.0,1,0.4060605660284669
0.0,0.0,1,0.39476549973886954
0.0,0.0,1,0.3796181008397123
0.0,0.0,1,0.39828119123599137
0.0,0.0,1,0.3879553640270566
0.0,0.0,1,0.43027250153746044
0.0,0.0,1,0.3917348862908551
0.0,0.0,1,0.4131332931974302
0.0,0.0,1,0.39739097856641276
0.0,0.0,1,0.4033048722181378
0.0,0.0,1,0.44629054548744657
0.0,0.0,1,0.3978385894901864
0.0,0.0,1,0.41584384098495114
0.0,0.0,1,0.45648537209137513
0.0,0.0,1,0.42100837911052535
0.0,0.0,1,0.4386850721721021
0.0,0.0,1,0.38877128309214265
0.0,0.0,1,0.3854044006177728
0.0,0.0,1,0.4195088813999107
0.0,0.0,1,0.4140504213824278
0.0,0.0,1,0.4061494426270629
0.0,0.0,1,0.4108704978014595
0.0,0.0,1,0.40939476238438716
0.0,0.0,1,0.3938134245297002
0.0,0.0,1,0.4293026498956691
0.0,0.0,1,0.3797201934842245
0.0,0.0,1,0.4244780358881664
0.0,0.0,1,0.385805216032521
0.0,0.0,1,0.41257214517601615
0.0,0.0,1,0.4096424317191951
0.0,0.0,1,0.4048518602102966
0.0,0.0,1,0.41410691425906004
0.0,0.0,1,0.45117876412077085
0.0,0.0,1,0.387828930111451
0.0,0.0,1,0.41341566322881906
0.0,0.0,1,0.4042255034398757
0.0,0.0,1,0.406598508732393
0.0,0.0,1,0.45495779452221163
0.0,0.0,1,0.39499685732358175
0.0,0.0,1,0.4014359399754009
0.0,0.0,1,0.3916329111782614
0.0,0.0,1,0.3986549630223047
0.0,0.0,1,0.3866827087629121
0.0,0.0,1,0.3902056164586038
0.0,0.0,1,0.3976281460704445
0.0,0.0,1,0.3899583117039773
0.0,0.0,1,0.40015254979691145
0.0,0.0,1,0.3933099138111444
0.0,0.0,1,0.4060534890768496
