m,M,epsilon_of_M,stat_NICV
0.0,0.0,1.0,0.40624824660075703
0.01,0.01,1.0,0.40555394985335613
0.02,0.02,1.0,0.4023373768316578
0.03,0.03,1.0,0.4050767191024263
0.04,0.04,1.0,0.40472525533643855
0.05,0.05,1.0,0.40425067205380233
0.06,0.06,1.0,0.40537582792168575
0.07,0.07,1.0,0.4039306122583863
0.08,0.08,1.0,0.40566542721331506
0.09,0.09,1.0,0.40478376701805635
0.1,0.1,1.0,0.40432130437585834
0.11,0.11,1.0,0.4044446836700033
0.12,0.12,1.0,0.40582051240558153
0.13,0.13,1.0,0.40468484239883523
0.14,0.14,1.0,0.4064084403439737
0.15,0.15,1.0,0.4044356032849801
0.16,0.16,1.0,0.40668936931614236
0.17,0.17,1.0,0.40164106771705244
0.18,0.18,1.0,0.40584614008961106
0.19,0.19,1.0,0.40513448990140066
0.2,0.2,1.0,0.40353446747085703
0.21,0.21,1.0,0.4048707912471582
0.22,0.22,1.0,0.4054389587069707
0.23,0.23,1.0,0.40391479752524373
0.24,0.24,1.0,0.4066154870193288
0.25,0.25,1.0,0.4048150207763299
0.26,0.26,1.0,0.4039834369589798
0.27,0.27,1.0,0.4053245055707209
0.28,0.28,1.0,0.40532857873231903
0.29,0.29,1.0,0.40365924872595904
0.3,0.3,1.0,0.40448148367443654
0.31,0.31,1.0,0.4051393652223753
0.32,0.32,1.0,0.4045242549058898
0.33,0.33,1.0,0.4066219695041803
0.34,0.34,1.0,0.4049837715101526
0.35,0.35,1.0,0.4051645369881413
0.36,0.36,1.0,0.40540384534459645
0.37,0.37,1.0,0.4049287970948495
0.38,0.38,1.0,0.4024860097618999
0.39,0.39,1.0,0.4036190804901621
0.4,0.4,1.0,0.4038266980214172
0.41,0.41,1.0,0.4033144837464196
0.42,0.42,1.0,0.40508227688771603
0.43,0.43,1.0,0.4035599878925694
0.44,0.44,1.0,0.40395603013864745
0.45,0.45,1.0,0.4046645910158764
0.46,0.46,1.0,0.40628949952144533
0.47,0.47,1.0,0.4041197901463841
0.48,0.48,1.0,0.4045885234648006
0.49,0.49,1.0,0.4045081587698388
0.5,0.5,1.0,0.40689661198904103
0.51,0.51,1.0,0.40593395652210656
0.52,0.52,1.0,0.40591515602265343
0.53,0.53,1.0,0.40578865102731787
0.54,0.54,1.0,0.40562605045807393
0.55,0.55,1.0,0.4044885415633172
0.56,0.56,1.0,0.4045309645501505
0.57,0.57,1.0,0.404399305895608
0.58,0.58,1.0,0.40452608174872295
0.59,0.59,1.0,0.40349559135561297
0.6,0.6,1.0,0.4055477410596347
0.61,0.61,1.0,0.40344647926672916
0.62,0.62,1.0,0.4039356484156097
0.63,0.63,1.0,0.4046330553407324
0.64,0.64,1.0,0.4037808272634873
0.65,0.65,1.0,0.40708350738630567
0.66,0.66,1.0,0.404946119326345
0.67,0.67,1.0,0.40557858473344255
