m,M,epsilon_of_M,stat_NICV
0.0,0.0,1.0,0.4057108521170646
0.01,0.01,0.9936587309970014,0.4038501523695639
0.02,0.02,0.9872769935436304,0.40548316512303967
0.03,0.03,0.9808542678008313,0.4057840338783411
0.04,0.04,0.9743900238483449,0.4067017950882608
0.05,0.05,0.9678837214223395,0.4074293226008109
0.06,0.06,0.9613348096444502,0.4058851318506435
0.07,0.07,0.9547427267418882,0.40954584780269154
0.08,0.08,0.9481068997582622,0.4081096274544499
0.09,0.09,0.9414267442547409,0.40822339791099904
0.1,0.1,0.9347016640011662,0.40765272752745374
0.11,0.11,0.9279310506567138,0.4112543984461023
0.12,0.12,0.9211142834396617,0.4104196850315145
0.13,0.13,0.9142507287858314,0.41097325435860393
0.14,0.14,0.9073397399952268,0.414416753062435
0.15,0.15,0.9003806568663714,0.4106929916798975
0.16,0.16,0.89337280531784,0.40998239233570655
0.17,0.17,0.8863154969964301,0.4112410832898532
0.18,0.18,0.8792080288714119,0.41083862379855945
0.19,0.19,0.8720496828142519,0.41331435374716874
0.2,0.2,0.86483972516319,0.4148700220866199
0.21,0.21,0.8575774062720013,0.4130104389691594
0.22,0.22,0.8502619600422529,0.4136842641679459
0.23,0.23,0.8428926034383277,0.41464986829407835
0.24,0.24,0.8354685359844455,0.41578189342058886
0.25,0.25,0.8279889392428699,0.41537424830006764
0.26,0.26,0.8204529762724546,0.4166370441630395
0.27,0.27,0.8128597910666385,0.4158788276195573
0.28,0.28,0.8052085079699279,0.41855306011582
0.29,0.29,0.797498231071897,0.4170915952987607
0.3,0.3,0.7897280435776313,0.418632355137137
0.31,0.31,0.7818970071535288,0.42284923104972816
0.32,0.32,0.77400416124728,0.41826558418343046
0.33,0.33,0.7660485223807948,0.421326806628474
0.34,0.34,0.758029083414783,0.4215294884711178
0.35,0.35,0.7499448127836005,0.4199595407651592
0.36,0.36,0.7417946536989195,0.4209605972600704
0.37,0.37,0.7335775233206772,0.42420292852951386
0.38,0.38,0.7252923118936785,0.42517317929102194
0.39,0.39,0.7169378818481357,0.42515304976016366
0.4,0.4,0.7085130668623149,0.42652153600952436
0.41,0.41,0.7000166708853597,0.4265261480706949
0.42,0.42,0.6914474671182481,0.42614865735688057
0.43,0.43,0.6828041969507084,0.42701186134454217
0.44,0.44,0.6740855688517897,0.42818491580447454
0.45,0.45,0.6652902572116409,0.43234568467820406
0.46,0.46,0.6564169011319041,0.43444797079234265
0.47,0.47,0.6474641031619576,0.43319560783632294
0.48,0.48,0.6384304279780763,0.4334614046447185
0.49,0.49,0.6293144010023839,0.43633159505447994
0.5,0.5,0.6201145069582774,0.4354083193697779
0.51,0.51,0.6108291883587842,0.4410064750423743
0.52,0.52,0.6014568439240734,0.4407499712616523
0.53,0.53,0.5919958269241085,0.4426395483975277
0.54,0.54,0.5824444434421473,0.44456074509862037
0.55,0.55,0.5728009505545074,0.44653103907313546
0.56,0.56,0.563063554421708,0.4479866671866478
0.57,0.57,0.5532304082857555,0.4502846848035159
0.58,0.58,0.5432996103679851,0.44815372876127396
0.59,0.59,0.5332692016614697,0.45569179587099223
0.6,0.6,0.5231371636115855,0.4545582474585675
0.61,0.61,0.5129014156778685,0.46005152845770164
0.62,0.62,0.5025598127697941,0.46466516607901304
0.63,0.63,0.49211014254857327,0.46562738886693594
0.64,0.64,0.48155012258647906,0.4724341676469767
0.65,0.65,0.47087739737457307,0.471755373141558
0.66,0.66,0.46008953516903,0.47038825688202673
0.67,0.67,0.44918402466548485,0.4790538326076939
0.68,0.68,0.43815827149003633,0.4769562883135351
0.69,0.69,0.4270095944946357,0.4946287411688088
0.7,0.7,0.4157352218436286,0.4967628157852339
0.71,0.71,0.40433228687716244,0.4982760820937425
0.72,0.72,0.3927978237360112,0.5107803775378594
0.73,0.73,0.3811287627311192,0.5098577472586211
0.74,0.74,0.3693219254397696,0.5193514257380968
0.75,0.75,0.35737401950878844,0.5344713377949926
0.76,0.76,0.34528163314351795,0.5272786437859475
0.77,0.77,0.33304122925948504,0.5378147566123268
0.78,0.78,0.32064913927168365,0.5584558655885355
0.79,0.79,0.30810155649418186,0.5681408472805584
0.8,0.8,0.29539452912034764,0.5831738965646525
0.81,0.81,0.2825239527513005,0.6054132807252672
0.82,0.82,0.2694855624372465,0.6184098770054901
0.83,0.83,0.25627492419307796,0.6707266393622574
0.84,0.84,0.24288742594601273,0.6866288096035628
0.85,0.85,0.2293182678690199,0.7286978511953195
0.86,0.86,0.21556245204933774,0.7622450019835318
0.87,0.87,0.20161477143643658,0.7926586452829643
0.88,0.88,0.1874697980082618,0.8772365777637715
0.89,0.89,0.17312187008846108,0.9188187213442
0.9,0.9,0.1585650787404291,0.9991764621440465
0.91,0.91,0.14379325315634003,1.0925618015233625
0.92,0.92,0.12879994495075114,1.259601389318798
0.93,0.93,0.11357841125871503,1.4440693935580793
0.94,0.94,0.09812159652752409,1.6951001434201831
0.95,0.95,0.08242211287901122,1.9333407792805029
0.96,0.96,0.06647221890559728,2.311423012649362
