m,M,epsilon_of_M,NICV
0.0,0.0,1,0.4004901558989966
0.0,0.0,1,0.41482139384103056
0.0,0.0,1,0.3991760081745333
0.0,0.0,1,0.4012195351386596
0.0,0.0,1,0.40903335182936634
0.0,0.0,1,0.455715116164783
0.0,0.0,1,0.3999889614846052
0.0,0.0,1,0.38991349773299955
0.0,0.0,1,0.3982968538317261
0.0,0.0,1,0.4381985269560142
0.0,0.0,1,0.4306097666491719
0.0,0.0,1,0.3901462845290936
0.0,0.0,1,0.39370079624609644
0.0,0.0,1,0.3839209885703744
0.0,0.0,1,0.41636279567616935
0.0,0.0,1,0.36835446320999077
0.0,0.0,1,0.4231457022382772
0.0,0.0,1,0.41273361715797163
0.0,0.0,1,0.43393337643683494
0.0,0.0,1,0.4164538225355437
0.0,0.0,1,0.4136336366932195
0.0,0.0,1,0.38248352769550287
0.0,0.0,1,0.42649142080597485
0.0,0.0,1,0.40703177859839473
0.0,0.0,1,0.42189913638346443
0.0,0.0,1,0.389985892932157
0.0,0.0,1,0.4005815707581409
0.0,0.0,1,0.39888308693521096
0.0,0.0,1,0.3650038198628101
0.0,0.0,1,0.38865737465451056
0.0,0.0,1,0.40380413164952
0.0,0.0,1,0.3494630325382152
0.0,0.0,1,0.41165631488665627
0.0,0.0,1,0.38707193162925585
0.0,0.0,1,0.3866971897182329
0.0,0.0,1,0.4057968903182362
0.0,0.0,1,0.43758253030953503
0.0,0.0,1,0.41460790750797105
0.0,0.0,1,0.4064795531408138
0.0,0.0,1,0.42886485107084615
0.0,0.0,1,0.4094416113617664
0.0,0.0,1,0.3977982264218338
0.0,0.0,1,0.4261133029589723
0.0,0.0,1,0.4181755408523763
0.0,0.0,1,0.380082140808858
0.0,0.0,1,0.3191856008128729
0.0,0.0,1,0.42359954624325485
0.0,0.0,1,0.38731844335319243
0.0,0.0,1,0.4203259417304459
0.0,0.0,1,0.40294602188037704
0.0,0.0,1,0.4040363578180877
0.0,0.0,1,0.4017289233374103
0.0,0.0,1,0.3928949720073324
0.0,0.0,1,0.43750768155165215
0.0,0.0,1,0.42597135042474915
0.0,0.0,1,0.4227056510150077
0.0,0.0,1,0.41206997665527884
0.0,0.0,1,0.3987339066657824
0.0,0.0,1,0.38915075477148436
0.0,0.0,1,0.4033856930666235
0.0,0.0,1,0.40232415889108547
0.0,0.0,1,0.3949249000663989
0.0,0.0,1,0.4122834846892504
0.0,0.0,1,0.41200949037267254
0.0,0.0,1,0.3918597682165639
0.0,0.0,1,0.4037308935937516
