m,M,epsilon_of_M,stat_NICV
0.0,0.0,1.0,0.4057682470469455
0.01,0.01,1.0063647580360118,0.406367782044265
0.02,0.02,1.0128179179349637,0.4043185464077375
0.03,0.03,1.0193614715465262,0.40545817038470494
0.04,0.04,1.0259974746609668,0.40514349042229486
0.05,0.05,1.032728049717885,0.40531334929629254
0.06,0.06,1.0395553886588504,0.40585016952827707
0.07,0.07,1.046481755933204,0.4075219072911602
0.08,0.08,1.053509491666951,0.40662655507681605
0.09,0.09,1.0606410150054735,0.40766525281026617
0.1,0.1,1.067878827641591,0.40728958272088817
0.11,0.11,1.0752255175414156,0.4086748712567911
0.12,0.12,1.0826837628814319,0.4080613122407086
0.13,0.13,1.0902563362112878,0.40830859671500774
0.14,0.14,1.097946108857996,0.40841956169097476
0.15,0.15,1.1057560555884813,0.4080661886697727
0.16,0.16,1.1136892595488543,0.40714867788275133
0.17,0.17,1.1217489175003088,0.40887573367295893
0.18,0.18,1.1299383453732408,0.4088128329636463
0.19,0.19,1.1382609841630418,0.40901509990777335
0.2,0.2,1.146720406193046,0.40956001687984
0.21,0.21,1.1553203217723849,0.40922834945715997
0.22,0.22,1.1640645862789334,0.41032086784109134
0.23,0.23,1.172957207700318,0.4111658097533285
0.24,0.24,1.1820023546689093,0.413162282155563
0.25,0.25,1.19120436503011,0.4098708359491304
0.26,0.26,1.2005677549869138,0.41046411106180736
0.27,0.27,1.210097228867802,0.4126948961434938
0.28,0.28,1.2197976895696174,0.410360962946592
0.29,0.29,1.229674249732078,0.4134869036597229
0.3,0.3,1.2397322437062515,0.41348517341146424
0.31,0.31,1.2499772403855614,0.4118987337763612
0.32,0.32,1.2604150569749348,0.41259758977248273
0.33,0.33,1.2710517737815223,0.41347869180678937
0.34,0.34,1.281893750119208,0.41582830458172154
0.35,0.35,1.2929476414289993,0.4156656750099284
0.36,0.36,1.3042204177284589,0.4167934924108986
0.37,0.37,1.3157193835158085,0.41589838607117663
0.38,0.38,1.3274521992684327,0.41576365278698146
0.39,0.39,1.3394269046914018,0.41519449998646085
0.4,0.4,1.3516519438896402,0.41776573442240683
0.41,0.41,1.3641361926578157,0.417275694133909
0.42,0.42,1.3768889881052373,0.4210349724381899
0.43,0.43,1.3899201608595144,0.4198180961524814
0.44,0.44,1.4032400701229404,0.42041444516324306
0.45,0.45,1.4168596418901167,0.4211803701173322
0.46,0.46,1.4307904106749971,0.41859254906791105
0.47,0.47,1.4450445651410395,0.41520498512681797
0.48,0.48,1.4596349980807526,0.4227970039938704
0.49,0.49,1.4745753612514938,0.42159467512817766
0.5,0.5,1.4898801256447494,0.4217088047337738
0.51,0.51,1.5055646478477143,0.42412371146908534
0.52,0.52,1.5216452432511252,0.4253714532699579
0.53,0.53,1.538139266968456,0.4244955489423846
0.54,0.54,1.5550652034618422,0.4254843187872955
0.55,0.55,1.572442766023277,0.425239494276766
0.56,0.56,1.5902930074403714,0.430676838761575
0.57,0.57,1.6086384433899386,0.4277168971177056
0.58,0.58,1.627503190356941,0.42801968101810484
0.59,0.59,1.6469131201796612,0.4296481383443439
0.6,0.6,1.666896033685178,0.4311264128448201
0.61,0.61,1.6874818563161362,0.432131507363065
0.62,0.62,1.7087028591774003,0.43677929580854086
0.63,0.63,1.7305939095715457,0.43388113534366574
0.64,0.64,1.7531927558727805,0.43566978739111606
0.65,0.65,1.7765403525456835,0.4333117388877513
0.66,0.66,1.8006812322938008,0.43915992610587173
0.67,0.67,1.825663933783539,0.4429862607524502
0.68,0.68,1.8515414952088523,0.44321497505938773
0.69,0.69,1.8783720262447996,0.44486066716322714
0.7,0.7,1.9062193738198776,0.44277625999160136
0.71,0.71,1.935153900800814,0.4504882094535565
0.72,0.72,1.9652534013766958,0.45391033954526927
0.73,0.73,1.9966041829888956,0.4568487991205156
0.74,0.74,2.0293023525439127,0.4560751020140109
0.75,0.75,2.063455355014828,0.4591344426338893
0.76,0.76,2.0991838262950595,0.4602278952153703
0.77,0.77,2.1366238406150826,0.4679833407669587
0.78,0.78,2.1759296578470386,0.4665786479429034
0.79,0.79,2.2172771103569073,0.4798422807564845
0.8,0.8,2.260867816817828,0.47360481983098063
0.81,0.81,2.3069344777758474,0.48169803145979495
0.82,0.82,2.355747604326646,0.4947166984221179
0.83,0.83,2.40762417206322,0.5013859584176535
0.84,0.84,2.462938901677292,0.5157785866866273
0.85,0.85,2.5221391850786152,0.5146245996347371
0.86,0.86,2.5857651690394006,0.5245578366498349
0.87,0.87,2.6544772946958113,0.5392779995348599
0.88,0.88,2.729094882687595,0.556964822297558
0.89,0.89,2.8106515474558647,0.5634380092811121
0.9,0.9,2.900477097889386,0.5987753322022756
0.91,0.91,3.0003227370465355,0.6236854873548022
0.92,0.92,3.1125603136022213,0.6614408828944848
0.93,0.93,3.2405153234437045,0.7157850704237152
0.94,0.94,3.3890583499851985,0.7882890324520879
0.95,0.95,3.565740630302793,0.9027723243990429
0.96,0.96,3.7832129232615723,1.0925198680005888
0.97,0.97,4.065191390652873,1.2708484424713151
0.98,0.98,4.464920175891208,1.822938657612491
0.99,0.99,5.152297938244443,2.5214025628066143
0.1,0.2,0.0,
0.1,0.3,,
0.1,0.4,,
0.1,0.5,,
0.1,0.6,,
0.1,0.7,,
0.1,0.8,,
0.1,0.9,,
0.2,0.3,0.6558318735740907,0.46142238197034907
0.2,0.4,0.0,
0.2,0.5,,
0.2,0.6,,
0.2,0.7,,
0.2,0.8,,
0.2,0.9,,
0.3,0.4,0.9476175694143071,0.43621569190658227
0.3,0.5,0.5828996559875119,0.5045112655494874
0.3,0.6,0.0,
0.3,0.7,,
0.3,0.8,,
0.3,0.9,,
0.4,0.5,1.1695594588372513,0.42439710516634077
0.4,0.6,0.939892178874537,0.44646212238927496
0.4,0.7,0.5565492766542918,0.5675906198396304
0.4,0.8,,
0.4,0.9,,
0.5,0.6,1.3619804581563222,0.4281063754658067
0.5,0.7,1.1419580257817248,0.44429047901219554
0.5,0.8,0.5258403076416316,0.7206413128251993
0.5,0.9,,
0.6,0.7,1.0,0.5054904880557713
0.6,0.8,1.1504947316609875,0.48070161351403123
0.6,0.9,,
0.7,0.8,1.6989129250349178,0.46724372931548064
0.7,0.9,0.0,
0.8,0.9,1.672376735673487,0.5743344479501095
