m,M,epsilon_of_M,stat_NICV
0.0,0.0,1.0,0.00054067680959993
0.01,0.01,1.0063647580360118,0.0005821943372820551
0.02,0.02,1.0128179179349637,0.0006078315355717958
0.03,0.03,1.0193614715465262,0.0005227479145909732
0.04,0.04,1.0259974746609668,0.00047257234999254985
0.05,0.05,1.032728049717885,0.0006672079239845638
0.06,0.06,1.0395553886588504,0.0006009406728087811
0.07,0.07,1.046481755933204,0.0006169590480685369
0.08,0.08,1.053509491666951,0.0006028784983050979
0.09,0.09,1.0606410150054735,0.0006047187847574287
0.1,0.1,1.067878827641591,0.0006251506563931113
0.11,0.11,1.0752255175414156,0.000704027364667542
0.12,0.12,1.0826837628814319,0.0005540464686670761
0.13,0.13,1.0902563362112878,0.0005660038559579657
0.14,0.14,1.097946108857996,0.0006707185809412525
0.15,0.15,1.1057560555884813,0.0005077088885610077
0.16,0.16,1.1136892595488543,0.0005556713363550287
0.17,0.17,1.1217489175003088,0.0005056129215999154
0.18,0.18,1.1299383453732408,0.0005045724234637013
0.19,0.19,1.1382609841630418,0.0007009693074312355
0.2,0.2,1.146720406193046,0.0006408240001989415
0.21,0.21,1.1553203217723849,0.0006013943637746729
0.22,0.22,1.1640645862789334,0.0006882664689697096
0.23,0.23,1.172957207700318,0.0007348139749974417
0.24,0.24,1.1820023546689093,0.0007762394960665916
0.25,0.25,1.19120436503011,0.0005457985229183799
0.26,0.26,1.2005677549869138,0.0005421898638097701
0.27,0.27,1.210097228867802,0.0005910606039984568
0.28,0.28,1.2197976895696174,0.0005987232749786761
0.29,0.29,1.229674249732078,0.0007043686495655868
0.3,0.3,1.2397322437062515,0.0007470321962893483
0.31,0.31,1.2499772403855614,0.0006871938692290574
0.32,0.32,1.2604150569749348,0.0006060387303784742
0.33,0.33,1.2710517737815223,0.000851791934187832
0.34,0.34,1.281893750119208,0.00081288435754517
0.35,0.35,1.2929476414289993,0.0008108966719189768
0.36,0.36,1.3042204177284589,0.0007469448914153427
0.37,0.37,1.3157193835158085,0.001016608151802058
0.38,0.38,1.3274521992684327,0.0006971036025863576
0.39,0.39,1.3394269046914018,0.0007491895016438635
0.4,0.4,1.3516519438896402,0.0009004108781704716
0.41,0.41,1.3641361926578157,0.0007916193939741539
0.42,0.42,1.3768889881052373,0.0010291072750981442
0.43,0.43,1.3899201608595144,0.0011236792229333918
0.44,0.44,1.4032400701229404,0.0008720289603932881
0.45,0.45,1.4168596418901167,0.001153744408524082
0.46,0.46,1.4307904106749971,0.000889706534152265
0.47,0.47,1.4450445651410395,0.0007771053451356465
0.48,0.48,1.4596349980807526,0.001247756108723849
0.49,0.49,1.4745753612514938,0.0011171185147605877
0.5,0.5,1.4898801256447494,0.001095843573776715
0.51,0.51,1.5055646478477143,0.0011743672754997258
0.52,0.52,1.5216452432511252,0.0016890664952325782
0.53,0.53,1.538139266968456,0.0013199962085256886
0.54,0.54,1.5550652034618422,0.0015103240822017152
0.55,0.55,1.572442766023277,0.0013215113455343167
0.56,0.56,1.5902930074403714,0.001983167243640986
0.57,0.57,1.6086384433899386,0.0015603315769202929
0.58,0.58,1.627503190356941,0.0020704867174553875
0.59,0.59,1.6469131201796612,0.0016953512521870845
0.6,0.6,1.666896033685178,0.0019316901938779868
0.61,0.61,1.6874818563161362,0.0018627139731396342
0.62,0.62,1.7087028591774003,0.0026944203739753957
0.63,0.63,1.7305939095715457,0.002386224738440352
0.64,0.64,1.7531927558727805,0.002137433225132975
0.65,0.65,1.7765403525456835,0.001833609753174177
0.66,0.66,1.8006812322938008,0.0025194431009474484
0.67,0.67,1.825663933783539,0.003201754849301469
0.68,0.68,1.8515414952088523,0.002536985685342494
0.69,0.69,1.8783720262447996,0.003056119038823988
0.7,0.7,1.9062193738198776,0.002439218019873573
0.71,0.71,1.935153900800814,0.003535508777956695
0.72,0.72,1.9652534013766958,0.0064774092684214924
0.73,0.73,1.9966041829888956,0.005156432357817072
0.74,0.74,2.0293023525439127,0.00415708750555133
0.75,0.75,2.063455355014828,0.004994163960336432
0.76,0.76,2.0991838262950595,0.004160758627372887
0.77,0.77,2.1366238406150826,0.005718086661465444
0.78,0.78,2.1759296578470386,0.005424416285521812
0.79,0.79,2.2172771103569073,0.007695044106276699
0.8,0.8,2.260867816817828,0.005822660972222343
0.81,0.81,2.3069344777758474,0.007707445262043559
0.82,0.82,2.355747604326646,0.013532017745885767
0.83,0.83,2.40762417206322,0.01370514421567915
0.84,0.84,2.462938901677292,0.02119637946902975
0.85,0.85,2.5221391850786152,0.01440306426489333
0.86,0.86,2.5857651690394006,0.015605224174165773
0.87,0.87,2.6544772946958113,0.02154937215382412
0.88,0.88,2.729094882687595,0.02164601077078371
0.89,0.89,2.8106515474558647,0.02871862575767754
0.9,0.9,2.900477097889386,0.04658512185124771
0.91,0.91,3.0003227370465355,0.04882400051252271
0.92,0.92,3.1125603136022213,0.06067417393676703
0.93,0.93,3.2405153234437045,0.09538055568866119
0.94,0.94,3.3890583499851985,0.15332868040512806
0.95,0.95,3.565740630302793,0.2136831253911461
0.96,0.96,3.7832129232615723,0.2975646491103011
0.97,0.97,4.065191390652873,0.4339899810249865
0.98,0.98,4.464920175891208,0.8956473717120369
0.99,0.99,5.152297938244443,1.536480714904442
0.1,0.2,0.0,
0.1,0.3,,
0.1,0.4,,
0.1,0.5,,
0.1,0.6,,
0.1,0.7,,
0.1,0.8,,
0.1,0.9,,
0.2,0.3,0.6558318735740907,0.00857605431819352
0.2,0.4,0.0,
0.2,0.5,,
0.2,0.6,,
0.2,0.7,,
0.2,0.8,,
0.2,0.9,,
0.3,0.4,0.9476175694143071,0.0023434958214125848
0.3,0.5,0.5828996559875119,0.013339694894555174
0.3,0.6,0.0,
0.3,0.7,,
0.3,0.8,,
0.3,0.9,,
0.4,0.5,1.1695594588372513,0.0014723150013644184
0.4,0.6,0.939892178874537,0.0037343305413776507
0.4,0.7,0.5565492766542918,0.027933574020866807
0.4,0.8,,
0.4,0.9,,
0.5,0.6,1.3619804581563222,0.001980666718728478
0.5,0.7,1.1419580257817248,0.0032388912045203354
0.5,0.8,0.5258403076416316,0.1819119882102131
0.5,0.9,,
0.6,0.7,1.0,0.011880970188468917
0.6,0.8,1.1504947316609875,0.012227818906436207
0.6,0.9,,
0.7,0.8,1.6989129250349178,0.008890072515694203
0.7,0.9,0.0,
0.8,0.9,1.672376735673487,0.03967195757104957
