m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,1.8201228237399924e-05,1.7381536985200028e-05,3.053415885939995e-05
0.01,0.01,0.00010881982709970005,6.86124358814e-05,3.188110359950006e-05
0.02,0.02,-9.908891479630001e-05,-0.00016594301529570003,-6.503466922000564e-07
0.03,0.03,-0.0002352784652639,-3.764169718610002e-05,-0.00025974669416190004
0.04,0.04,6.96617872362001e-05,0.00016994364684780008,-2.466118267389992e-05
0.05,0.05,-2.1627210844700072e-05,2.527323786499997e-06,-0.0001251419820772
0.06,0.06,-5.048675637869999e-05,2.0869096890000004e-05,2.5956366184799978e-05
0.07,0.07,-7.714233235729998e-05,-7.36531335038999e-05,4.257438231720001e-05
0.08,0.08,8.54847043017e-05,6.807156780530002e-05,9.764569657330006e-05
0.09,0.09,-4.9525708113099974e-05,-1.2358107365999628e-06,-0.00015768761132769994
0.1,0.1,-8.895590131449997e-05,2.8900517460000302e-06,-1.8462965601599994e-05
0.11,0.11,-0.00010651325250700004,-9.50230680896e-05,-5.563125861639999e-05
0.12,0.12,9.262881511100005e-05,0.00013978793200279996,-4.132466094259994e-05
0.13,0.13,-9.912091019230007e-05,-5.743641569419999e-05,0.00014155816603889993
0.14,0.14,-0.0004004532807014,-0.00010147459860440004,-7.652259920079996e-05
0.15,0.15,-0.00023954274438259997,0.00013742982381609997,-5.661340893649996e-05
0.16,0.16,-0.00017677813073760005,7.104524971499938e-06,-0.0001314377288695
0.17,0.17,-0.00021499285182900003,0.00010381290572889998,-0.0001707447960216
0.18,0.18,-0.00046074422347610006,5.208563546609999e-05,-0.00041056693964360003
0.19,0.19,-0.0002823703313664,-9.146528216940003e-05,-0.00010564627232380005
0.2,0.2,-0.0002121237357124,-8.757385909160002e-05,0.00027960876517680005
0.21,0.21,-0.0001833776917412,6.349372667370002e-05,-6.311616903469997e-05
0.22,0.22,-0.00038475506403470004,1.4858888891499983e-05,-0.0004957556505719
0.23,0.23,-0.00036188763571320004,-3.5056672016900024e-05,-0.0003141810431042001
0.24,0.24,-0.00012594700704799994,-5.1582416197999996e-05,-3.7298264789299923e-05
0.25,0.25,-0.00047672684621400004,9.937902522399924e-06,-6.998983168229997e-05
0.26,0.26,-0.0008969443930482998,-1.532740959619993e-05,-0.0005154046167790999
0.27,0.27,-0.0008176347907195001,8.112592015069992e-05,-0.0007841163807819001
0.28,0.28,-0.0007094825475100001,-8.314523810370002e-05,-0.0002139596861758001
0.29,0.29,-0.0008191525814904999,-6.56495137123e-05,-0.0006145595422382999
0.3,0.3,-0.0008815091675679999,-0.0001408840179538,-0.0005240586846607
0.31,0.31,-0.0004219725584134,1.215180001429999e-05,4.6048140933099965e-05
0.32,0.32,-0.0006974958878885,-3.375757667290001e-05,-0.0003440051059632001
0.33,0.33,-0.0011313377734692002,-0.00017455789520900002,-0.0008311324933172001
0.34,0.34,-0.0012583861463449,-0.00026495238047120006,-0.0008960308783195001
0.35,0.35,-0.0013145196100061997,-0.0002463042166899,-0.0007107562164340999
0.36,0.36,-0.0014512343183627,-0.00010686005413369998,-0.0010153844061710998
0.37,0.37,-0.0023826707799139,-0.0004819677410819,-0.0015025180738633
0.38,0.38,-0.0024386683795155,-0.000270761688,-0.0012212569087020001
0.39,0.39,-0.0018938493299984,-0.00019020463398150003,-0.0010580184552212999
0.4,0.4,-0.0021121493454095,-0.0003993331905847,-0.0012523850150231
0.41,0.41,-0.0019070351504828001,-0.0003237619766978,-0.0010338574668838
0.42,0.42,-0.0023589399524321,-0.00041043404259539997,-0.0016162882296810001
0.43,0.43,-0.0031916797401807997,-0.0006454529463547999,-0.0022336162476411
0.44,0.44,-0.0028565908852728,-0.00021830509476850003,-0.002177295434937
0.45,0.45,-0.0033482469368041,-0.0007022090395424,-0.0020012636402347
0.46,0.46,-0.0042847865621934,0.00012798436653479995,-0.003189359606032
0.47,0.47,-0.0026456091824803,-7.13140373770001e-05,-0.0013833037167356997
0.48,0.48,-0.0036141546986397004,-0.0006238695666777999,-0.0024403044365241
0.49,0.49,-0.0034269539090564,-0.0004931033654874999,-0.0021928987867065
0.5,0.5,-0.0041173035076664,-0.0003493875442968999,-0.0030957600522648005
0.51,0.51,-0.0037559459650371996,-0.00043667463570100005,-0.0013645765193996996
0.52,0.52,-0.0054156298451910004,-0.0009990638642253,-0.0035965056616623003
0.53,0.53,-0.0071213365840674,-0.0008088165763662999,-0.0043101999959658
0.54,0.54,-0.0048788393283187995,-0.0008344175340389001,-0.0027365091514391
0.55,0.55,-0.0053623950849178,-0.0007444896982129,-0.0029867499091012
0.56,0.56,-0.007394782607489999,-0.0014041341516262001,-0.004309735724253599
0.57,0.57,-0.013659232458476899,-0.0008712475918501001,-0.010735059695001499
0.58,0.58,-0.0076472040789794,-0.0016349981523796,-0.0045141334444216
0.59,0.59,-0.008078820138122,-0.0010796625151456,-0.0046012140472853
0.6,0.6,-0.0161862759406805,-0.0012969394864127,-0.0131141553894485
0.61,0.61,-0.0111158914836385,-0.0013098380255679,-0.006081285880416999
0.62,0.62,-0.0117548518407631,-0.0021799029470062,-0.0072955991236403
0.63,0.63,-0.0129741947002088,-0.0018257906698941,-0.008312989577477201
0.64,0.64,-0.0157802713079615,-0.0013967353722371,-0.0103823922875332
0.65,0.65,-0.0170774757014215,-0.0012449811614003,-0.0115565738323886
0.66,0.66,-0.0255676798016181,-0.0018937219830533999,-0.0210014172828486
0.67,0.67,-0.023783881551791,-0.0026802978352396998,-0.0179454760068824
0.68,0.68,-0.0222524567181011,-0.0018583768293186998,-0.0167504979546551
0.69,0.69,-0.0322381201319083,-0.00246192666676,-0.0218004179492277
0.7,0.7,-0.0274574136292265,-0.0018264670751806998,-0.0169081049949246
