m,M,epsilon_of_M,NICV
0.0,0.0,2.0,0.3314964294501937
0.0,0.0,2.0,0.3817090637697747
0.0,0.0,2.0,0.3411977787064769
0.0,0.0,2.0,0.32575418874708434
0.0,0.0,2.0,0.25229934395279424
0.0,0.0,2.0,0.3949906438731674
0.0,0.0,2.0,0.30650525022858865
0.0,0.0,2.0,0.3074535474255601
0.0,0.0,2.0,0.2923355374069999
0.0,0.0,2.0,0.3627097511036615
0.0,0.0,2.0,0.30343051855082726
0.0,0.0,2.0,0.3063599686958563
0.0,0.0,2.0,0.30147354112194846
0.0,0.0,2.0,0.39684205668290196
0.0,0.0,2.0,0.3740139180026746
0.0,0.0,2.0,0.3399405296814899
0.0,0.0,2.0,0.31389232333570544
0.0,0.0,2.0,0.3395697989976217
0.0,0.0,2.0,0.30734241982441657
0.0,0.0,2.0,0.3032768686821218
0.0,0.0,2.0,0.30592063842494577
0.0,0.0,2.0,0.3397505114360085
0.0,0.0,2.0,0.3765457513610893
0.0,0.0,2.0,0.3969787362359591
0.0,0.0,2.0,0.38648899765861905
0.0,0.0,2.0,0.3777780066708664
0.0,0.0,2.0,0.3133515194734925
0.0,0.0,2.0,0.37241013575022464
0.0,0.0,2.0,0.3247977871889638
0.0,0.0,2.0,0.29639839036510107
0.0,0.0,2.0,0.3103611426029352
0.0,0.0,2.0,0.3347403514316626
0.0,0.0,2.0,0.26502167157407486
0.0,0.0,2.0,0.31530788531415327
0.0,0.0,2.0,0.39787145372743277
0.0,0.0,2.0,0.3976074177085691
0.0,0.0,2.0,0.2960764086971443
0.0,0.0,2.0,0.300019756789832
0.0,0.0,2.0,0.30356096218040524
0.0,0.0,2.0,0.3034489428085976
0.0,0.0,2.0,0.31108343903482844
0.0,0.0,2.0,0.3330991562070618
0.0,0.0,2.0,0.32070665867334086
0.0,0.0,2.0,0.32047434842848654
0.0,0.0,2.0,0.3376593901066625
0.0,0.0,2.0,0.3928837281996786
0.0,0.0,2.0,0.38415879684285764
0.0,0.0,2.0,0.39463663919626185
0.0,0.0,2.0,0.303220041220495
0.0,0.0,2.0,0.39207251270887367
0.0,0.0,2.0,0.30468713778768125
0.0,0.0,2.0,0.36631461991854025
0.0,0.0,2.0,0.3185780905447354
0.0,0.0,2.0,0.3837177483452747
0.0,0.0,2.0,0.39878432757485843
0.0,0.0,2.0,0.3097473068827913
0.0,0.0,2.0,0.32134162984467324
0.0,0.0,2.0,0.31572499627914624
0.0,0.0,2.0,0.3908264833818542
0.0,0.0,2.0,0.33971952238495345
0.0,0.0,2.0,0.31212107532846445
0.0,0.0,2.0,0.32099037668371855
0.0,0.0,2.0,0.39692702135340213
0.0,0.0,2.0,0.3225030178283636
0.0,0.0,2.0,0.3050196310476865
0.0,0.0,2.0,0.3176671882172349
0.0,0.0,2.0,0.30106963793445823
0.0,0.0,2.0,0.2732006940941477
0.0,0.0,2.0,0.3797176354337452
0.0,0.0,2.0,0.3318324741221863
0.0,0.0,2.0,0.3072319721964129
0.0,0.0,2.0,0.3148122919048049
0.0,0.0,2.0,0.3894492633852762
0.0,0.0,2.0,0.3022726140911429
0.0,0.0,2.0,0.3175503675956719
0.0,0.0,2.0,0.3562344397275116
0.0,0.0,2.0,0.40387768334021756
0.0,0.0,2.0,0.3087956478806883
0.0,0.0,2.0,0.3236382233982951
0.0,0.0,2.0,0.3720356325081804
0.0,0.0,2.0,0.2938653550879094
0.0,0.0,2.0,0.3920218801433194
0.0,0.0,2.0,0.30616511100165567
0.0,0.0,2.0,0.3029715193689151
0.0,0.0,2.0,0.3147529483507577
0.0,0.0,2.0,0.3879575821348451
0.0,0.0,2.0,0.4107357408005619
0.0,0.0,2.0,0.3014316920439489
