m,M,epsilon_of_M,stat_NICV
0.0,0.0,2.0,0.001625380253863543
0.01,0.01,2.0,0.001603286394108621
0.02,0.02,2.0,0.001575326371626204
0.03,0.03,2.0,0.0016832101747361566
0.04,0.04,2.0,0.0015003962587257372
0.05,0.05,2.0,0.0016273519733130183
0.06,0.06,2.0,0.0016330189859503727
0.07,0.07,2.0,0.0015156794690077103
0.08,0.08,2.0,0.001677537596030335
0.09,0.09,2.0,0.0016375508821120201
0.1,0.1,2.0,0.001644039983220409
0.11,0.11,2.0,0.0015985405432860896
0.12,0.12,2.0,0.0016249867813288592
0.13,0.13,2.0,0.0016244727972404927
0.14,0.14,2.0,0.0015229601005580912
0.15,0.15,2.0,0.0015872854272634017
0.16,0.16,2.0,0.0016616582241119093
0.17,0.17,2.0,0.0017389282142484734
0.18,0.18,2.0,0.0016233360001467428
0.19,0.19,2.0,0.0015933177713212184
0.2,0.2,2.0,0.0016208500888978076
0.21,0.21,2.0,0.001677700847328661
0.22,0.22,2.0,0.001603165317246073
0.23,0.23,2.0,0.0017143998052659764
0.24,0.24,2.0,0.0016123789058948579
0.25,0.25,2.0,0.0016743641096942056
0.26,0.26,2.0,0.0017447057262680564
0.27,0.27,2.0,0.0015695801210015231
0.28,0.28,2.0,0.0016969947761353334
0.29,0.29,2.0,0.0015529488549018652
0.3,0.3,2.0,0.0016354238214959418
0.31,0.31,2.0,0.0016244292823206386
0.32,0.32,2.0,0.001513959416920692
0.33,0.33,2.0,0.0014933331608126565
0.34,0.34,2.0,0.0016012041697336065
0.35,0.35,2.0,0.0015405291849820617
0.36,0.36,2.0,0.0016243670384007427
0.37,0.37,2.0,0.0015445348997134196
0.38,0.38,2.0,0.0016100143599432992
0.39,0.39,2.0,0.0015401455850812225
0.4,0.4,2.0,0.001646309998497579
0.41,0.41,2.0,0.0017744378089272123
0.42,0.42,2.0,0.0016831687102922468
0.43,0.43,2.0,0.0015704705808698666
0.44,0.44,2.0,0.0015932494855490427
0.45,0.45,2.0,0.0016205948726832754
0.46,0.46,2.0,0.0016276805087432902
0.47,0.47,2.0,0.0016455040570293622
0.48,0.48,2.0,0.0016793713146829572
0.49,0.49,2.0,0.0016101104204035456
0.5,0.5,2.0,0.0015140483176882135
0.51,0.51,2.0,0.0016214095011908352
0.52,0.52,2.0,0.0016647674282552827
0.53,0.53,2.0,0.0015392551182259232
0.54,0.54,2.0,0.0015364321119480425
0.55,0.55,2.0,0.0017107704924889714
0.56,0.56,2.0,0.0016912764469496583
0.57,0.57,2.0,0.001635912942199797
0.58,0.58,2.0,0.0016504165796894373
0.59,0.59,2.0,0.00158640324190245
0.6,0.6,2.0,0.0015285386033267842
0.61,0.61,2.0,0.0015136811721984157
0.62,0.62,2.0,0.0016647314622232467
0.63,0.63,2.0,0.00159806554081653
0.64,0.64,2.0,0.0015725593396107439
0.65,0.65,2.0,0.0017395562695523923
0.66,0.66,2.0,0.001651343874612318
0.67,0.67,2.0,0.00164578322162405
0.68,0.68,2.0,0.0015841264438941566
0.69,0.69,2.0,0.0016489946924421568
0.7,0.7,2.0,0.001629997890644698
0.71,0.71,2.0,0.0015086129241674098
0.72,0.72,2.0,0.001799874949885349
0.73,0.73,2.0,0.0015397735318418081
0.74,0.74,2.0,0.0016355552299512324
0.75,0.75,2.0,0.0016605972325026814
0.76,0.76,2.0,0.0016589496475820677
0.77,0.77,2.0,0.0015957356672896949
0.78,0.78,2.0,0.001685698968798509
0.79,0.79,2.0,0.001626774529367583
0.8,0.8,2.0,0.0016376678701849581
0.81,0.81,2.0,0.0016147046142005396
0.82,0.82,2.0,0.0015190777279140905
0.83,0.83,2.0,0.0015783029500965212
0.84,0.84,2.0,0.0016423971290059557
0.85,0.85,2.0,0.0016183037241463956
0.86,0.86,2.0,0.0016531342453421965
0.87,0.87,2.0,0.0016395698944376947
0.88,0.88,2.0,0.0015824201823623203
0.89,0.89,2.0,0.0016790453839875116
0.9,0.9,2.0,0.0016243958986666017
0.91,0.91,2.0,0.0016992889165329868
0.92,0.92,2.0,0.0016017333823054951
0.93,0.93,2.0,0.0014797523900825964
0.94,0.94,2.0,0.001652604768400351
0.95,0.95,2.0,0.0016314297244203007
0.96,0.96,2.0,0.0016718874560983567
0.97,0.97,2.0,0.0015360701705761737
0.98,0.98,2.0,0.0015498194262339965
0.99,0.99,2.0,0.0016284132244441306
0.1,0.2,2.0,0.0017058619892308887
0.1,0.3,2.0,0.0016394601600869263
0.1,0.4,2.0,0.0015771031936070638
0.1,0.5,2.0,0.0017338622233837734
0.1,0.6,2.0,0.001701047022230709
0.1,0.7,2.0,0.0016166650941472672
0.1,0.8,2.0,0.0016197012918305245
0.1,0.9,2.0,0.0017603346231594632
0.2,0.3,2.0,0.0016918730668484202
0.2,0.4,2.0,0.0015453478075598966
0.2,0.5,2.0,0.0016057014828521204
0.2,0.6,2.0,0.001668867026858389
0.2,0.7,2.0,0.001653975915953166
0.2,0.8,2.0,0.0016007085808458982
0.2,0.9,2.0,0.0016223079542612693
0.3,0.4,2.0,0.0016420594807389794
0.3,0.5,2.0,0.0015920010505197086
0.3,0.6,2.0,0.0015936868496670789
0.3,0.7,2.0,0.0016104194032764976
0.3,0.8,2.0,0.0017615077061267823
0.3,0.9,2.0,0.0016096905604795185
0.4,0.5,2.0,0.001684489552455914
0.4,0.6,2.0,0.0016171433133314703
0.4,0.7,2.0,0.0016385741452037434
0.4,0.8,2.0,0.0015627086149804553
0.4,0.9,2.0,0.001606334024468175
0.5,0.6,2.0,0.0017096838170312938
0.5,0.7,2.0,0.0016584850783599124
0.5,0.8,2.0,0.0016065924798473934
0.5,0.9,2.0,0.0016903080947825863
0.6,0.7,2.0,0.0016609155517898818
0.6,0.8,2.0,0.001707851713446502
0.6,0.9,2.0,0.0016216441914863277
0.7,0.8,2.0,0.0016415159507394382
0.7,0.9,2.0,0.0016481003538992092
0.8,0.9,2.0,0.0017081602326835719
