m,M,epsilon_of_M,stat_NICV
0.0,0.0,2.0,0.33783030297275696
0.01,0.01,2.0,0.3397888380576967
0.02,0.02,2.0,0.3415092720646358
0.03,0.03,2.0,0.3417951034067716
0.04,0.04,2.0,0.34237741950145645
0.05,0.05,2.0,0.3462753017091825
0.06,0.06,2.0,0.3438402892574993
0.07,0.07,2.0,0.3442782711151571
0.08,0.08,2.0,0.3466722158929221
0.09,0.09,2.0,0.3499166433169815
0.1,0.1,2.0,0.35071181182501143
0.11,0.11,2.0,0.355707356196549
0.12,0.12,2.0,0.3559738808308049
0.13,0.13,2.0,0.35462898993893094
0.14,0.14,2.0,0.35638724683157474
0.15,0.15,2.0,0.35591518313745596
0.16,0.16,2.0,0.35682334935933646
0.17,0.17,2.0,0.3589244064200607
0.18,0.18,2.0,0.35840901904031286
0.19,0.19,2.0,0.3600293064535492
0.2,0.2,2.0,0.3604569703585845
0.21,0.21,2.0,0.3619456288565799
0.22,0.22,2.0,0.3638692958710629
0.23,0.23,2.0,0.36640454551787816
0.24,0.24,2.0,0.37025316210312403
0.25,0.25,2.0,0.3682015737938746
0.26,0.26,2.0,0.3707969985555155
0.27,0.27,2.0,0.3710877031167473
0.28,0.28,2.0,0.3714193442543962
0.29,0.29,2.0,0.3787132049913412
0.3,0.3,2.0,0.3771478884711228
0.31,0.31,2.0,0.37715531295481386
0.32,0.32,2.0,0.3812250263289175
0.33,0.33,2.0,0.38136322148429314
0.34,0.34,2.0,0.38337870477860975
0.35,0.35,2.0,0.38349737376065807
0.36,0.36,2.0,0.3881374406211487
0.37,0.37,2.0,0.3868446193837223
0.38,0.38,2.0,0.38749750487531864
0.39,0.39,2.0,0.38833741614137113
0.4,0.4,2.0,0.3933015270488714
0.41,0.41,2.0,0.39486882046426014
0.42,0.42,2.0,0.3959104868384113
0.43,0.43,2.0,0.3955208296802648
0.44,0.44,2.0,0.39836543207851344
0.45,0.45,2.0,0.3963099759504396
0.46,0.46,2.0,0.39986337994359533
0.47,0.47,2.0,0.4001321700543517
0.48,0.48,2.0,0.40192099184616725
0.49,0.49,2.0,0.4018689241605631
0.5,0.5,2.0,0.40444679827983204
0.51,0.51,2.0,0.4056964293744581
0.52,0.52,2.0,0.4059626993600135
0.53,0.53,2.0,0.40856537516624486
0.54,0.54,2.0,0.40841094917126036
0.55,0.55,2.0,0.41012730796790253
0.56,0.56,2.0,0.4123323715031089
0.57,0.57,2.0,0.41379955800235907
0.58,0.58,2.0,0.41545568880281325
0.59,0.59,2.0,0.41450220187591424
0.6,0.6,2.0,0.41607899174880447
0.61,0.61,2.0,0.4185591215020241
0.62,0.62,2.0,0.4221221637984246
0.63,0.63,2.0,0.42277449591792665
0.64,0.64,2.0,0.42324729996679955
0.65,0.65,2.0,0.42440215218682875
0.66,0.66,2.0,0.42899760346397486
0.67,0.67,2.0,0.4332604277933026
0.68,0.68,2.0,0.4364758839368383
0.69,0.69,2.0,0.44151343747385624
0.7,0.7,2.0,0.43920805708974237
0.71,0.71,2.0,0.4435516806780736
0.72,0.72,2.0,0.44752991590574426
0.73,0.73,2.0,0.45240760824878234
0.74,0.74,2.0,0.4604659764485493
0.75,0.75,2.0,0.46220973113858665
0.76,0.76,2.0,0.46398285186777544
0.77,0.77,2.0,0.4804484923411918
0.78,0.78,2.0,0.4805968228932214
0.79,0.79,2.0,0.4920122521361087
0.8,0.8,2.0,0.4951928501822192
0.81,0.81,2.0,0.5121449800969036
0.82,0.82,2.0,0.5291232294212416
0.83,0.83,2.0,0.5446525252111376
0.84,0.84,2.0,0.5730192228795917
0.85,0.85,2.0,0.5863318646801727
0.86,0.86,2.0,0.6299413805876211
0.87,0.87,2.0,0.6365844490979895
0.88,0.88,2.0,0.6979667603289341
0.89,0.89,2.0,0.7299779141422714
0.9,0.9,2.0,0.8418597780029752
0.91,0.91,2.0,0.8988468316741306
0.92,0.92,2.0,1.048557762027644
0.93,0.93,2.0,1.123201466859311
0.94,0.94,2.0,1.3751000258787665
0.95,0.95,2.0,1.6412825692549555
0.96,0.96,2.0,2.0243799171150445
0.97,0.97,2.0,2.357330426770366
0.98,0.98,2.0,2.7235735915231025
0.99,0.99,2.0,3.052473570453022
0.1,0.2,2.0,0.3500402714154329
0.1,0.3,2.0,0.3491622829834405
0.1,0.4,2.0,0.3497083354764916
0.1,0.5,2.0,0.35290866188308295
0.1,0.6,2.0,0.3496226527481197
0.1,0.7,2.0,0.3513934125757509
0.1,0.8,2.0,0.34956374318304245
0.1,0.9,2.0,0.35021542523080973
0.2,0.3,2.0,0.3644500821150434
0.2,0.4,2.0,0.36280475851691146
0.2,0.5,2.0,0.3621416846147674
0.2,0.6,2.0,0.3618326314804897
0.2,0.7,2.0,0.36176700057609057
0.2,0.8,2.0,0.3613525571136138
0.2,0.9,2.0,0.36055635255382484
0.3,0.4,2.0,0.37703497936480096
0.3,0.5,2.0,0.37653988268001953
0.3,0.6,2.0,0.37638717751467676
0.3,0.7,2.0,0.3781917399080528
0.3,0.8,2.0,0.3770194053495135
0.3,0.9,2.0,0.3778388105481689
0.4,0.5,2.0,0.3912782608179263
0.4,0.6,2.0,0.39032375553912446
0.4,0.7,2.0,0.3888435070792219
0.4,0.8,2.0,0.3880572686571228
0.4,0.9,2.0,0.3857898211820098
0.5,0.6,2.0,0.4027819590017027
0.5,0.7,2.0,0.40233225374229525
0.5,0.8,2.0,0.3988699426577839
0.5,0.9,2.0,0.39606916534034164
0.6,0.7,2.0,0.41746112721405354
0.6,0.8,2.0,0.4124567173067882
0.6,0.9,2.0,0.4095208352039478
0.7,0.8,2.0,0.4403189998602552
0.7,0.9,2.0,0.44303719526255386
0.8,0.9,2.0,0.5107144801533253
