m,M,epsilon_of_M,NICV
0.0,0.0,2.0,0.24954842003133829
0.0,0.0,2.0,0.31693219519366633
0.0,0.0,2.0,0.31276699802482566
0.0,0.0,2.0,0.3238890150416711
0.0,0.0,2.0,0.29670702305450686
0.0,0.0,2.0,0.3923421406547814
0.0,0.0,2.0,0.388731967184085
0.0,0.0,2.0,0.3084950788745228
0.0,0.0,2.0,0.40881973625947365
0.0,0.0,2.0,0.32188914725242845
0.0,0.0,2.0,0.38699345495366705
0.0,0.0,2.0,0.3597135109900319
0.0,0.0,2.0,0.3992503552899465
0.0,0.0,2.0,0.4153540132857507
0.0,0.0,2.0,0.35542313354624705
0.0,0.0,2.0,0.3242120099521522
0.0,0.0,2.0,0.3838075801811366
0.0,0.0,2.0,0.3034735012084955
0.0,0.0,2.0,0.40168892376639453
0.0,0.0,2.0,0.32096724611925975
0.0,0.0,2.0,0.3104261089916501
0.0,0.0,2.0,0.3156043894021848
0.0,0.0,2.0,0.39465899917380265
0.0,0.0,2.0,0.33546642866430504
0.0,0.0,2.0,0.39798311232326855
0.0,0.0,2.0,0.31013356670949166
0.0,0.0,2.0,0.31503264981114104
0.0,0.0,2.0,0.31679656946497475
0.0,0.0,2.0,0.320210050540428
0.0,0.0,2.0,0.3181516109837972
0.0,0.0,2.0,0.3724760443050908
0.0,0.0,2.0,0.38662044212565344
0.0,0.0,2.0,0.3114159021660653
0.0,0.0,2.0,0.32450558143565383
0.0,0.0,2.0,0.33582961968044756
0.0,0.0,2.0,0.31913409895713163
0.0,0.0,2.0,0.3009339591095144
0.0,0.0,2.0,0.3081345958396714
0.0,0.0,2.0,0.33150877832238435
0.0,0.0,2.0,0.39382780400351514
0.0,0.0,2.0,0.3144274951486814
0.0,0.0,2.0,0.29000548932965525
0.0,0.0,2.0,0.34258909189979236
0.0,0.0,2.0,0.3802823322433592
0.0,0.0,2.0,0.30911735188252376
0.0,0.0,2.0,0.36418750011479906
0.0,0.0,2.0,0.3867635472899312
0.0,0.0,2.0,0.35191434172808095
0.0,0.0,2.0,0.3048781352009865
0.0,0.0,2.0,0.39595770005849174
0.0,0.0,2.0,0.3879201039781112
0.0,0.0,2.0,0.31460580517869596
0.0,0.0,2.0,0.32904136929978345
0.0,0.0,2.0,0.30833053421538575
0.0,0.0,2.0,0.31619493516368885
0.0,0.0,2.0,0.3036292456876348
0.0,0.0,2.0,0.27776733626674527
0.0,0.0,2.0,0.3145970978137148
0.0,0.0,2.0,0.4009998026853416
0.0,0.0,2.0,0.30497179205860075
0.0,0.0,2.0,0.38083995941734305
0.0,0.0,2.0,0.32557948751840965
0.0,0.0,2.0,0.39085947300401275
0.0,0.0,2.0,0.3914296232953366
0.0,0.0,2.0,0.39343498895790824
0.0,0.0,2.0,0.29300669236025934
0.0,0.0,2.0,0.3894728650304808
0.0,0.0,2.0,0.3234207992010916
0.0,0.0,2.0,0.33735965037496224
0.0,0.0,2.0,0.2933774082284108
0.0,0.0,2.0,0.3248266665633926
0.0,0.0,2.0,0.32129485445931344
0.0,0.0,2.0,0.3248566330233033
0.0,0.0,2.0,0.3056503946149908
0.0,0.0,2.0,0.319926173842665
0.0,0.0,2.0,0.3928050150906238
0.0,0.0,2.0,0.309243494836513
0.0,0.0,2.0,0.3944543415868465
0.0,0.0,2.0,0.36876606997290495
0.0,0.0,2.0,0.35820022675851304
0.0,0.0,2.0,0.39949770101262655
0.0,0.0,2.0,0.3636890066783941
0.0,0.0,2.0,0.30154626884808156
0.0,0.0,2.0,0.34148488230114354
0.0,0.0,2.0,0.38786445114821066
0.0,0.0,2.0,0.40212981866107333
0.0,0.0,2.0,0.32184881136427257
0.0,0.0,2.0,0.30289673735603095
0.0,0.0,2.0,0.37642707343923043
0.0,0.0,2.0,0.3844362625389156
0.0,0.0,2.0,0.3121310736703919
0.0,0.0,2.0,0.3223813341045694
0.0,0.0,2.0,0.3027199780008331
0.0,0.0,2.0,0.39045907033264743
0.0,0.0,2.0,0.3032062974876188
0.0,0.0,2.0,0.2945499186109251
0.0,0.0,2.0,0.3640325650762473
0.0,0.0,2.0,0.3966641397074305
0.0,0.0,2.0,0.30161302555836483
0.0,0.0,2.0,0.311493498432427
0.0,0.0,2.0,0.30293009659006115
0.0,0.0,2.0,0.30912408690342147
0.0,0.0,2.0,0.4007908353333411
0.0,0.0,2.0,0.31699109098721656
0.0,0.0,2.0,0.3048280507625036
0.0,0.0,2.0,0.3009537578527587
0.0,0.0,2.0,0.38708325511450836
0.0,0.0,2.0,0.3300374943442204
0.0,0.0,2.0,0.3785077403831906
0.0,0.0,2.0,0.3850191067104811
0.0,0.0,2.0,0.30046182995250975
0.0,0.0,2.0,0.31264850390510857
0.0,0.0,2.0,0.38540678956939584
0.0,0.0,2.0,0.32841310301853543
0.0,0.0,2.0,0.3102681776757606
0.0,0.0,2.0,0.4005119403003462
0.0,0.0,2.0,0.33557940369925054
0.0,0.0,2.0,0.3142001384985945
0.0,0.0,2.0,0.3046144743857664
0.0,0.0,2.0,0.37875485281608456
0.0,0.0,2.0,0.30130809834228445
0.0,0.0,2.0,0.32586175725893235
0.0,0.0,2.0,0.3466521917403466
0.0,0.0,2.0,0.31802447599937167
0.0,0.0,2.0,0.33954340411388834
0.0,0.0,2.0,0.3151754468793172
0.0,0.0,2.0,0.3054325682837422
0.0,0.0,2.0,0.39823677624479864
0.0,0.0,2.0,0.3103345804131249
0.0,0.0,2.0,0.3168594371677195
0.0,0.0,2.0,0.39808278661226904
0.0,0.0,2.0,0.30354590986136326
0.0,0.0,2.0,0.34924562753162425
0.0,0.0,2.0,0.29162729287355277
0.0,0.0,2.0,0.3294781308300013
0.0,0.0,2.0,0.3963365377816563
0.0,0.0,2.0,0.30419455786162897
0.0,0.0,2.0,0.3032986618880201
0.0,0.0,2.0,0.3719208979216812
0.0,0.0,2.0,0.3967867909225395
0.0,0.0,2.0,0.39987247432182416
0.0,0.0,2.0,0.3169974635192222
0.0,0.0,2.0,0.3059240621491749
0.0,0.0,2.0,0.39030790848520647
0.0,0.0,2.0,0.3199403178689146
0.0,0.0,2.0,0.3040871046055823
0.0,0.0,2.0,0.3949423459874952
0.0,0.0,2.0,0.3024366543923948
0.0,0.0,2.0,0.38456984054791127
0.0,0.0,2.0,0.3531187574868241
0.0,0.0,2.0,0.3024052311237279
0.0,0.0,2.0,0.38479383424302327
0.0,0.0,2.0,0.31333088429956146
0.0,0.0,2.0,0.3969404474876921
0.0,0.0,2.0,0.3964086362259037
0.0,0.0,2.0,0.3875365863793621
0.0,0.0,2.0,0.3960999436791729
0.0,0.0,2.0,0.3163216883267163
0.0,0.0,2.0,0.39530370613223814
0.0,0.0,2.0,0.30631590952226423
0.0,0.0,2.0,0.3044700467465738
0.0,0.0,2.0,0.30580409371377953
0.0,0.0,2.0,0.30283090895575676
0.0,0.0,2.0,0.38776825133694587
0.0,0.0,2.0,0.3189880939325284
0.0,0.0,2.0,0.3186925099515173
0.0,0.0,2.0,0.2694774093990472
0.0,0.0,2.0,0.3401975594631689
0.0,0.0,2.0,0.31466035929454544
0.0,0.0,2.0,0.3103506420049531
0.0,0.0,2.0,0.32153618239311965
0.0,0.0,2.0,0.3298992438825476
0.0,0.0,2.0,0.3023611943662605
0.0,0.0,2.0,0.32528064325930245
0.0,0.0,2.0,0.3217382926356766
0.0,0.0,2.0,0.3461079623991684
0.0,0.0,2.0,0.3317594404554144
0.0,0.0,2.0,0.31576575948998364
0.0,0.0,2.0,0.2967741037131846
0.0,0.0,2.0,0.3120909652986161
0.0,0.0,2.0,0.31833926252920586
0.0,0.0,2.0,0.3916758202867721
0.0,0.0,2.0,0.3301655749031791
0.0,0.0,2.0,0.3903549087954752
0.0,0.0,2.0,0.39395407253446385
0.0,0.0,2.0,0.33250221422094717
0.0,0.0,2.0,0.3013198081672473
0.0,0.0,2.0,0.3121180209933285
0.0,0.0,2.0,0.2987595492170957
0.0,0.0,2.0,0.3235516094703234
0.0,0.0,2.0,0.3166875828015627
0.0,0.0,2.0,0.3825219228086141
0.0,0.0,2.0,0.3831790665452886
0.0,0.0,2.0,0.3989082617199706
0.0,0.0,2.0,0.31683799697725124
0.0,0.0,2.0,0.33362275129225194
0.0,0.0,2.0,0.31263672232821305
0.0,0.0,2.0,0.39372432571397675
0.0,0.0,2.0,0.3793611059457496
0.0,0.0,2.0,0.3102868089799473
0.0,0.0,2.0,0.32854057057851666
0.0,0.0,2.0,0.38050186966147437
0.0,0.0,2.0,0.3103224587422001
0.0,0.0,2.0,0.38704658732594033
0.0,0.0,2.0,0.3895954182372214
0.0,0.0,2.0,0.30604778998209015
0.0,0.0,2.0,0.3071528883021711
0.0,0.0,2.0,0.30614644118361456
0.0,0.0,2.0,0.3901458571249717
0.0,0.0,2.0,0.3019952405793654
0.0,0.0,2.0,0.2885282096227168
0.0,0.0,2.0,0.3081341075477754
0.0,0.0,2.0,0.29959746960093214
0.0,0.0,2.0,0.3060290842229347
0.0,0.0,2.0,0.29982274781368556
0.0,0.0,2.0,0.3976046048376501
0.0,0.0,2.0,0.3144459679012731
0.0,0.0,2.0,0.288216512363351
0.0,0.0,2.0,0.35806004472516323
0.0,0.0,2.0,0.40473201922349566
0.0,0.0,2.0,0.30445305105878406
0.0,0.0,2.0,0.37824290926211057
0.0,0.0,2.0,0.3168644673419362
0.0,0.0,2.0,0.3063283787544107
0.0,0.0,2.0,0.3323291945018131
0.0,0.0,2.0,0.3526873282839374
0.0,0.0,2.0,0.3149344091914393
0.0,0.0,2.0,0.3905771117034672
0.0,0.0,2.0,0.3088971150835887
0.0,0.0,2.0,0.3150274197743306
0.0,0.0,2.0,0.3077050001926721
0.0,0.0,2.0,0.39914315501766257
0.0,0.0,2.0,0.29948917746541437
0.0,0.0,2.0,0.3095488622327825
0.0,0.0,2.0,0.31773751821864427
0.0,0.0,2.0,0.31125026636600006
0.0,0.0,2.0,0.30256950869799576
0.0,0.0,2.0,0.359478391881958
0.0,0.0,2.0,0.38619725822461026
0.0,0.0,2.0,0.3984094425998944
0.0,0.0,2.0,0.308761053226209
0.0,0.0,2.0,0.2757098766978905
0.0,0.0,2.0,0.30791927249472206
0.0,0.0,2.0,0.38754480904746114
0.0,0.0,2.0,0.3029288443333529
0.0,0.0,2.0,0.3264192601909546
0.0,0.0,2.0,0.3075646802963412
0.0,0.0,2.0,0.39042171285570276
0.0,0.0,2.0,0.3548930987019825
0.0,0.0,2.0,0.39912200109833296
0.0,0.0,2.0,0.3852372894720241
0.0,0.0,2.0,0.399560455316082
0.0,0.0,2.0,0.4038495661353356
0.0,0.0,2.0,0.32045666549635055
0.0,0.0,2.0,0.3196732780192194
0.0,0.0,2.0,0.32723040618081095
0.0,0.0,2.0,0.31665076568666894
0.0,0.0,2.0,0.30596287729203747
0.0,0.0,2.0,0.3086496917289165
0.0,0.0,2.0,0.3336976764978268
0.0,0.0,2.0,0.2930057612789456
0.0,0.0,2.0,0.3126749387790789
0.0,0.0,2.0,0.3030042338263647
0.0,0.0,2.0,0.39400429444804486
0.0,0.0,2.0,0.33109159609566413
0.0,0.0,2.0,0.4002007816173719
0.0,0.0,2.0,0.31261356782354865
0.0,0.0,2.0,0.3981550901025359
0.0,0.0,2.0,0.3072394310451529
0.0,0.0,2.0,0.30790480788079666
0.0,0.0,2.0,0.40199400284070486
0.0,0.0,2.0,0.3374134086739338
0.0,0.0,2.0,0.42296242308675264
0.0,0.0,2.0,0.34419492769975013
0.0,0.0,2.0,0.31222629949250436
0.0,0.0,2.0,0.31329452485842885
0.0,0.0,2.0,0.31933996359748135
0.0,0.0,2.0,0.30842008638463103
0.0,0.0,2.0,0.3036491249176874
0.0,0.0,2.0,0.39053467474840586
0.0,0.0,2.0,0.3835333211563092
0.0,0.0,2.0,0.3847187746762176
0.0,0.0,2.0,0.3170396901412676
0.0,0.0,2.0,0.3906318427918588
0.0,0.0,2.0,0.3184188643439846
0.0,0.0,2.0,0.3951305963387904
0.0,0.0,2.0,0.3235018041779702
0.0,0.0,2.0,0.29731873974405904
0.0,0.0,2.0,0.38547792034818884
0.0,0.0,2.0,0.39682301530255437
0.0,0.0,2.0,0.3594189272505707
0.0,0.0,2.0,0.3081983421850304
0.0,0.0,2.0,0.32665638420229265
0.0,0.0,2.0,0.3873351856470284
0.0,0.0,2.0,0.38074645895166315
0.0,0.0,2.0,0.3145057444873472
0.0,0.0,2.0,0.390330612343406
0.0,0.0,2.0,0.30668235487058415
0.0,0.0,2.0,0.3978407761526145
0.0,0.0,2.0,0.31296373839711333
0.0,0.0,2.0,0.3887489839215575
0.0,0.0,2.0,0.3112090549932309
0.0,0.0,2.0,0.30217312300314947
0.0,0.0,2.0,0.3851808804086635
0.0,0.0,2.0,0.36180096526347877
0.0,0.0,2.0,0.38431468245685424
0.0,0.0,2.0,0.306263135353144
0.0,0.0,2.0,0.3131421877325812
0.0,0.0,2.0,0.3785999350575916
0.0,0.0,2.0,0.3091605501807448
0.0,0.0,2.0,0.30491432922071077
0.0,0.0,2.0,0.3113083274473605
0.0,0.0,2.0,0.30488572371993883
0.0,0.0,2.0,0.3102015462991013
0.0,0.0,2.0,0.30863643093819365
0.0,0.0,2.0,0.40123053528554814
0.0,0.0,2.0,0.4021570243063641
0.0,0.0,2.0,0.29169174381671553
0.0,0.0,2.0,0.3984530045333059
0.0,0.0,2.0,0.30064949547608943
0.0,0.0,2.0,0.2550902680622439
0.0,0.0,2.0,0.3738643682298245
0.0,0.0,2.0,0.3887380246934252
0.0,0.0,2.0,0.31274996690390566
0.0,0.0,2.0,0.3073731399342672
0.0,0.0,2.0,0.39003675986356257
0.0,0.0,2.0,0.2997090955330053
0.0,0.0,2.0,0.3126120464171082
0.0,0.0,2.0,0.30462572664821375
0.0,0.0,2.0,0.38755988225296745
0.0,0.0,2.0,0.397108132131506
0.0,0.0,2.0,0.32773969967951266
0.0,0.0,2.0,0.30890273327649165
0.0,0.0,2.0,0.3008305764916732
0.0,0.0,2.0,0.31350494723758976
0.0,0.0,2.0,0.32684529382959465
0.0,0.0,2.0,0.3057262635595243
0.0,0.0,2.0,0.30989745008571457
0.0,0.0,2.0,0.3990433691735364
0.0,0.0,2.0,0.31040508833664593
0.0,0.0,2.0,0.3945629022561823
0.0,0.0,2.0,0.30767108915988683
0.0,0.0,2.0,0.3207416821414767
0.0,0.0,2.0,0.3258262094448601
0.0,0.0,2.0,0.3805342401621043
