m,M,epsilon_of_M,stat_NICV
0.0,0.0,2.0,0.001613423085417999
0.01,0.01,2.0,0.001705314495013953
0.02,0.02,2.0,0.0016903383109259941
0.03,0.03,2.0,0.0016146084278111292
0.04,0.04,2.0,0.0016155819040418338
0.05,0.05,2.0,0.0015896180365294972
0.06,0.06,2.0,0.0015552924241685566
0.07,0.07,2.0,0.0016640861828713205
0.08,0.08,2.0,0.001578268689882603
0.09,0.09,2.0,0.0015735819282532498
0.1,0.1,2.0,0.001561677945382626
0.11,0.11,2.0,0.001606379925516081
0.12,0.12,2.0,0.0015347766342285298
0.13,0.13,2.0,0.0015798244000419374
0.14,0.14,2.0,0.001510747909319298
0.15,0.15,2.0,0.0014987270654329352
0.16,0.16,2.0,0.0014830493251955575
0.17,0.17,2.0,0.0015059520380249745
0.18,0.18,2.0,0.0015324932999029922
0.19,0.19,2.0,0.0014734573706081022
0.2,0.2,2.0,0.0014510547420447319
0.21,0.21,2.0,0.0014231530700278545
0.22,0.22,2.0,0.0015065259906866316
0.23,0.23,2.0,0.0013112181352893857
0.24,0.24,2.0,0.0013798312249942582
0.25,0.25,2.0,0.0013483087402366225
0.26,0.26,2.0,0.0013428706774789912
0.27,0.27,2.0,0.0012931551884106383
0.28,0.28,2.0,0.0013272769470434019
0.29,0.29,2.0,0.001113992708457402
0.3,0.3,2.0,0.0012802577648658318
0.31,0.31,2.0,0.001167309565642638
0.32,0.32,2.0,0.001078825402528669
0.33,0.33,2.0,0.0011488624288645795
0.34,0.34,2.0,0.0010711573309594247
0.35,0.35,2.0,0.0008920730786356015
0.36,0.36,2.0,0.0008752756960494204
0.37,0.37,2.0,0.0009100515059956867
0.38,0.38,2.0,0.0010739663603770802
0.39,0.39,2.0,0.0009263814090199227
0.4,0.4,2.0,0.0008152074483714139
0.41,0.41,2.0,0.0007382474401012994
0.42,0.42,2.0,0.0006840199779116688
0.43,0.43,2.0,0.0006564267738255307
0.44,0.44,2.0,0.0005387159555002549
0.45,0.45,2.0,0.0007416423480421138
0.46,0.46,2.0,0.0006622663707518431
0.47,0.47,2.0,0.0006476724804385325
0.48,0.48,2.0,0.000634681855421143
0.49,0.49,2.0,0.0006052365759603766
0.5,0.5,2.0,0.0004933661963931886
0.51,0.51,2.0,0.0005712420731082703
0.52,0.52,2.0,0.0006693493174577366
0.53,0.53,2.0,0.0005723541668732579
0.54,0.54,2.0,0.0006159238942342226
0.55,0.55,2.0,0.00068040650118419
0.56,0.56,2.0,0.000745192153575267
0.57,0.57,2.0,0.0008824874949041323
0.58,0.58,2.0,0.0008746537468747477
0.59,0.59,2.0,0.0008617824238156501
0.6,0.6,2.0,0.0008334872937550535
0.61,0.61,2.0,0.0008242892515523779
0.62,0.62,2.0,0.001063992674782071
0.63,0.63,2.0,0.001291938132542022
0.64,0.64,2.0,0.0012104461734041543
0.65,0.65,2.0,0.0011548683451787307
0.66,0.66,2.0,0.0015908914686521228
0.67,0.67,2.0,0.0018837276702786093
0.68,0.68,2.0,0.00300178455552172
0.69,0.69,2.0,0.003204012918877323
0.7,0.7,2.0,0.0029958313086063
0.71,0.71,2.0,0.00306705515446819
0.72,0.72,2.0,0.003525219035842341
0.73,0.73,2.0,0.003277465583084408
0.74,0.74,2.0,0.0053269333562905126
0.75,0.75,2.0,0.004675224496182327
0.76,0.76,2.0,0.0037323813713646347
0.77,0.77,2.0,0.006290967108246215
0.78,0.78,2.0,0.007487865912929226
0.79,0.79,2.0,0.008186545614516533
0.8,0.8,2.0,0.008570877622417428
0.81,0.81,2.0,0.013026487976677794
0.82,0.82,2.0,0.019620644254320967
0.83,0.83,2.0,0.019542717998919597
0.84,0.84,2.0,0.035527788944485154
0.85,0.85,2.0,0.03055523724677339
0.86,0.86,2.0,0.04854072011586524
0.87,0.87,2.0,0.04794859989005767
0.88,0.88,2.0,0.07812481727787358
0.89,0.89,2.0,0.09337795292766352
0.9,0.9,2.0,0.2381833615328435
0.91,0.91,2.0,0.2742055005882446
0.92,0.92,2.0,0.37013527783921996
0.93,0.93,2.0,0.4574849478102532
0.94,0.94,2.0,0.6910197964810555
0.95,0.95,2.0,0.9993469381923185
0.96,0.96,2.0,1.1540992619397032
0.97,0.97,2.0,1.506959276516771
0.98,0.98,2.0,1.6228923003805875
0.99,0.99,2.0,1.6117897831687877
0.1,0.2,2.0,0.0015760536482410405
0.1,0.3,2.0,0.0015257921105046714
0.1,0.4,2.0,0.001483139656435825
0.1,0.5,2.0,0.0014461697207994672
0.1,0.6,2.0,0.0014683460493453392
0.1,0.7,2.0,0.0013796809043189692
0.1,0.8,2.0,0.0012807911277481069
0.1,0.9,2.0,0.0012753104834806112
0.2,0.3,2.0,0.001379473531520898
0.2,0.4,2.0,0.0013171271962638524
0.2,0.5,2.0,0.0013588932692263885
0.2,0.6,2.0,0.0012730177437378155
0.2,0.7,2.0,0.0012175522100746372
0.2,0.8,2.0,0.0011206658558071203
0.2,0.9,2.0,0.0010900156151007747
0.3,0.4,2.0,0.001061022418733935
0.3,0.5,2.0,0.0010142376523251
0.3,0.6,2.0,0.0010104395295204907
0.3,0.7,2.0,0.000785613424468799
0.3,0.8,2.0,0.0007569573562228139
0.3,0.9,2.0,0.0006364291562453644
0.4,0.5,2.0,0.000703374385638261
0.4,0.6,2.0,0.0006256396699631953
0.4,0.7,2.0,0.0006736940827598459
0.4,0.8,2.0,0.0005907968143297002
0.4,0.9,2.0,0.0006306699419379556
0.5,0.6,2.0,0.0006264009086053727
0.5,0.7,2.0,0.0006548067481419756
0.5,0.8,2.0,0.0007374333171322727
0.5,0.9,2.0,0.000786168752114641
0.6,0.7,2.0,0.0009834282450915798
0.6,0.8,2.0,0.0011333325299225819
0.6,0.9,2.0,0.0014595113564413087
0.7,0.8,2.0,0.0031160162104664456
0.7,0.9,2.0,0.00453945339009151
0.8,0.9,2.0,0.015145531185688649
