m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,0.000319375718099979,-0.001881119378906504,0.0034045546558517104
0.01,0.01,-0.00033393335161002735,0.0009452195241669847,0.004576701575096875
0.02,0.02,-0.0013761197658742064,-0.0016570191716329674,-0.00048094071444421127
0.03,0.03,-0.004002585463113606,-0.004129425175825485,0.0008921222733093703
0.04,0.04,-0.003953127747291618,-0.004009437596438903,-0.001762262556200267
0.05,0.05,-0.004762007327169748,-0.0037949071604151396,-0.006105820881508628
0.06,0.06,-0.007422127057139016,-0.008461376696012268,-0.003163697987658032
0.07,0.07,-0.005076538046709489,-0.0018118297209869239,-0.0004887407105468866
0.08,0.08,-0.008407017214823176,-0.007131427484096287,-0.003769113774073851
0.09,0.09,-0.010770555882419541,-0.005417048475537922,-0.004684463572555808
0.1,0.1,-0.010238571047065603,-0.004407289769468747,-0.003217053577660889
0.11,0.11,-0.014794520838462166,-0.004421070185480713,-0.006221362232499583
0.12,0.12,-0.01581676562968848,-0.006341269420710394,-0.011275382897239783
0.13,0.13,-0.01312967955161598,-0.0065666635113851846,-0.0068663200758457
0.14,0.14,-0.015390937213287603,-0.007264489877671421,-0.008858839115010175
0.15,0.15,-0.016236602319682325,-0.00724196179392661,-0.00795781733442269
0.16,0.16,-0.014376664235875691,-0.00820775045890798,-0.008172064174230331
0.17,0.17,-0.01812206727716026,-0.00807268575375425,-0.012528826614260968
0.18,0.18,-0.021388503511121426,-0.01470512659587414,-0.01244839538745579
0.19,0.19,-0.017218627592858193,-0.009374603528617687,-0.008953825529885995
0.2,0.2,-0.022174005119870388,-0.01500901230478291,-0.013122630281994896
0.21,0.21,-0.022201125264180277,-0.01551346755814037,-0.008392685073715656
0.22,0.22,-0.02454604740437205,-0.011975468059701344,-0.014499968236225624
0.23,0.23,-0.025824748010520315,-0.012826689839546601,-0.013796605058135791
0.24,0.24,-0.02875559227174207,-0.014854374891965672,-0.01774322917436466
0.25,0.25,-0.027634140514188887,-0.012810848918252793,-0.014299846066057165
0.26,0.26,-0.032398647429192795,-0.01640413351840786,-0.015594789164804335
0.27,0.27,-0.031491625001803525,-0.018589575540124303,-0.015703721180406527
0.28,0.28,-0.031837060203286804,-0.02114637269294939,-0.01901024216515773
0.29,0.29,-0.0411834678410366,-0.021513076732663727,-0.023397403277114925
0.3,0.3,-0.03818710758287441,-0.018624505164837102,-0.017117577795195793
0.31,0.31,-0.03630490566741951,-0.02158958095209429,-0.02274733909435639
0.32,0.32,-0.04263472882374014,-0.024229010316806632,-0.02345937761760175
0.33,0.33,-0.04213173192293557,-0.025358296091357202,-0.02382701079961136
0.34,0.34,-0.04461447489233661,-0.025491876570720495,-0.0263919226823075
0.35,0.35,-0.04422036278469771,-0.025674323776403607,-0.023377199002278415
0.36,0.36,-0.04846357985992977,-0.029132193864545686,-0.024169355741025578
0.37,0.37,-0.045494369832442094,-0.026658265407457304,-0.025492691528299194
0.38,0.38,-0.048936301686749784,-0.02861322268965627,-0.025224338468455287
0.39,0.39,-0.045523582821600295,-0.027979159265067333,-0.02491740747046156
0.4,0.4,-0.052369747827898994,-0.030417586399495322,-0.029830304686461806
0.41,0.41,-0.0541605207920996,-0.030216100049196615,-0.029610100424941888
0.42,0.42,-0.056694542009107673,-0.035876901439835185,-0.03033468231036901
0.43,0.43,-0.05833347987525933,-0.03833158042766022,-0.028976904450324692
0.44,0.44,-0.05732489775041866,-0.03558483260333428,-0.03091186862025269
0.45,0.45,-0.05628014981370438,-0.03772998961585128,-0.028206628715703785
0.46,0.46,-0.0583386462640767,-0.03655823340134523,-0.030575920666300882
0.47,0.47,-0.060940141243534474,-0.04291223523947346,-0.025634912028747903
0.48,0.48,-0.06089567950399882,-0.040628637368631426,-0.0315564234852892
0.49,0.49,-0.06521692222644487,-0.044170792408718185,-0.028792264103251752
0.5,0.5,-0.06551679538131588,-0.044538074343358214,-0.027141017535519507
0.51,0.51,-0.06373860765643641,-0.04456383798356128,-0.029754447310355925
0.52,0.52,-0.06556143234765238,-0.044791120796930095,-0.0276031025155124
0.53,0.53,-0.0701285519528535,-0.04967030814863638,-0.03011203519863509
0.54,0.54,-0.0697415928374433,-0.05096373294635892,-0.028267655792712898
0.55,0.55,-0.07364180614305399,-0.05303195642513714,-0.03127407805399085
0.56,0.56,-0.07136458457602685,-0.050893871712490824,-0.03282244425357572
0.57,0.57,-0.07438539191185839,-0.05274158251418076,-0.03027066346349333
0.58,0.58,-0.0767508208397461,-0.05482301509194881,-0.032277080118130075
0.59,0.59,-0.07727140082372341,-0.0594517288678309,-0.02812269817050811
0.6,0.6,-0.07572822612050573,-0.05450076329596398,-0.029214536939470515
0.61,0.61,-0.08200884867772523,-0.06128182965399692,-0.029429998777014243
0.62,0.62,-0.08428929227592519,-0.06140442117036138,-0.030089221061538607
0.63,0.63,-0.08496410311035302,-0.06063251036958123,-0.029333855291486577
0.64,0.64,-0.08502153999756362,-0.06279993388093802,-0.030190001759910823
0.65,0.65,-0.08054416229584582,-0.059663777259503614,-0.03140702567920217
0.66,0.66,-0.08947304208321549,-0.06205219443699078,-0.033726423942249006
0.67,0.67,-0.09277965887490747,-0.06676833070373117,-0.03530722429308297
0.68,0.68,-0.0983454307703262,-0.07002808214405731,-0.0376349410427953
