m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.25,0.009779320165953446
0.01,0.01,0.25,0.00976942873586031
0.02,0.02,0.25,0.009780468576839419
0.03,0.03,0.25,0.009767364947042258
0.04,0.04,0.25,0.009760709362463897
0.05,0.05,0.25,0.00977559460828891
0.06,0.06,0.25,0.009790005489902213
0.07,0.07,0.25,0.00974986153268792
0.08,0.08,0.25,0.009758507121250527
0.09,0.09,0.25,0.009761048910190688
0.1,0.1,0.25,0.009787657520157743
0.11,0.11,0.25,0.009783022737832475
0.12,0.12,0.25,0.009774020167073624
0.13,0.13,0.25,0.009786935804327065
0.14,0.14,0.25,0.009772420423804672
0.15,0.15,0.25,0.009761158027197854
0.16,0.16,0.25,0.009781595783108705
0.17,0.17,0.25,0.009768462276315091
0.18,0.18,0.25,0.009779992024301052
0.19,0.19,0.25,0.009763627812612915
0.2,0.2,0.25,0.00978681589765067
0.21,0.21,0.25,0.009779909050780123
0.22,0.22,0.25,0.009787100801338586
0.23,0.23,0.25,0.009788265863058202
0.24,0.24,0.25,0.009775803287257027
0.25,0.25,0.25,0.009758678105765427
0.26,0.26,0.25,0.009770707843023323
0.27,0.27,0.25,0.009763309617016751
0.28,0.28,0.25,0.009793973949537252
0.29,0.29,0.25,0.009767909370847778
0.3,0.3,0.25,0.009780428433639795
0.31,0.31,0.25,0.009780711567996802
0.32,0.32,0.25,0.009773075451728013
0.33,0.33,0.25,0.009783179565711793
0.34,0.34,0.25,0.009791276894291868
0.35,0.35,0.25,0.009788137126012491
0.36,0.36,0.25,0.009781890810531274
0.37,0.37,0.25,0.009770318833584824
0.38,0.38,0.25,0.009785342835109437
0.39,0.39,0.25,0.009777498464572768
0.4,0.4,0.25,0.009771246366906905
0.41,0.41,0.25,0.009790221169050966
0.42,0.42,0.25,0.009773861974741265
0.43,0.43,0.25,0.009778449668290995
0.44,0.44,0.25,0.009774973939402234
0.45,0.45,0.25,0.009791327045655773
0.46,0.46,0.25,0.009785120517022431
0.47,0.47,0.25,0.009787044829947288
0.48,0.48,0.25,0.009780921496938686
0.49,0.49,0.25,0.009765548567651234
0.5,0.5,0.25,0.009779958541779316
0.51,0.51,0.25,0.00978237892213511
0.52,0.52,0.25,0.009778490250314546
0.53,0.53,0.25,0.009788131217089813
0.54,0.54,0.25,0.009771528235141753
0.55,0.55,0.25,0.009767131259449734
0.56,0.56,0.25,0.009773545778822449
0.57,0.57,0.25,0.009779695809119075
0.58,0.58,0.25,0.009783971360349126
0.59,0.59,0.25,0.009781048566185531
0.6,0.6,0.25,0.009770104244121811
0.61,0.61,0.25,0.009748583466620758
0.62,0.62,0.25,0.009782684429881054
0.63,0.63,0.25,0.009791235891101563
0.64,0.64,0.25,0.009789528057063485
0.65,0.65,0.25,0.009761827956476213
0.66,0.66,0.25,0.00976963216535007
0.67,0.67,0.25,0.009786490886715309
0.68,0.68,0.25,0.009777326909124178
0.69,0.69,0.25,0.009785542363127172
0.7,0.7,0.25,0.00978141053833345
0.71,0.71,0.25,0.009783126965814215
0.72,0.72,0.25,0.009762345063989245
0.73,0.73,0.25,0.009769926154584852
0.74,0.74,0.25,0.00976068639505283
0.75,0.75,0.25,0.009775859209445823
0.76,0.76,0.25,0.00978300482072612
0.77,0.77,0.25,0.00976937937626942
0.78,0.78,0.25,0.009775200529476478
0.79,0.79,0.25,0.009787050078809298
0.8,0.8,0.25,0.009787945667881211
0.81,0.81,0.25,0.00978066240817888
0.82,0.82,0.25,0.009784158561509172
0.83,0.83,0.25,0.009767971737257367
0.84,0.84,0.25,0.009783134450839535
0.85,0.85,0.25,0.009774612598943574
0.86,0.86,0.25,0.009782343832713779
0.87,0.87,0.25,0.009792243260322204
0.88,0.88,0.25,0.00978480340186154
0.89,0.89,0.25,0.00977997395417274
0.9,0.9,0.25,0.009760626203851253
0.91,0.91,0.25,0.00979540583739317
0.92,0.92,0.25,0.009781188707681295
0.93,0.93,0.25,0.009770778916186268
0.94,0.94,0.25,0.009785543044426142
0.95,0.95,0.25,0.009780367159701833
0.96,0.96,0.25,0.009779430526078974
0.97,0.97,0.25,0.009781512911449703
0.98,0.98,0.25,0.00977741556896802
0.99,0.99,0.25,0.009764633155651499
0.1,0.2,0.25,0.0097773352244856
0.1,0.3,0.25,0.00979540100274533
0.1,0.4,0.25,0.009776022063849733
0.1,0.5,0.25,0.009762680397288318
0.1,0.6,0.25,0.009776281635110259
0.1,0.7,0.25,0.009761426766881562
0.1,0.8,0.25,0.009765344072481275
0.1,0.9,0.25,0.00977014127826272
0.2,0.3,0.25,0.009768799605937848
0.2,0.4,0.25,0.00977952128732382
0.2,0.5,0.25,0.00978369243061704
0.2,0.6,0.25,0.009778402010406816
0.2,0.7,0.25,0.009761937829309683
0.2,0.8,0.25,0.009769027250157785
0.2,0.9,0.25,0.009766714976475051
0.3,0.4,0.25,0.009762584245296538
0.3,0.5,0.25,0.009772091954755814
0.3,0.6,0.25,0.009774563422065476
0.3,0.7,0.25,0.009789853448722496
0.3,0.8,0.25,0.009789014163270904
0.3,0.9,0.25,0.009778186895661813
0.4,0.5,0.25,0.009775274223746664
0.4,0.6,0.25,0.009756243484686896
0.4,0.7,0.25,0.00978465202795938
0.4,0.8,0.25,0.009780305739693271
0.4,0.9,0.25,0.009781182990672651
0.5,0.6,0.25,0.009786111941871446
0.5,0.7,0.25,0.009785765738211284
0.5,0.8,0.25,0.009772804718882982
0.5,0.9,0.25,0.009788060740760086
0.6,0.7,0.25,0.00978120596649897
0.6,0.8,0.25,0.009778665652567888
0.6,0.9,0.25,0.009786034644456109
0.7,0.8,0.25,0.009764063579863959
0.7,0.9,0.25,0.009784034403005959
0.8,0.9,0.25,0.009793354227111787
