m,M,epsilon_of_M,avg_cost
0.0,0.0,0.24999999999999992,0.009803022701787345
0.0,0.0,0.24999999999999992,0.009804526455835022
0.0,0.0,0.24999999999999992,0.009823992926023917
0.0,0.0,0.24999999999999992,0.009785002482665252
0.0,0.0,0.24999999999999992,0.009798561289014645
0.0,0.0,0.24999999999999992,0.009777133814052897
0.0,0.0,0.24999999999999992,0.009649651247580398
0.0,0.0,0.24999999999999992,0.009757903480000671
0.0,0.0,0.24999999999999992,0.009786033128283925
0.0,0.0,0.24999999999999992,0.009831032383286985
0.0,0.0,0.24999999999999992,0.00982801999737944
0.0,0.0,0.24999999999999992,0.009808376197504898
0.0,0.0,0.24999999999999992,0.009738036488817334
0.0,0.0,0.24999999999999992,0.009805886634402421
0.0,0.0,0.24999999999999992,0.009802538202956372
0.0,0.0,0.24999999999999992,0.009799065720503262
0.0,0.0,0.24999999999999992,0.009817124464573706
0.0,0.0,0.24999999999999992,0.009841164980951438
0.0,0.0,0.24999999999999992,0.009711844033929136
0.0,0.0,0.24999999999999992,0.009800020644604808
0.01,0.01,0.24778555776234729,0.00975157347853093
0.01,0.01,0.24778555776234729,0.009818071033609193
0.01,0.01,0.24778555776234729,0.00977666314948331
0.01,0.01,0.24778555776234729,0.009769137649263331
0.01,0.01,0.24778555776234729,0.00975685259073837
0.01,0.01,0.24778555776234729,0.009791507967012647
0.01,0.01,0.24778555776234729,0.00976678306975741
0.01,0.01,0.24778555776234729,0.009774487434037726
0.01,0.01,0.24778555776234729,0.009873376830942924
0.01,0.01,0.24778555776234729,0.009790710465285004
0.01,0.01,0.24778555776234729,0.009775702371588877
0.01,0.01,0.24778555776234729,0.009806757582682627
0.01,0.01,0.24778555776234729,0.009803061722442767
0.01,0.01,0.24778555776234729,0.009764912941934241
0.01,0.01,0.24778555776234729,0.009846810699389023
0.01,0.01,0.24778555776234729,0.009874936851183175
0.01,0.01,0.24778555776234729,0.009769317630673064
0.01,0.01,0.24778555776234729,0.0098042517235738
0.01,0.01,0.24778555776234729,0.009833946886954999
0.01,0.01,0.24778555776234729,0.009743775504541396
0.02,0.02,0.24556620088507253,0.0097802635006091
0.02,0.02,0.24556620088507253,0.009797146808110361
0.02,0.02,0.24556620088507253,0.009687450671059855
0.02,0.02,0.24556620088507253,0.009764551541565324
0.02,0.02,0.24556620088507253,0.009768821835111794
0.02,0.02,0.24556620088507253,0.009780223404068252
0.02,0.02,0.24556620088507253,0.009734183785474911
0.02,0.02,0.24556620088507253,0.009835507247400524
0.02,0.02,0.24556620088507253,0.009814801848791055
0.02,0.02,0.24556620088507253,0.009859128884041814
0.02,0.02,0.24556620088507253,0.00984175468534848
0.02,0.02,0.24556620088507253,0.009801550106086668
0.02,0.02,0.24556620088507253,0.0098074387870394
0.02,0.02,0.24556620088507253,0.009802771859513644
0.02,0.02,0.24556620088507253,0.009767362520686773
0.02,0.02,0.24556620088507253,0.00978854244157855
0.02,0.02,0.24556620088507253,0.009751354245784936
0.02,0.02,0.24556620088507253,0.0098062452666001
0.02,0.02,0.24556620088507253,0.009664407373984664
0.02,0.02,0.24556620088507253,0.009816059532407422
0.03,0.03,0.24334190750495663,0.009805292932787809
0.03,0.03,0.24334190750495663,0.009753908543515995
0.03,0.03,0.24334190750495663,0.009748209919930162
0.03,0.03,0.24334190750495663,0.009791139888900237
0.03,0.03,0.24334190750495663,0.009782940034804575
0.03,0.03,0.24334190750495663,0.009752141107529417
0.03,0.03,0.24334190750495663,0.009805169339855518
0.03,0.03,0.24334190750495663,0.009807904936964457
0.03,0.03,0.24334190750495663,0.009626672602264151
0.03,0.03,0.24334190750495663,0.009757124035062825
0.03,0.03,0.24334190750495663,0.009723124554083203
0.03,0.03,0.24334190750495663,0.009817192047655023
0.03,0.03,0.24334190750495663,0.009804681832070408
0.03,0.03,0.24334190750495663,0.009741376186383224
0.03,0.03,0.24334190750495663,0.009837489680085763
0.03,0.03,0.24334190750495663,0.009740039355750144
0.03,0.03,0.24334190750495663,0.009801310049107973
0.03,0.03,0.24334190750495663,0.009787044379329375
0.03,0.03,0.24334190750495663,0.009807527803617697
0.03,0.03,0.24334190750495663,0.009788251750556452
0.04,0.04,0.24111265561256512,0.00979728608479321
0.04,0.04,0.24111265561256512,0.009808732461063391
0.04,0.04,0.24111265561256512,0.009795814559631402
0.04,0.04,0.24111265561256512,0.009792814272045602
0.04,0.04,0.24111265561256512,0.009789652328061515
0.04,0.04,0.24111265561256512,0.009830653789011639
0.04,0.04,0.24111265561256512,0.009774092541034762
0.04,0.04,0.24111265561256512,0.009795455209292364
0.04,0.04,0.24111265561256512,0.009826664180599888
0.04,0.04,0.24111265561256512,0.009749569266351073
0.04,0.04,0.24111265561256512,0.009776508626565573
0.04,0.04,0.24111265561256512,0.009820700144980385
0.04,0.04,0.24111265561256512,0.00971452546209577
0.04,0.04,0.24111265561256512,0.00973808583386753
0.04,0.04,0.24111265561256512,0.009831835552182679
0.04,0.04,0.24111265561256512,0.009714513954503522
0.04,0.04,0.24111265561256512,0.009788423514209738
0.04,0.04,0.24111265561256512,0.00978916574782415
0.04,0.04,0.24111265561256512,0.009812681090035271
0.04,0.04,0.24111265561256512,0.009840565921443353
0.05,0.05,0.23887842305094015,0.009750624762075787
0.05,0.05,0.23887842305094015,0.00982624811652872
0.05,0.05,0.23887842305094015,0.009772013965889155
0.05,0.05,0.23887842305094015,0.00980311856360261
0.05,0.05,0.23887842305094015,0.009766835913962584
0.05,0.05,0.23887842305094015,0.009827957142988808
0.05,0.05,0.23887842305094015,0.009865487322413833
0.05,0.05,0.23887842305094015,0.009852556823142917
0.05,0.05,0.23887842305094015,0.00974288823486087
0.05,0.05,0.23887842305094015,0.009807467780223414
0.05,0.05,0.23887842305094015,0.009820302510137787
0.05,0.05,0.23887842305094015,0.009803279809776888
0.05,0.05,0.23887842305094015,0.009675097259935551
0.05,0.05,0.23887842305094015,0.009780192457513288
0.05,0.05,0.23887842305094015,0.009814620487724336
0.05,0.05,0.23887842305094015,0.009782659290099523
0.05,0.05,0.23887842305094015,0.009780325138820658
