m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.24999999999999992,2.0377155054756913e-09
0.01,0.01,0.2477855577623472,1.4582806087529887e-09
0.02,0.02,0.24556620088507247,2.2940727599394814e-09
0.03,0.03,0.24334190750495663,2.1525114493558564e-09
0.04,0.04,0.24111265561256517,1.3364029267258304e-09
0.05,0.05,0.23887842305094006,1.7836675943577557e-09
0.06,0.06,0.23663918751428015,2.1810910390926627e-09
0.07,0.07,0.23439492654660357,2.602700192040617e-09
0.08,0.08,0.2321456175403962,1.4826833991306755e-09
0.09,0.09,0.22989123773524703,3.432445273461374e-09
0.1,0.1,0.22763176421646483,1.7284523747707708e-09
0.11,0.11,0.22536717391368066,2.501506003968352e-09
0.12,0.12,0.22309744359943542,2.269373945235436e-09
0.13,0.13,0.22082254988774924,1.6733887744802398e-09
0.14,0.14,0.2185424692326766,1.7537343122551647e-09
0.15,0.15,0.21625717792684393,1.8274578876470479e-09
0.16,0.16,0.21396665209996982,1.6062799619265001e-09
0.17,0.17,0.21167086771737006,7.898237795003941e-10
0.18,0.18,0.20936980057844404,1.1556941692772773e-09
0.19,0.19,0.20706342631514332,1.870113843509101e-09
0.2,0.2,0.20475172039042486,1.8278721827961126e-09
0.21,0.21,0.20243465809668285,1.2964928264960112e-09
0.22,0.22,0.2001122145541661,1.5280455440072793e-09
0.23,0.23,0.19778436470937374,9.812178397625505e-10
0.24,0.24,0.19545108333343392,2.1597739676601596e-09
0.25,0.25,0.19311234502046384,1.796396211059863e-09
0.26,0.26,0.19076812418590922,1.938428405441502e-09
0.27,0.27,0.18841839506486482,1.749024375078358e-09
0.28,0.28,0.1860631317103766,1.8560873863331025e-09
0.29,0.29,0.18370230799172074,1.3623433193762131e-09
0.3,0.3,0.18133589759266577,1.2110149236133885e-09
0.31,0.31,0.17896387400971184,1.1802647316068763e-09
0.32,0.32,0.17658621055030904,8.864784396060818e-10
0.33,0.33,0.17420288033105638,1.8335204866982168e-09
0.34,0.34,0.1718138562758767,2.7111301411834305e-09
0.35,0.35,0.16941911111417207,2.2094521447315923e-09
0.36,0.36,0.16701861737895568,2.5468228205528166e-09
0.37,0.37,0.16461234740496083,4.823208255126979e-10
0.38,0.38,0.16220027332672923,4.3926995723487356e-10
0.39,0.39,0.15978236707667395,1.1109032744190373e-09
0.4,0.4,0.15735860038311944,9.131782446649261e-10
0.41,0.41,0.15492894476831914,1.814051595037348e-09
0.42,0.42,0.1524933715464467,7.392564413369572e-10
0.43,0.43,0.15005185182156494,1.4229043577775062e-09
0.44,0.44,0.14760435648556838,1.9499339558781867e-09
0.45,0.45,0.14515085621610024,7.755118139558095e-10
0.46,0.46,0.1426913214744463,7.439337326510378e-10
0.47,0.47,0.14022572250339935,2.8659418039752413e-10
0.48,0.48,0.13775402932510028,3.696621137136789e-10
0.49,0.49,0.13527621173885068,6.558728113612138e-10
0.5,0.5,0.13279223931889822,1.1682416535700278e-09
0.51,0.51,0.13030208141219574,6.317493781037569e-10
0.52,0.52,0.12780570713613168,5.982422464034323e-10
0.53,0.53,0.12530308537623064,1.1494821846647139e-09
0.54,0.54,0.12279418478382824,7.067560979492865e-10
0.55,0.55,0.1202789737737144,8.51526091076038e-10
0.56,0.56,0.11775742052174638,6.170917881283661e-10
0.57,0.57,0.11522949296243468,5.043064493791317e-10
0.58,0.58,0.11269515878649453,3.68678132165647e-10
0.59,0.59,0.11015438543836982,3.1352815440047547e-10
0.6,0.6,0.10760714011372241,2.437536612467931e-10
0.61,0.61,0.10505338975689196,2.821603044248228e-10
0.62,0.62,0.10249310105832163,3.956949567046797e-10
0.63,0.63,0.0999262404519507,2.923118901011759e-10
0.64,0.64,0.09735277411257505,1.895111124743289e-10
0.65,0.65,0.09477266795317243,5.359189509505754e-10
0.66,0.66,0.09218588762219261,2.5288334934037257e-10
0.67,0.67,0.08959239850081432,3.403465415059041e-10
0.68,0.68,0.08699216570016495,4.84096733750889e-10
0.69,0.69,0.08438515405850368,1.8857832960906239e-10
0.7,0.7,0.08177132813837003,2.8507399390310633e-10
0.71,0.71,0.07915065222369186,3.333805799240701e-10
0.72,0.72,0.07652309031685878,1.078483555542835e-10
0.73,0.73,0.07388860613575429,2.526718305990234e-10
0.74,0.74,0.0712471631107495,2.785149497139335e-10
0.75,0.75,0.06859872438165845,1.704939054999664e-10
0.76,0.76,0.06594325279465046,2.6556395983692995e-10
0.77,0.77,0.06328071089912388,1.1293281274028219e-10
0.78,0.78,0.0606110609445367,1.7679938451186283e-10
0.79,0.79,0.05793426487719409,2.2217444863172492e-10
0.8,0.8,0.05525028433699526,2.9224602363277134e-11
0.81,0.81,0.0525590806541343,8.312249819711695e-11
0.82,0.82,0.049860614845756726,3.578879948487963e-11
0.83,0.83,0.04715484761257259,1.3815447202306395e-10
0.84,0.84,0.04444173933542095,1.2313763594439227e-10
0.85,0.85,0.04172125007179035,7.56868916137181e-11
0.86,0.86,0.03899333955228992,6.669449857911203e-11
0.87,0.87,0.036257967177072234,8.268473628801267e-11
0.88,0.88,0.03351509201220894,2.7146376782243958e-11
0.89,0.89,0.030764672786014625,2.5972072059539826e-11
0.9,0.9,0.0280066678853201,3.2249483490163906e-11
0.91,0.91,0.025241035351696132,1.3175175463203113e-11
0.92,0.92,0.022467732877621736,2.5239854515906297e-11
0.93,0.93,0.019686717802602345,2.2611002377731484e-11
0.94,0.94,0.01689794710923167,5.472601664949502e-12
0.95,0.95,0.014101377419198558,1.0653184751964892e-11
0.96,0.96,0.011296964989239763,7.633316016404793e-12
0.97,0.97,0.00848466570703387,1.930298986865621e-12
0.98,0.98,0.005664435087037313,2.4247806856533375e-12
0.99,0.99,0.002836228266263706,3.4119361314992066e-13
0.1,0.2,1.2047517203904252,2.6697381913903723e-08
0.1,0.3,2.1813358975926658,1.2059849826031942e-07
0.1,0.4,3.1573586003831196,1.6714457094830953e-07
0.1,0.5,4.132792239318899,1.7351636861718972e-07
