m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.25,2.886654575165578e-09
0.01,0.01,0.25,4.031837468006212e-09
0.02,0.02,0.25,1.8314098928757357e-09
0.03,0.03,0.25,2.378811115812095e-09
0.04,0.04,0.25,2.1158973401128227e-09
0.05,0.05,0.25,1.9102529759826168e-09
0.06,0.06,0.25,9.952850965855333e-10
0.07,0.07,0.25,2.837914246771282e-09
0.08,0.08,0.25,4.252701222132832e-09
0.09,0.09,0.25,6.044947841957003e-09
0.1,0.1,0.25,2.341520596008713e-09
0.11,0.11,0.25,2.5573248908331765e-09
0.12,0.12,0.25,5.369852734580708e-09
0.13,0.13,0.25,8.751898854886154e-10
0.14,0.14,0.25,1.8751376363760663e-09
0.15,0.15,0.25,2.001857732283947e-09
0.16,0.16,0.25,4.2199623035117335e-09
0.17,0.17,0.25,3.957576773161224e-09
0.18,0.18,0.25,2.1572226537396816e-09
0.19,0.19,0.25,1.2959128292002002e-09
0.2,0.2,0.25,1.256247419601049e-09
0.21,0.21,0.25,2.821924636046252e-09
0.22,0.22,0.25,2.1505636372966726e-09
0.23,0.23,0.25,1.9230953584211563e-09
0.24,0.24,0.25,1.8087597872983855e-09
0.25,0.25,0.25,4.186425735140365e-09
0.26,0.26,0.25,1.8749636220999046e-09
0.27,0.27,0.25,3.27976450025688e-09
0.28,0.28,0.25,1.795588295130871e-09
0.29,0.29,0.25,2.8537407762605004e-09
0.3,0.3,0.25,1.8598760834833503e-09
0.31,0.31,0.25,1.4555256090029404e-09
0.32,0.32,0.25,2.4881203447014677e-09
0.33,0.33,0.25,1.920112424484903e-09
0.34,0.34,0.25,1.6810553823701726e-09
0.35,0.35,0.25,1.2243330222398434e-09
0.36,0.36,0.25,2.6578958286828306e-09
0.37,0.37,0.25,2.06549229780846e-09
0.38,0.38,0.25,1.778058980470381e-09
0.39,0.39,0.25,1.3298290501052644e-09
0.4,0.4,0.25,2.0839817563154522e-09
