m,M,epsilon_of_M,avg_cost
0.0,0.0,0.25,0.009788603849977432
0.0,0.0,0.25,0.009827101381787195
0.0,0.0,0.25,0.009767495114386616
0.0,0.0,0.25,0.00972908686140196
0.0,0.0,0.25,0.009805427139416312
0.0,0.0,0.25,0.009746228938241225
0.0,0.0,0.25,0.009837071537813585
0.0,0.0,0.25,0.009828622871564866
0.0,0.0,0.25,0.00978558164005716
0.0,0.0,0.25,0.009806658069943675
0.0,0.0,0.25,0.009828988737030515
0.0,0.0,0.25,0.00979336912613211
0.0,0.0,0.25,0.009797253827060027
0.0,0.0,0.25,0.009736092785736844
0.0,0.0,0.25,0.00976288721416933
0.0,0.0,0.25,0.00978829964144624
0.0,0.0,0.25,0.009808176937132915
0.0,0.0,0.25,0.009796454126029934
0.0,0.0,0.25,0.009733729705930793
0.0,0.0,0.25,0.009744580500553926
0.01,0.01,0.25,0.009780853273329788
0.01,0.01,0.25,0.009748235513137873
0.01,0.01,0.25,0.010025538202180904
0.01,0.01,0.25,0.009774799201467326
0.01,0.01,0.25,0.009815262845247592
0.01,0.01,0.25,0.009891879225098016
0.01,0.01,0.25,0.009811750457666638
0.01,0.01,0.25,0.009993152355491265
0.01,0.01,0.25,0.009703493149326104
0.01,0.01,0.25,0.009962867880990168
0.01,0.01,0.25,0.009859823764742552
0.01,0.01,0.25,0.010013840577295742
0.01,0.01,0.25,0.009948864444764687
0.01,0.01,0.25,0.010017848816121534
0.01,0.01,0.25,0.00979363965523331
0.01,0.01,0.25,0.009854424249066041
0.01,0.01,0.25,0.0096709166285575
0.01,0.01,0.25,0.009825557559901875
0.01,0.01,0.25,0.009686009977370721
0.01,0.01,0.25,0.009833135162312717
0.02,0.02,0.25,0.010235640722545588
0.02,0.02,0.25,0.010033710581840678
0.02,0.02,0.25,0.009995017780830895
0.02,0.02,0.25,0.010131078634714491
0.02,0.02,0.25,0.009698219925948773
0.02,0.02,0.25,0.010024861880842095
0.02,0.02,0.25,0.009903360277415828
0.02,0.02,0.25,0.009872317086491961
0.02,0.02,0.25,0.009885204623143679
0.02,0.02,0.25,0.00989871239214849
0.02,0.02,0.25,0.009907750465807913
0.02,0.02,0.25,0.010508390568858796
0.02,0.02,0.25,0.009899375870942808
0.02,0.02,0.25,0.009910013574031838
0.02,0.02,0.25,0.009976345322876369
0.02,0.02,0.25,0.009991674912408757
0.02,0.02,0.25,0.01003872435219362
0.02,0.02,0.25,0.009928602870415578
0.02,0.02,0.25,0.00989267471948307
0.02,0.02,0.25,0.010448551815986697
0.03,0.03,0.25,0.010433756007634652
0.03,0.03,0.25,0.010281911657875063
0.03,0.03,0.25,0.010277580187839438
0.03,0.03,0.25,0.009960805961986513
0.03,0.03,0.25,0.01017750295852251
0.03,0.03,0.25,0.009837279599910681
0.03,0.03,0.25,0.010228589179343047
0.03,0.03,0.25,0.009857109390351133
0.03,0.03,0.25,0.010135466070677564
0.03,0.03,0.25,0.010021887899747492
0.03,0.03,0.25,0.010167753164803773
0.03,0.03,0.25,0.009903787345905966
0.03,0.03,0.25,0.010148920811361288
0.03,0.03,0.25,0.009813490024954455
0.03,0.03,0.25,0.010194719356675713
0.03,0.03,0.25,0.009923888675841461
0.03,0.03,0.25,0.01029587931188216
