m,M,epsilon_of_M,avg_cost
0.0,0.0,0.24999999999999992,0.009825319318980565
0.0,0.0,0.24999999999999992,0.009776337494188079
0.0,0.0,0.24999999999999992,0.009779319092385946
0.0,0.0,0.24999999999999992,0.009780903034171116
0.0,0.0,0.24999999999999992,0.009703326713087853
0.0,0.0,0.24999999999999992,0.009846748857554504
0.0,0.0,0.24999999999999992,0.009849356849825165
0.0,0.0,0.24999999999999992,0.00979942631517722
0.0,0.0,0.24999999999999992,0.00977315695596796
0.0,0.0,0.24999999999999992,0.009734539882682833
0.0,0.0,0.24999999999999992,0.009802469461549175
0.0,0.0,0.24999999999999992,0.00967378454400854
0.0,0.0,0.24999999999999992,0.009713455510548441
0.0,0.0,0.24999999999999992,0.009813367305951354
0.0,0.0,0.24999999999999992,0.009790997920784831
0.0,0.0,0.24999999999999992,0.009844320125565194
0.0,0.0,0.24999999999999992,0.009829979127904578
0.0,0.0,0.24999999999999992,0.009827127286488196
0.0,0.0,0.24999999999999992,0.00980755931565718
0.0,0.0,0.24999999999999992,0.009792279809274893
0.01,0.01,0.252231843108818,0.009981282330728198
0.01,0.01,0.252231843108818,0.009873575243098533
0.01,0.01,0.252231843108818,0.00988312311387517
0.01,0.01,0.252231843108818,0.009703932511887272
0.01,0.01,0.252231843108818,0.009938898777906697
0.01,0.01,0.252231843108818,0.009985654140011664
0.01,0.01,0.252231843108818,0.010114992751936601
0.01,0.01,0.252231843108818,0.009829091414605374
0.01,0.01,0.252231843108818,0.010005336389341047
0.01,0.01,0.252231843108818,0.010018824351063617
0.01,0.01,0.252231843108818,0.009668576745785008
0.01,0.01,0.252231843108818,0.009705160925810787
0.01,0.01,0.252231843108818,0.009883830828275991
0.01,0.01,0.252231843108818,0.009788177612633777
0.01,0.01,0.252231843108818,0.009997403488801928
0.01,0.01,0.252231843108818,0.010011573637929946
0.01,0.01,0.252231843108818,0.009800758447124205
0.01,0.01,0.252231843108818,0.009771852316991085
0.01,0.01,0.252231843108818,0.009857567494812211
0.01,0.01,0.252231843108818,0.00982500230703017
0.02,0.02,0.2545041109790552,0.009802469626039199
0.02,0.02,0.2545041109790552,0.009799240862633058
0.02,0.02,0.2545041109790552,0.010230754982417435
0.02,0.02,0.2545041109790552,0.01013371789488367
0.02,0.02,0.2545041109790552,0.00985304596722795
0.02,0.02,0.2545041109790552,0.010163681585355156
0.02,0.02,0.2545041109790552,0.010226502605369659
0.02,0.02,0.2545041109790552,0.00998371156761855
0.02,0.02,0.2545041109790552,0.01003112888721645
0.02,0.02,0.2545041109790552,0.00973732129195304
0.02,0.02,0.2545041109790552,0.00976477708223728
0.02,0.02,0.2545041109790552,0.009950768759006816
0.02,0.02,0.2545041109790552,0.009769027094723713
0.02,0.02,0.2545041109790552,0.010158633862727483
0.02,0.02,0.2545041109790552,0.010176051641725314
0.02,0.02,0.2545041109790552,0.00995939777177685
0.02,0.02,0.2545041109790552,0.009837360828222284
0.02,0.02,0.2545041109790552,0.01009338527885093
0.02,0.02,0.2545041109790552,0.009928817802937681
0.02,0.02,0.2545041109790552,0.0099759659551314
0.03,0.03,0.2568179179810562,0.010192655459567357
0.03,0.03,0.2568179179810562,0.009855676489322718
0.03,0.03,0.2568179179810562,0.01001573132664943
0.03,0.03,0.2568179179810562,0.00984720979357731
0.03,0.03,0.2568179179810562,0.009890328715574142
0.03,0.03,0.2568179179810562,0.010379532458304992
0.03,0.03,0.2568179179810562,0.010336350181084633
0.03,0.03,0.2568179179810562,0.009913435816069384
0.03,0.03,0.2568179179810562,0.010243224358428634
0.03,0.03,0.2568179179810562,0.010232331792979464
0.03,0.03,0.2568179179810562,0.010105407011178172
0.03,0.03,0.2568179179810562,0.010305150641112523
0.03,0.03,0.2568179179810562,0.010289831616146772
0.03,0.03,0.2568179179810562,0.009859151591004672
0.03,0.03,0.2568179179810562,0.009867212918812047
0.03,0.03,0.2568179179810562,0.010027800732066492
0.03,0.03,0.2568179179810562,0.009953565667345964
0.03,0.03,0.2568179179810562,0.01043956703095059
0.03,0.03,0.2568179179810562,0.010317094203982849
0.03,0.03,0.2568179179810562,0.010106726881286098
0.04,0.04,0.25917442004953817,0.010225433890627359
0.04,0.04,0.25917442004953817,0.00992697199571788
0.04,0.04,0.25917442004953817,0.010104283403900212
0.04,0.04,0.25917442004953817,0.010113121236687964
0.04,0.04,0.25917442004953817,0.010035348417753607
0.04,0.04,0.25917442004953817,0.009801579946862982
0.04,0.04,0.25917442004953817,0.010218258746889313
0.04,0.04,0.25917442004953817,0.010111105810570002
0.04,0.04,0.25917442004953817,0.00991195583930715
0.04,0.04,0.25917442004953817,0.010233530469143699
0.04,0.04,0.25917442004953817,0.010354010487001781
0.04,0.04,0.25917442004953817,0.010234138150665139
0.04,0.04,0.25917442004953817,0.010721974135058342
0.04,0.04,0.25917442004953817,0.010104212791306822
0.04,0.04,0.25917442004953817,0.010157008713484824
0.04,0.04,0.25917442004953817,0.009789033667891906
0.04,0.04,0.25917442004953817,0.010711532456607721
0.04,0.04,0.25917442004953817,0.010302041198484276
0.04,0.04,0.25917442004953817,0.01018063649753115
0.04,0.04,0.25917442004953817,0.010312772701010614
0.05,0.05,0.26157481665031823,0.0102025023120754
0.05,0.05,0.26157481665031823,0.010644044678385048
0.05,0.05,0.26157481665031823,0.010323816045925395
0.05,0.05,0.26157481665031823,0.010158872202626788
0.05,0.05,0.26157481665031823,0.010413720286215244
0.05,0.05,0.26157481665031823,0.010096580439754107
0.05,0.05,0.26157481665031823,0.010324065468693643
0.05,0.05,0.26157481665031823,0.010651103048547952
0.05,0.05,0.26157481665031823,0.01068104228212976
0.05,0.05,0.26157481665031823,0.01003862943316463
0.05,0.05,0.26157481665031823,0.010708426562995265
0.05,0.05,0.26157481665031823,0.010230246696746147
0.05,0.05,0.26157481665031823,0.010141468821368084
0.05,0.05,0.26157481665031823,0.010406453969372858
0.05,0.05,0.26157481665031823,0.010169393979584381
0.05,0.05,0.26157481665031823,0.009982769608881637
0.05,0.05,0.26157481665031823,0.010447925079829194
0.05,0.05,0.26157481665031823,0.010180099352021719
0.05,0.05,0.26157481665031823,0.010694902703504214
0.05,0.05,0.26157481665031823,0.009956547000769166
0.06,0.06,0.2640203528603892,0.010184945332476306
0.06,0.06,0.2640203528603892,0.010453519853222898
0.06,0.06,0.2640203528603892,0.010442746525409366
0.06,0.06,0.2640203528603892,0.010178065756009753
0.06,0.06,0.2640203528603892,0.010696549603802208
0.06,0.06,0.2640203528603892,0.009770386519762624
0.06,0.06,0.2640203528603892,0.010411665579068629
0.06,0.06,0.2640203528603892,0.010618409908582241
0.06,0.06,0.2640203528603892,0.010118575129037972
0.06,0.06,0.2640203528603892,0.010316688658745814
0.06,0.06,0.2640203528603892,0.01012557366072519
0.06,0.06,0.2640203528603892,0.010044882891191083
0.06,0.06,0.2640203528603892,0.010629239284800897
0.06,0.06,0.2640203528603892,0.009965201033693657
0.06,0.06,0.2640203528603892,0.010842830623841383
0.06,0.06,0.2640203528603892,0.010117152920098396
0.06,0.06,0.2640203528603892,0.010276187002923405
0.06,0.06,0.2640203528603892,0.010617392864242936
0.06,0.06,0.2640203528603892,0.010133566808180576
0.06,0.06,0.2640203528603892,0.010079595857458292
0.07,0.07,0.2665123215690771,0.010008832392034045
0.07,0.07,0.2665123215690771,0.010127493281990068
0.07,0.07,0.2665123215690771,0.010286774618918826
0.07,0.07,0.2665123215690771,0.010494095665561575
0.07,0.07,0.2665123215690771,0.010660873474400067
0.07,0.07,0.2665123215690771,0.01047147781603494
0.07,0.07,0.2665123215690771,0.010940914189156251
0.07,0.07,0.2665123215690771,0.010771232938909577
0.07,0.07,0.2665123215690771,0.01078327497659074
0.07,0.07,0.2665123215690771,0.010406494755697986
0.07,0.07,0.2665123215690771,0.010539623292562545
0.07,0.07,0.2665123215690771,0.010168585509708325
0.07,0.07,0.2665123215690771,0.01065249468172816
0.07,0.07,0.2665123215690771,0.01074370425644962
0.07,0.07,0.2665123215690771,0.010974166465079266
0.07,0.07,0.2665123215690771,0.010539509260049706
0.07,0.07,0.2665123215690771,0.010396129805755848
0.07,0.07,0.2665123215690771,0.010265852625643316
0.07,0.07,0.2665123215690771,0.010421851012562546
0.07,0.07,0.2665123215690771,0.010451924633839173
0.08,0.08,0.2690520658086283,0.010098308308334204
0.08,0.08,0.2690520658086283,0.010770922157170664
0.08,0.08,0.2690520658086283,0.010587000876171666
0.08,0.08,0.2690520658086283,0.01009556045080732
0.08,0.08,0.2690520658086283,0.010514594809873646
0.08,0.08,0.2690520658086283,0.010671606925581186
0.08,0.08,0.2690520658086283,0.010623510959580773
0.08,0.08,0.2690520658086283,0.010311068825916108
0.08,0.08,0.2690520658086283,0.010750716402868052
0.08,0.08,0.2690520658086283,0.010720852205264107
0.08,0.08,0.2690520658086283,0.010153238210374973
0.08,0.08,0.2690520658086283,0.010675104963385815
0.08,0.08,0.2690520658086283,0.010808852805450415
0.08,0.08,0.2690520658086283,0.010197960510235141
0.08,0.08,0.2690520658086283,0.01053879430717763
0.08,0.08,0.2690520658086283,0.010572695796210584
0.08,0.08,0.2690520658086283,0.010539239690601627
0.08,0.08,0.2690520658086283,0.010222815806211502
0.08,0.08,0.2690520658086283,0.010644608018542863
0.08,0.08,0.2690520658086283,0.010287531010490994
0.09,0.09,0.27164098122324504,0.0107074810399833
0.09,0.09,0.27164098122324504,0.010695642532904961
0.09,0.09,0.27164098122324504,0.010174072159952008
0.09,0.09,0.27164098122324504,0.010854231528594634
0.09,0.09,0.27164098122324504,0.0106541328192794
0.09,0.09,0.27164098122324504,0.010310125340500392
0.09,0.09,0.27164098122324504,0.01044446114373399
0.09,0.09,0.27164098122324504,0.010792193006174317
0.09,0.09,0.27164098122324504,0.010483312657183289
0.09,0.09,0.27164098122324504,0.01046923089126747
0.09,0.09,0.27164098122324504,0.010894849732974951
0.09,0.09,0.27164098122324504,0.01162503124334622
0.09,0.09,0.27164098122324504,0.011294449490662689
0.09,0.09,0.27164098122324504,0.01060539065131416
0.09,0.09,0.27164098122324504,0.010842900170112543
0.09,0.09,0.27164098122324504,0.01041648655988631
0.09,0.09,0.27164098122324504,0.01133451699962636
0.09,0.09,0.27164098122324504,0.010740247485078736
0.09,0.09,0.27164098122324504,0.010427235340341378
0.09,0.09,0.27164098122324504,0.011155966980257857
0.1,0.1,0.27428051868631065,0.01092394093204136
0.1,0.1,0.27428051868631065,0.010855191811132028
0.1,0.1,0.27428051868631065,0.011078874998419225
0.1,0.1,0.27428051868631065,0.010244566621227177
0.1,0.1,0.27428051868631065,0.011523295430286844
0.1,0.1,0.27428051868631065,0.01024929087188542
0.1,0.1,0.27428051868631065,0.010433893737992816
0.1,0.1,0.27428051868631065,0.01114006888984429
0.1,0.1,0.27428051868631065,0.010602848569693766
0.1,0.1,0.27428051868631065,0.011542077200527166
0.1,0.1,0.27428051868631065,0.011041270541391186
0.1,0.1,0.27428051868631065,0.01108804226029349
0.1,0.1,0.27428051868631065,0.011601478581257561
0.1,0.1,0.27428051868631065,0.010664586356292034
0.1,0.1,0.27428051868631065,0.01034372810390162
0.1,0.1,0.27428051868631065,0.010848394486904042
0.1,0.1,0.27428051868631065,0.011311233812683405
0.1,0.1,0.27428051868631065,0.010863234120015205
0.1,0.1,0.27428051868631065,0.010880889440787163
0.1,0.1,0.27428051868631065,0.010394393279207409
0.11,0.11,0.2769721870763486,0.010758024650334668
0.11,0.11,0.2769721870763486,0.010988685835388015
0.11,0.11,0.2769721870763486,0.010772807555346124
0.11,0.11,0.2769721870763486,0.011324731706015013
0.11,0.11,0.2769721870763486,0.01026951959387277
0.11,0.11,0.2769721870763486,0.011148359467741594
0.11,0.11,0.2769721870763486,0.011300016091596768
0.11,0.11,0.2769721870763486,0.011545500747141033
0.11,0.11,0.2769721870763486,0.010302783111896627
0.11,0.11,0.2769721870763486,0.011302379430271604
0.11,0.11,0.2769721870763486,0.010680337800866649
0.11,0.11,0.2769721870763486,0.010535367978292711
0.11,0.11,0.2769721870763486,0.01097828555578518
0.11,0.11,0.2769721870763486,0.01133277124380505
0.11,0.11,0.2769721870763486,0.01138685710581896
0.11,0.11,0.2769721870763486,0.01065081073798155
0.11,0.11,0.2769721870763486,0.011081902641550035
0.11,0.11,0.2769721870763486,0.011296748422372214
0.11,0.11,0.2769721870763486,0.010310461692848728
0.11,0.11,0.2769721870763486,0.01033710565129483
0.12,0.12,0.27971755622312616,0.011644128274240027
0.12,0.12,0.27971755622312616,0.011958081631384173
0.12,0.12,0.27971755622312616,0.011820050179588938
0.12,0.12,0.27971755622312616,0.01156122098546887
0.12,0.12,0.27971755622312616,0.010827208892406136
0.12,0.12,0.27971755622312616,0.01273723346184034
0.12,0.12,0.27971755622312616,0.011215006838614526
0.12,0.12,0.27971755622312616,0.011339199208777571
0.12,0.12,0.27971755622312616,0.011153305667047185
0.12,0.12,0.27971755622312616,0.011772376727478702
0.12,0.12,0.27971755622312616,0.012619721773121088
0.12,0.12,0.27971755622312616,0.010737365184400606
0.12,0.12,0.27971755622312616,0.011117282587031372
0.12,0.12,0.27971755622312616,0.011146440409575145
0.12,0.12,0.27971755622312616,0.011782884838552596
0.12,0.12,0.27971755622312616,0.010708641498099964
0.12,0.12,0.27971755622312616,0.011192212241542166
0.12,0.12,0.27971755622312616,0.011616323884908651
0.12,0.12,0.27971755622312616,0.011847298368009023
0.12,0.12,0.27971755622312616,0.010845134724044296
0.13,0.13,0.28251826003626646,0.011258773844214493
0.13,0.13,0.28251826003626646,0.011085293976753098
0.13,0.13,0.28251826003626646,0.011689901177771531
0.13,0.13,0.28251826003626646,0.011123395298105201
0.13,0.13,0.28251826003626646,0.010705723361643583
0.13,0.13,0.28251826003626646,0.011677751790179635
0.13,0.13,0.28251826003626646,0.010912912377984403
0.13,0.13,0.28251826003626646,0.011557605855789688
0.13,0.13,0.28251826003626646,0.01099921091449817
0.13,0.13,0.28251826003626646,0.01150089979898505
0.13,0.13,0.28251826003626646,0.011553136385029665
0.13,0.13,0.28251826003626646,0.010595081877713533
0.13,0.13,0.28251826003626646,0.01083794184010183
0.13,0.13,0.28251826003626646,0.011960825081960882
0.13,0.13,0.28251826003626646,0.011128025743893315
0.13,0.13,0.28251826003626646,0.01056412702046916
0.13,0.13,0.28251826003626646,0.01072510748320532
0.13,0.13,0.28251826003626646,0.011839275171610333
0.13,0.13,0.28251826003626646,0.010761438862938134
0.13,0.13,0.28251826003626646,0.011346578898277511
0.14,0.14,0.2853759998297766,0.011432055847905886
0.14,0.14,0.2853759998297766,0.010860674557144291
0.14,0.14,0.2853759998297766,0.011581764449151974
0.14,0.14,0.2853759998297766,0.01154411320294343
0.14,0.14,0.2853759998297766,0.011263281720856172
0.14,0.14,0.2853759998297766,0.010903587678596212
0.14,0.14,0.2853759998297766,0.0116288007682274
0.14,0.14,0.2853759998297766,0.01135739381287908
0.14,0.14,0.2853759998297766,0.011357143700671658
0.14,0.14,0.2853759998297766,0.010721618423554102
0.14,0.14,0.2853759998297766,0.011510170701518854
0.14,0.14,0.2853759998297766,0.011289196337135921
0.14,0.14,0.2853759998297766,0.011846343467794817
0.14,0.14,0.2853759998297766,0.011054834088904711
0.14,0.14,0.2853759998297766,0.01114209411341591
0.14,0.14,0.2853759998297766,0.010855929260342857
0.14,0.14,0.2853759998297766,0.010837850328322761
0.14,0.14,0.2853759998297766,0.010863606830168265
0.14,0.14,0.2853759998297766,0.011407406717271943
0.14,0.14,0.2853759998297766,0.01134752477534464
0.15,0.15,0.2882925478570475,0.011503780804639742
0.15,0.15,0.2882925478570475,0.010763168821230023
0.15,0.15,0.2882925478570475,0.01160264644887428
0.15,0.15,0.2882925478570475,0.011006037953203424
0.15,0.15,0.2882925478570475,0.01110030318184063
0.15,0.15,0.2882925478570475,0.01154135680693718
0.15,0.15,0.2882925478570475,0.011086733110465341
0.15,0.15,0.2882925478570475,0.011100358855346357
0.15,0.15,0.2882925478570475,0.011699512205269743
0.15,0.15,0.2882925478570475,0.01252279145312101
0.15,0.15,0.2882925478570475,0.011141773513555135
0.15,0.15,0.2882925478570475,0.01126584867824984
0.15,0.15,0.2882925478570475,0.01144850584962777
0.15,0.15,0.2882925478570475,0.011985735565560084
0.15,0.15,0.2882925478570475,0.011186853584171845
0.15,0.15,0.2882925478570475,0.011367534100831926
0.15,0.15,0.2882925478570475,0.012023569673423365
0.15,0.15,0.2882925478570475,0.011260821587672302
0.15,0.15,0.2882925478570475,0.011543476732528368
0.15,0.15,0.2882925478570475,0.010852618112188043
0.16,0.16,0.2912697510721274,0.012105338178749744
0.16,0.16,0.2912697510721274,0.01180110194133049
0.16,0.16,0.2912697510721274,0.012330580930703954
0.16,0.16,0.2912697510721274,0.011162431453869637
0.16,0.16,0.2912697510721274,0.011994845965230266
0.16,0.16,0.2912697510721274,0.012114806706903729
