m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.24999999999999992,2.3988532626199472e-09
0.01,0.01,0.2522318431088181,1.4997303167748654e-08
0.02,0.02,0.2545041109790552,2.7426483851490695e-08
0.03,0.03,0.25681791798105624,4.041992917286678e-08
0.04,0.04,0.25917442004953817,5.907028142349109e-08
0.05,0.05,0.2615748166503183,6.135724427502875e-08
0.06,0.06,0.2640203528603892,7.781540812825974e-08
0.07,0.07,0.26651232156907706,6.858347327649267e-08
0.08,0.08,0.2690520658086283,5.708256175800798e-08
0.09,0.09,0.2716409812232451,1.3838865264441985e-07
0.1,0.1,0.2742805186863107,1.782169402701727e-07
0.11,0.11,0.27697218707634863,1.738472698913332e-07
0.12,0.12,0.2797175562231261,3.2031987592529257e-07
0.13,0.13,0.2825182600362665,1.8593342655868177e-07
0.14,0.14,0.28537599982977657,1.0150496140138603e-07
0.15,0.15,0.2882925478570474,1.8240572423219842e-07
0.16,0.16,0.29126975107212727,2.6317446653255195e-07
0.17,0.17,0.2943095351344638,1.8242219353627202e-07
0.18,0.18,0.29741390867581596,5.081602796236434e-07
0.19,0.19,0.3005849678497158,4.515400893647432e-07
0.2,0.2,0.3038249011856972,6.768978356223903e-07
0.21,0.21,0.30713599477254494,4.552871747018363e-07
0.22,0.22,0.3105206377970605,3.448456565811167e-07
0.23,0.23,0.31398132846732657,1.3332771187508426e-06
0.24,0.24,0.3175206803522031,6.857772665265331e-07
0.25,0.25,0.32114142917183214,5.58410450849935e-07
0.26,0.26,0.3248464400773246,3.603143953771746e-07
0.27,0.27,0.3286387154615539,6.846256280247243e-07
0.28,0.28,0.33252140334718094,9.888658579662993e-07
0.29,0.29,0.33649780640269505,1.403316758029487e-06
0.3,0.3,0.3405713916424779,9.154183548234327e-07
0.31,0.31,0.34474580087270934,1.3280417235622036e-06
0.32,0.32,0.349024861951473,7.638379233421215e-07
0.33,0.33,0.3534126009387138,1.0103947572431243e-06
0.34,0.34,0.35791325521992595,2.07864593462344e-06
0.35,0.35,0.3625312876966748,1.158107599013887e-06
0.36,0.36,0.3672714021474647,1.494457405153473e-06
0.37,0.37,0.37213855987420824,1.4447939244001688e-06
0.38,0.38,0.37713799776282103,2.3891970288427204e-06
0.39,0.39,0.38227524790151096,1.8568005683763254e-06
0.4,0.4,0.38755615891737866,2.0795663244941385e-06
0.41,0.41,0.39298691921135254,1.1525384342042407e-06
0.42,0.42,0.39857408229356917,1.919295474546983e-06
0.43,0.43,0.4043245944465362,3.915942175770329e-06
0.44,0.44,0.4102458249722633,4.370043677799661e-06
0.45,0.45,0.416345599312631,1.4306795165659245e-06
0.46,0.46,0.42263223537027084,2.876184384869759e-06
0.47,0.47,0.429114583401015,3.968148184561503e-06
0.48,0.48,0.4358020698995177,3.2405172648300886e-06
0.49,0.49,0.44270474595816484,2.1092380628816726e-06
0.5,0.5,0.4498333406472918,5.81231597895753e-06
0.51,0.51,0.45719932004375324,3.969701387721629e-06
0.52,0.52,0.46481495262711087,6.633965606368525e-06
0.53,0.53,0.47269338187064724,4.90290551632754e-06
0.54,0.54,0.4808487069811422,6.249692493411297e-06
0.55,0.55,0.48929607289060184,4.03200830269092e-06
0.56,0.56,0.4980517707795059,7.072977039511723e-06
0.57,0.57,0.5071333506202754,4.956232035040302e-06
0.58,0.58,0.5165597474785544,8.704176618678064e-06
0.59,0.59,0.526351423607196,6.13637969996324e-06
0.6,0.6,0.5365305287244003,9.361718094370217e-06
0.61,0.61,0.5471210812968033,7.068115692082384e-06
0.62,0.62,0.5581491741676017,1.0848130657462992e-05
0.63,0.63,0.5696432085006784,9.356841703354533e-06
0.64,0.64,0.5816341607818309,2.4466289061194596e-05
0.65,0.65,0.594155888563049,2.4887531949890818e-05
0.66,0.66,0.6072454818010811,1.7048568856957165e-05
0.67,0.67,0.6209436680867645,1.5176851247412362e-05
0.68,0.68,0.6352952818645221,3.165396895204828e-05
0.69,0.69,0.6503498100046301,9.447328434873364e-06
0.7,0.7,0.6661620289505679,5.247357199358184e-05
0.71,0.71,0.6827927523025193,2.3007474876239685e-05
0.72,0.72,0.7003097123625974,3.755783260997374e-05
0.73,0.73,0.7187886051942509,4.501105728843769e-05
0.74,0.74,0.7383143366014491,3.637366596470816e-05
0.75,0.75,0.75898251675878,3.443401743950803e-05
0.76,0.76,0.7809012649319926,0.0001018953250638805
0.77,0.77,0.804193404118253,7.913506996426693e-05
0.78,0.78,0.8289991503834557,5.703227461898781e-05
0.79,0.79,0.8554794359318093,0.00015387833904819827
0.8,0.8,0.8838200526074405,0.00022873066527363028
0.81,0.81,0.9142368698010943,0.00010903262714111937
0.82,0.82,0.9469824771800907,0.0005512844008893467
0.83,0.83,0.9823547433177499,9.653698018201594e-05
0.84,0.84,1.0207079903521872,0.0005924818067218944
0.85,0.85,1.0624678020859963,0.00032647416245384556
0.86,0.86,1.108150975844281,0.0002346759026140668
0.87,0.87,1.1583929144508196,0.0006039865830623096
0.88,0.88,1.2139860457936096,0.0018161012695356877
0.89,0.89,1.275935050784628,0.0012921833144027097
0.9,0.9,1.3455385537002145,0.0004461896848687528
0.91,0.91,1.424514083833287,0.0031881921358650703
