m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.25,1.1680717877572354e-09
0.01,0.01,0.25,1.2560408042837746e-08
0.02,0.02,0.25,3.779742425201308e-08
0.03,0.03,0.25,3.198473866493589e-08
0.04,0.04,0.25,2.6832849525005524e-08
0.05,0.05,0.25,9.83037722914896e-08
0.06,0.06,0.25,6.197318416104279e-08
0.07,0.07,0.25,5.291364853910294e-08
0.08,0.08,0.25,1.0958336288706478e-07
0.09,0.09,0.25,1.465493485240392e-07
0.1,0.1,0.25,1.682245938953634e-07
0.11,0.11,0.25,1.602724535400538e-07
0.12,0.12,0.25,8.745932920139126e-08
0.13,0.13,0.25,2.3075117173133993e-07
0.14,0.14,0.25,1.486023593186615e-07
0.15,0.15,0.25,2.0990690983066866e-07
0.16,0.16,0.25,4.552412975884314e-07
0.17,0.17,0.25,1.2885753001721085e-07
0.18,0.18,0.25,4.422867460204459e-07
0.19,0.19,0.25,4.2383992396341956e-07
0.2,0.2,0.25,3.909433412719565e-07
0.21,0.21,0.25,5.009202760364595e-07
0.22,0.22,0.25,4.6241869033362107e-07
0.23,0.23,0.25,6.02087878723883e-07
0.24,0.24,0.25,7.563301608262793e-07
0.25,0.25,0.25,3.0820194598627276e-07
0.26,0.26,0.25,4.5040741293025653e-07
0.27,0.27,0.25,6.092053411754734e-07
0.28,0.28,0.25,5.374773198105376e-07
0.29,0.29,0.25,7.824000369209675e-07
0.3,0.3,0.25,7.117211008876301e-07
0.31,0.31,0.25,9.585393165503687e-07
0.32,0.32,0.25,8.361551292329348e-07
0.33,0.33,0.25,8.496612151854944e-07
0.34,0.34,0.25,1.7968566433297796e-06
0.35,0.35,0.25,1.0132138578410432e-06
0.36,0.36,0.25,1.1632375007279471e-06
0.37,0.37,0.25,2.89766215757937e-06
0.38,0.38,0.25,2.379491430576807e-06
0.39,0.39,0.25,1.201581975624754e-06
0.4,0.4,0.25,1.5665551752765201e-06
0.41,0.41,0.25,2.0540170453426363e-06
0.42,0.42,0.25,2.0591230670175592e-06
0.43,0.43,0.25,1.6552372531306173e-06
0.44,0.44,0.25,4.152930109368087e-06
0.45,0.45,0.25,6.032725300882015e-06
0.46,0.46,0.25,2.247471102494824e-06
0.47,0.47,0.25,4.867881811465624e-06
0.48,0.48,0.25,4.433235911054482e-06
0.49,0.49,0.25,3.477430589225106e-06
0.5,0.5,0.25,7.094144535603208e-06
0.51,0.51,0.25,4.670413862882907e-06
0.52,0.52,0.25,4.70081583544277e-06
0.53,0.53,0.25,5.358845408287403e-06
0.54,0.54,0.25,5.951187616075996e-06
0.55,0.55,0.25,8.011113840452048e-06
0.56,0.56,0.25,1.2276789319973347e-05
0.57,0.57,0.25,8.315336807823001e-06
0.58,0.58,0.25,1.466614077153797e-05
0.59,0.59,0.25,4.443535111102361e-06
0.6,0.6,0.25,2.232089480916535e-05
0.61,0.61,0.25,1.3290384661405484e-05
0.62,0.62,0.25,1.028794152957339e-05
0.63,0.63,0.25,2.0261177508909242e-05
0.64,0.64,0.25,1.3147639022321135e-05
0.65,0.65,0.25,1.7950246679849706e-05
0.66,0.66,0.25,3.388214369655741e-05
0.67,0.67,0.25,3.356237574707208e-05
0.68,0.68,0.25,2.3850382923147354e-05
0.69,0.69,0.25,1.85285778046506e-05
0.7,0.7,0.25,2.3165525591435875e-05
0.71,0.71,0.25,2.667370187511268e-05
0.72,0.72,0.25,5.452251122385322e-05
0.73,0.73,0.25,5.157150781322482e-05
0.74,0.74,0.25,6.563481150508564e-05
0.75,0.75,0.25,2.4349070904594787e-05
0.76,0.76,0.25,0.00010803867156102542
0.77,0.77,0.25,0.00011891724297389931
0.78,0.78,0.25,3.689878397169469e-05
0.79,0.79,0.25,5.3052230467240005e-05
0.8,0.8,0.25,0.00018669787744142024
0.81,0.81,0.25,0.00020073791496022283
0.82,0.82,0.25,0.00019468219262181653
0.83,0.83,0.25,0.0003052142446974763
0.84,0.84,0.25,0.0002892686855903747
0.85,0.85,0.25,0.0003501360797917489
0.86,0.86,0.25,0.00025919527539919053
0.87,0.87,0.25,0.0008001690835982189
0.88,0.88,0.25,0.0006451727934172226
0.89,0.89,0.25,0.0009498992666681828
0.9,0.9,0.25,0.0006084040664558326
0.91,0.91,0.25,0.002524231236748459
0.92,0.92,0.25,0.002743969585280077
0.93,0.93,0.25,0.004080873818701998
0.94,0.94,0.25,0.010754215992274593
0.95,0.95,0.25,0.03684089071988425
0.96,0.96,0.25,0.05904376850252554
0.97,0.97,0.25,
0.98,0.98,0.25,
0.99,0.99,0.25,
0.1,0.2,0.25,1.9355679937755673e-07
0.1,0.3,0.25,2.495723773810751e-07
0.1,0.4,0.25,3.723194378243411e-07
0.1,0.5,0.25,4.402218884176831e-07
