m,M,epsilon_of_M,avg_cost
0.0,0.0,0.5,0.009497961791748877
0.0,0.0,0.5,0.009675648379827833
0.0,0.0,0.5,0.009487665422170043
0.0,0.0,0.5,0.009600611793987746
0.0,0.0,0.5,0.009558738984846852
0.0,0.0,0.5,0.009579776950988274
0.0,0.0,0.5,0.009523533605177147
0.0,0.0,0.5,0.009560045047409541
0.0,0.0,0.5,0.00956243374557899
0.0,0.0,0.5,0.009641950353333694
0.0,0.0,0.5,0.009361688345899746
0.0,0.0,0.5,0.009592429536740235
0.0,0.0,0.5,0.009418887218354138
0.0,0.0,0.5,0.00959659882724853
0.0,0.0,0.5,0.0096296022909203
0.0,0.0,0.5,0.009677641978566786
0.0,0.0,0.5,0.009600823186770831
0.0,0.0,0.5,0.009276496476460562
0.0,0.0,0.5,0.0096406750224795
0.0,0.0,0.5,0.00958348238699829
0.01,0.01,0.5,0.009624710008163834
0.01,0.01,0.5,0.009670299865952879
0.01,0.01,0.5,0.009600371608179666
0.01,0.01,0.5,0.009731205632927835
0.01,0.01,0.5,0.00944397341604749
0.01,0.01,0.5,0.009699614282729072
0.01,0.01,0.5,0.00961380008168637
0.01,0.01,0.5,0.0096740000011076
0.01,0.01,0.5,0.009438759629259578
0.01,0.01,0.5,0.009544070940058456
0.01,0.01,0.5,0.009492541473755785
0.01,0.01,0.5,0.009535604307112568
0.01,0.01,0.5,0.00947526652035524
0.01,0.01,0.5,0.009626564306482583
0.01,0.01,0.5,0.009497468213210833
0.01,0.01,0.5,0.00957023573203298
0.01,0.01,0.5,0.009550823737906436
0.01,0.01,0.5,0.009595599277894443
0.01,0.01,0.5,0.009458361188496762
0.01,0.01,0.5,0.009593703126891132
0.02,0.02,0.5,0.00953448759723379
0.02,0.02,0.5,0.009731849077342042
0.02,0.02,0.5,0.009536967952763
0.02,0.02,0.5,0.00957662920213339
0.02,0.02,0.5,0.009618177961969438
0.02,0.02,0.5,0.009619458455687993
0.02,0.02,0.5,0.009430297332234652
0.02,0.02,0.5,0.009538587449219083
0.02,0.02,0.5,0.009591084919325544
0.02,0.02,0.5,0.009560151574835545
0.02,0.02,0.5,0.009472957070764596
0.02,0.02,0.5,0.009451410149239791
0.02,0.02,0.5,0.009468178025754767
0.02,0.02,0.5,0.009647920538722831
0.02,0.02,0.5,0.009657288399488496
0.02,0.02,0.5,0.009533163210930179
0.02,0.02,0.5,0.009468414221935404
0.02,0.02,0.5,0.00961485490404759
0.02,0.02,0.5,0.009548450914515647
0.02,0.02,0.5,0.009474712788077792
0.03,0.03,0.5,0.009562709517161441
0.03,0.03,0.5,0.00969711090450582
0.03,0.03,0.5,0.00955902273126003
0.03,0.03,0.5,0.009484978294645492
0.03,0.03,0.5,0.00959528854575972
0.03,0.03,0.5,0.009555953754813244
0.03,0.03,0.5,0.009644453862923745
0.03,0.03,0.5,0.009745308542284127
0.03,0.03,0.5,0.00957522374714364
0.03,0.03,0.5,0.009541959018050973
0.03,0.03,0.5,0.009605277928252519
0.03,0.03,0.5,0.009525183327203281
0.03,0.03,0.5,0.009597023991466617
0.03,0.03,0.5,0.009683136010757359
0.03,0.03,0.5,0.009651039692265708
0.03,0.03,0.5,0.009361975918264865
0.03,0.03,0.5,0.009589677231322443
0.03,0.03,0.5,0.009551295780703142
0.03,0.03,0.5,0.009437971262588269
0.03,0.03,0.5,0.009647011014370804
0.04,0.04,0.5,0.009486538617089282
0.04,0.04,0.5,0.009705125447784244
0.04,0.04,0.5,0.00968244976214237
0.04,0.04,0.5,0.009635862675671087
0.04,0.04,0.5,0.009607037229409006
0.04,0.04,0.5,0.009304010830782977
0.04,0.04,0.5,0.009639975002848224
0.04,0.04,0.5,0.009561665829977918
0.04,0.04,0.5,0.009490825414359933
0.04,0.04,0.5,0.009232514822773565
