m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.5,0.009555194903841832
0.01,0.01,0.4960575453255333,0.009548082684855092
0.02,0.02,0.492099486161924,0.009595695214743244
0.03,0.03,0.48812569849099363,0.00958299501827618
0.04,0.04,0.4841360568101951,0.009585935581217047
0.05,0.05,0.4801304341088267,0.009565766107064087
0.06,0.06,0.4761087018437724,0.009583424760826374
0.07,0.07,0.47207072991474847,0.009564805179678415
0.08,0.08,0.46801638663905176,0.009554323695023273
0.09,0.09,0.46394553872579125,0.009607840524669068
0.1,0.1,0.459858051249595,0.00959546248541333
0.11,0.11,0.4557537876237758,0.009629417893649937
0.12,0.12,0.4516326095729456,0.009635602137388235
0.13,0.13,0.44749437710506196,0.009613905443883804
0.14,0.14,0.4433389484828937,0.009566095672031137
0.15,0.15,0.4391661801948927,0.009618294398041348
0.16,0.16,0.4349759269254532,0.00964785091718751
0.17,0.17,0.43076804152454756,0.009616767743327469
0.18,0.18,0.4265423749767189,0.009625885834545806
0.19,0.19,0.4222987763694164,0.009593171592243172
0.2,0.2,0.41803709286065616,0.009674233607587443
0.21,0.21,0.4137571696459893,0.0096140381531551
0.22,0.22,0.40945884992476084,0.009643810457918515
0.23,0.23,0.4051419748656401,0.00965123310666573
0.24,0.24,0.40080638357140347,0.009669145304163214
0.25,0.25,0.3964519130429506,0.00965094752878038
0.26,0.26,0.3920783981425341,0.009666660284096077
0.27,0.27,0.3876856715561815,0.00968328343191598
0.28,0.28,0.3832735637552874,0.009651824466282466
0.29,0.29,0.3788419029573562,0.009635933508750093
0.3,0.3,0.3743905150858684,0.009651811869361898
0.31,0.31,0.3699192237292539,0.00966473341000514
0.32,0.32,0.36542785009893863,0.009691861622506034
0.33,0.33,0.3609162129864496,0.00969339845370817
0.34,0.34,0.35638412871954467,0.009686522952122967
0.35,0.35,0.35183141111734534,0.009683934297240343
0.36,0.36,0.347257871444443,0.00967601928776166
0.37,0.37,0.34266331836395103,0.009697671909232337
0.38,0.38,0.3380475578894727,0.009692377377606653
0.39,0.39,0.3334103933359568,0.009723714531929198
0.4,0.4,0.3287516252694073,0.009696055108447323
0.41,0.41,0.3240710514554159,0.009714543741324608
0.42,0.42,0.31936846680648573,0.009727821311043418
0.43,0.43,0.3146436633281093,0.009694141509526728
0.44,0.44,0.3098964300635674,0.009722834068390297
0.45,0.45,0.3051265530374109,0.009739200906871883
0.46,0.46,0.3003338151975886,0.009726396191675847
0.47,0.47,0.29551799635618115,0.00973941362615992
0.48,0.48,0.29067887312870133,0.009745278872272032
0.49,0.49,0.28581621887191777,0.009750110358961051
0.5,0.5,0.28092980362016134,0.009761066036034239
