m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.5,0.009585037374688486
0.01,0.01,0.5,0.00969483795707353
0.02,0.02,0.5,0.009823074077454624
0.03,0.03,0.5,0.00988329740616168
0.04,0.04,0.5,0.009926889186938053
0.05,0.05,0.5,0.010094129525287925
0.06,0.06,0.5,0.010357073401024671
0.07,0.07,0.5,0.01032052868462579
0.08,0.08,0.5,0.010363690868553575
0.09,0.09,0.5,0.010573533475901741
0.1,0.1,0.5,0.010772358345043285
0.11,0.11,0.5,0.010817706782382936
0.12,0.12,0.5,0.0109420376455243
0.13,0.13,0.5,0.010938843553669966
0.14,0.14,0.5,0.011240340450779547
0.15,0.15,0.5,0.011371334158940212
0.16,0.16,0.5,0.011625125117741778
0.17,0.17,0.5,0.01149381336671194
0.18,0.18,0.5,0.01172292219013139
0.19,0.19,0.5,0.011861203907835896
0.2,0.2,0.5,0.011959770172532027
0.21,0.21,0.5,0.012083255502684102
0.22,0.22,0.5,0.012432348779677867
0.23,0.23,0.5,0.012687058333521049
0.24,0.24,0.5,0.012665461710172876
0.25,0.25,0.5,0.013116776930739756
0.26,0.26,0.5,0.01291741340786538
0.27,0.27,0.5,0.013104185824537429
0.28,0.28,0.5,0.013338407223290624
0.29,0.29,0.5,0.013583136095795737
0.3,0.3,0.5,0.013897085753743224
0.31,0.31,0.5,0.013786453239259974
0.32,0.32,0.5,0.01449120274936494
0.33,0.33,0.5,0.01493835826147689
0.34,0.34,0.5,0.014722431187728544
0.35,0.35,0.5,0.014679326491134004
0.36,0.36,0.5,0.01524399515100846
0.37,0.37,0.5,0.015595199854144861
0.38,0.38,0.5,0.016323209875518906
0.39,0.39,0.5,0.016014910285233667
0.4,0.4,0.5,0.01606012824492175
0.41,0.41,0.5,0.016521225844362344
0.42,0.42,0.5,0.016402440923346646
0.43,0.43,0.5,0.017010458687720952
0.44,0.44,0.5,0.01783870523117622
0.45,0.45,0.5,0.017530208272476103
0.46,0.46,0.5,0.01793538733809242
0.47,0.47,0.5,0.01881972614526436
0.48,0.48,0.5,0.019518528658860296
0.49,0.49,0.5,0.01907324031926134
0.5,0.5,0.5,0.01917646644939969
0.51,0.51,0.5,0.020522554132567292
0.52,0.52,0.5,0.020142752968389736
0.53,0.53,0.5,0.02100874969215459
0.54,0.54,0.5,0.020980728841601477
0.55,0.55,0.5,0.022381691520515307
0.56,0.56,0.5,0.0226814398197318
0.57,0.57,0.5,0.021523113361031167
0.58,0.58,0.5,0.02242042394303156
0.59,0.59,0.5,0.024753043067231636
0.6,0.6,0.5,0.02490995097577489
0.61,0.61,0.5,0.025410864702334012
0.62,0.62,0.5,0.026322540444222615
0.63,0.63,0.5,0.027516292210874305
0.64,0.64,0.5,0.02973206771911053
0.65,0.65,0.5,0.03060764207940959
0.66,0.66,0.5,0.030539720334755723
0.67,0.67,0.5,0.03405015827926558
0.68,0.68,0.5,0.032264986272960684
0.69,0.69,0.5,0.035012322554956586
0.7,0.7,0.5,0.03396907737332788
0.71,0.71,0.5,0.03582799930599903
0.72,0.72,0.5,0.0362331411932524
0.73,0.73,0.5,0.03800400114140364
0.74,0.74,0.5,0.04070959910407397
0.75,0.75,0.5,0.04138977622399982
0.76,0.76,0.5,0.04293317381311378
0.77,0.77,0.5,0.04389229887788073
0.78,0.78,0.5,0.047084626432834314
0.79,0.79,0.5,0.050333059072474796
0.8,0.8,0.5,0.054694029438490145
0.81,0.81,0.5,0.056897675554488145
0.82,0.82,0.5,0.05183161298159296
0.83,0.83,0.5,0.05804237235616465
0.84,0.84,0.5,0.06727452802947712
0.85,0.85,0.5,0.07938042151838089
0.86,0.86,0.5,0.06850353870121606
0.87,0.87,0.5,0.08276282862835391
0.88,0.88,0.5,0.08761384960400938
0.89,0.89,0.5,0.09568595986180689
