m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,0.5,0.009574052374859667
0.01,0.01,0.5039665605676082,0.009650949859547247
0.02,0.02,0.5079979177547896,0.009843747996364267
0.03,0.03,0.5120957059628882,0.009873201351483615
0.04,0.04,0.5162616161383373,0.0099421583645727
0.05,0.05,0.52049739828564,0.010024398138008608
0.06,0.06,0.5248048641178956,0.01012122781134835
0.07,0.07,0.5291858898538833,0.010279606913801158
0.08,0.08,0.5336424191713875,0.010314135903072057
0.09,0.09,0.5381764663272128,0.010509587487493376
0.1,0.1,0.5427901194551417,0.010733040224897322
0.11,0.11,0.5474855440539913,0.010712352554800502
0.12,0.12,0.5522649866788762,0.010957383811460095
0.13,0.13,0.5571307788498736,0.011172771394219351
0.14,0.14,0.5620853411934147,0.011327245251971188
0.15,0.15,0.5671311878330223,0.011254930003109998
0.16,0.16,0.5722709310473791,0.011555927246076347
0.17,0.17,0.577507286215256,0.011485445837439441
0.18,0.18,0.582843077068483,0.01160243097148318
0.19,0.19,0.5882812412759918,0.012086329143977299
0.2,0.2,0.5938248363839754,0.01187185090186798
0.21,0.21,0.5994770461394302,0.01209306899915943
0.22,0.22,0.605241187226804,0.012271413967229751
0.23,0.23,0.611120716450173,0.012511151744016378
0.24,0.24,0.617119238396363,0.012534465008856415
0.25,0.25,0.623240513617734,0.012922874450305002
0.26,0.26,0.6294884673770177,0.013173603709464724
0.27,0.27,0.6358671990006551,0.013231491433024354
0.28,0.28,0.6423809918915997,0.01383197182933392
0.29,0.29,0.6490343242575736,0.013451123007389912
0.3,0.3,0.6558318806163519,0.013735008209808577
0.31,0.31,0.6627785641458999,0.01405648389934817
0.32,0.32,0.6698795099541457,0.014165811301900496
0.33,0.33,0.6771400993509753,0.014188602617042167
0.34,0.34,0.6845659752137845,0.014760221351558916
0.35,0.35,0.6921630585477134,0.014915110532719078
0.36,0.36,0.6999375663527393,0.015449590385681602
0.37,0.37,0.7078960309222104,0.01530877204391492
0.38,0.38,0.7160453207114358,0.015244087667327388
0.39,0.39,0.7243926629307729,0.01620851045841512
0.4,0.4,0.7329456680356208,0.015953257864181593
0.41,0.41,0.7417123563060677,0.01635413927539565
0.42,0.42,0.7507011867321132,0.017006484527951234
0.43,0.43,0.7599210884467502,0.0172404615918341
0.44,0.44,0.7693814949793283,0.016902990637549263
0.45,0.45,0.7790923816360812,0.017211830542713698
0.46,0.46,0.7890643063542453,0.017498475858868424
0.47,0.47,0.7993084544216629,0.018538616881302882
0.48,0.48,0.809836687506159,0.018460560100031075
0.49,0.49,0.8206615974995353,0.018749128482995446
0.5,0.5,0.8317965657511864,0.019319605241151883
0.51,0.51,0.8432558283478441,0.0202963177755501
0.52,0.52,0.8550545481909493,0.01954796000998516
0.53,0.53,0.8672088947341141,0.019717638383173464
0.54,0.54,0.8797361323732649,0.021883763469658594
0.55,0.55,0.8926547186350444,0.021821907051983565
0.56,0.56,0.9059844134896075,0.021973704899404554
0.57,0.57,0.9197464013276997,0.022750998356950873
0.58,0.58,0.9339634273959951,0.023265056915924967
0.59,0.59,0.9486599507877074,0.02442843088284613
0.6,0.6,0.9638623164485164,0.02437788480111545
0.61,0.61,0.9795989490944177,0.023746731946007602
0.62,0.62,0.99590057246547,0.025563651191642795
0.63,0.63,1.0128004579794085,0.02706024358584408
0.64,0.64,1.0303347076294318,0.027803095840727977
0.65,0.65,1.048542576926855,0.026309332659687313
0.66,0.66,1.0674668448675992,0.029487383082684705
0.67,0.67,1.087154239361446,0.030853955973145462
0.68,0.68,1.1076559283825549,0.03183332601023652
0.69,0.69,1.1290280893818592,0.03001751258286886
0.7,0.7,1.1513325723831676,0.036718522048665145
0.71,0.71,1.1746376758480317,0.03216870308676183
0.72,0.72,1.1990190590869705,0.03645414584740778
0.73,0.73,1.2245608210535006,0.034363347180852585
0.74,0.74,1.2513567832473247,0.03961002705825188
0.75,0.75,1.279512024820788,0.0388031430715348
0.76,0.76,1.3091447317397613,0.04166743850507422
0.77,0.77,1.3403884402961195,0.044265237779583605
0.78,0.78,1.373394780282132,0.04285921832333982
0.79,0.79,1.4083368574706787,0.0516360326237212
0.8,0.8,1.4454134627977873,0.05071878432924044
0.81,0.81,1.4848543630202982,0.05255735778192956
0.82,0.82,1.5269270241871216,0.05837360114458982
0.83,0.83,1.5719452600623414,0.06106075223419603
0.84,0.84,1.620280506859292,0.059013709856778465
0.85,0.85,1.6723767431240657,0.06725112113645833
