m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-3.170280741309969e-05,-2.071780758429974e-05,-2.9842470846599967e-05
0.01,0.01,-0.0001229892895610006,-7.910119203470047e-05,-0.00014675527221849963
0.02,0.02,-0.00026932199014360024,-0.00028999590905320026,-0.00022737886271139915
0.03,0.03,-0.00030271735237450033,-0.000292621297696501,-0.0003003023878855003
0.04,0.04,-0.00038405522278889964,-0.00039932440042360004,-0.00034095360572099914
0.05,0.05,-0.000523295603323301,-0.00045356421604400045,-0.0005283634182239004
0.06,0.06,-0.0007984954579211001,-0.0005626498682447991,-0.0007736486401983007
0.07,0.07,-0.0007518761504601013,-0.0007109543796354999,-0.0007557235049473008
0.08,0.08,-0.0008158403335894009,-0.0007662853681079003,-0.0008093671735302996
0.09,0.09,-0.000996489458167299,-0.0009325434697588994,-0.0009656929512326991
0.1,0.1,-0.0011719563503254007,-0.0011326382301795005,-0.0011768958596298992
0.11,0.11,-0.0012565299876488994,-0.0011511757600665001,-0.0011882888887329995
0.12,0.12,-0.0013852753091289013,-0.0014006214750646,-0.0013064355081361008
0.13,0.13,-0.0013841789583356,-0.0016181067988849992,-0.0013249381097860998
0.14,0.14,-0.0016570390258753998,-0.0017439438270669995,-0.001674244778748401
0.15,0.15,-0.0017978138902420004,-0.0016814097344116999,-0.001753039760898899
0.16,0.16,-0.0020566000571266008,-0.001987402185461201,-0.0019772742005541993
0.17,0.17,-0.001935350662535201,-0.0019269831332626997,-0.001877045623384501
0.18,0.18,-0.0021887353592384,-0.0020682441405901995,-0.0020970363555855003
0.19,0.19,-0.0023030554685443995,-0.002528180704685799,-0.002268032315592701
0.2,0.2,-0.002387547657446601,-0.0022996283867825,-0.002285536564944601
0.21,0.21,-0.0025271516397660006,-0.0025369651362413,-0.0024692173495290005
0.22,0.22,-0.002884038674066801,-0.0027231038616186993,-0.0027885383217593016
0.23,0.23,-0.003158774970076701,-0.0029828683805720006,-0.003035825226855301
0.24,0.24,-0.0030758279426496005,-0.0029448312413332,-0.0029963164060096
0.25,0.25,-0.003538047361011501,-0.003344144880576801,-0.0034658294019594
0.26,0.26,-0.0033490301474321995,-0.0036052204490315994,-0.003250753123769299
0.27,0.27,-0.0035340002271906992,-0.0036613058356776,-0.0034209023926214995
0.28,0.28,-0.0037751358394078997,-0.0042687004454512005,-0.0036865827570082
0.29,0.29,-0.004007118210082601,-0.003875105121676801,-0.003947202587045701
0.3,0.3,-0.0043061712932687,-0.004144093749334001,-0.0042452738843814005
0.31,0.31,-0.0042625115157,-0.004532542175788199,-0.004121719829254801
0.32,0.32,-0.004946625850061399,-0.004621234402596899,-0.0047993411268589005
0.33,0.33,-0.0053724084028223,-0.004622652758387599,-0.005244959807768701
0.34,0.34,-0.0051495178614555,-0.0051873080252859,-0.0050359082356056
0.35,0.35,-0.005144558518830699,-0.0053803425604157,-0.004995392193893699
0.36,0.36,-0.0056976493375699,-0.0059032445722431,-0.0055679758632468
0.37,0.37,-0.0060275655461197,-0.005741137735889799,-0.0058975279449125
0.38,0.38,-0.006776137821085399,-0.0056970156128938,-0.006630832497912298
0.39,0.39,-0.006494674255664801,-0.0066882744288463,-0.0062911957533045015
0.4,0.4,-0.006505838955127701,-0.006398968574387499,-0.006364073136474401
0.41,0.41,-0.006935113625042599,-0.0067680270560758985,-0.0068066821030376996
0.42,0.42,-0.006854171703657201,-0.007458215308261799,-0.006674619612303201
0.43,0.43,-0.0074470304487974995,-0.0076770333529107004,-0.0073163171781942
0.44,0.44,-0.0082672483148485,-0.0073315337212215,-0.008115871162786
0.45,0.45,-0.0079750935292182,-0.007656715799455701,-0.007791007365604299
0.46,0.46,-0.008376582506731498,-0.007939671027507499,-0.008208991146416598
