m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,7.804570219690331e-09,2.25838788195669e-09,5.010200525327527e-09
0.01,0.01,-4.205274055611788e-09,-6.924913946111428e-09,-1.4786904388017092e-09
0.02,0.02,-2.3374795265964276e-08,-3.0604539691509205e-08,-2.4811085174402142e-08
0.03,0.03,-1.0020937058728342e-08,-1.8419581471308115e-08,-7.917618019490972e-09
0.04,0.04,-5.390877302571218e-08,-3.316983135099958e-08,-5.971718756733495e-08
0.05,0.05,-9.74444470299038e-08,-6.501477657402511e-08,-9.800911347534911e-08
0.06,0.06,-8.539961410221055e-08,-7.223233183932184e-08,-8.981861084900781e-08
0.07,0.07,-1.0028748644660566e-07,-5.815635653730034e-08,-1.0611105268033752e-07
0.08,0.08,-9.755434962753206e-08,-9.05350105467001e-08,-9.072710729272424e-08
0.09,0.09,-1.3378669953065981e-07,-1.0911691202594817e-07,-1.3194002518322528e-07
0.1,0.1,-1.0722016143184657e-07,-2.266811610236146e-07,-1.0840461128596824e-07
0.11,0.11,-1.1505779159811558e-07,-1.3536552336348252e-07,-1.2398306905157686e-07
0.12,0.12,-1.715813188789459e-07,-1.4135238772875494e-07,-1.7066455823672187e-07
0.13,0.13,-1.420919468746737e-07,-1.1622398561164112e-07,-1.4979749517332917e-07
0.14,0.14,-2.0618024609755657e-07,-3.0195102104296275e-07,-1.9429827672133925e-07
0.15,0.15,-1.4813546924549284e-07,-1.4773745463799467e-07,-1.427782522386723e-07
0.16,0.16,-3.3179542676007705e-07,-4.6772495840452657e-07,-3.3286286577837457e-07
0.17,0.17,-3.636722101792481e-07,-3.64693850755216e-07,-3.651671099638425e-07
0.18,0.18,-3.335695509984366e-07,-2.485298444490739e-07,-3.3373758200798047e-07
0.19,0.19,-4.818937260680506e-07,-4.7430584350433885e-07,-4.793168531301162e-07
0.2,0.2,-3.422706981652601e-07,-3.7699277365641204e-07,-3.478954923422814e-07
0.21,0.21,-1.7458880817414864e-07,-3.8462606302748075e-07,-1.8281397711692068e-07
0.22,0.22,-6.733634214910008e-07,-5.149156576139895e-07,-6.742112985469641e-07
0.23,0.23,-7.253515516477262e-07,-1.9917904083141083e-07,-7.304579158430633e-07
0.24,0.24,-5.480149603680878e-07,-5.33341564672225e-07,-5.464062292190179e-07
0.25,0.25,-1.1613780051310277e-06,-5.754020612216558e-07,-1.167261044812123e-06
0.26,0.26,-9.159468709089236e-07,-6.222063568473828e-07,-9.213676161036565e-07
