m,M,epsilon_of_M,avg_cost
0.0,0.0,1.0,0.009045630315392237
0.0,0.0,1.0,0.009108005579179311
0.0,0.0,1.0,0.009276938973221984
0.0,0.0,1.0,0.00911916434743616
0.0,0.0,1.0,0.009146012056380952
0.0,0.0,1.0,0.009188892636397822
0.0,0.0,1.0,0.009178008429653365
0.0,0.0,1.0,0.009181147021931662
0.0,0.0,1.0,0.00903370571967044
0.0,0.0,1.0,0.00918888952410027
0.0,0.0,1.0,0.009055021050800999
0.0,0.0,1.0,0.009304510092947754
0.0,0.0,1.0,0.009177546144118906
0.0,0.0,1.0,0.009366976946070839
0.0,0.0,1.0,0.009377754455293897
0.0,0.0,1.0,0.009057833297273686
0.0,0.0,1.0,0.00893981657000875
0.0,0.0,1.0,0.00867791051226185
0.0,0.0,1.0,0.009121286245081024
0.0,0.0,1.0,0.008842057069957733
0.01,0.01,0.9936587309970013,0.00904955594438806
0.01,0.01,0.9936587309970013,0.008917089963002865
0.01,0.01,0.9936587309970013,0.00915299596398108
0.01,0.01,0.9936587309970013,0.009084260644415653
0.01,0.01,0.9936587309970013,0.00922145602266008
0.01,0.01,0.9936587309970013,0.009081360677072402
0.01,0.01,0.9936587309970013,0.00914988323878485
0.01,0.01,0.9936587309970013,0.009472859841055819
0.01,0.01,0.9936587309970013,0.009315307088725461
0.01,0.01,0.9936587309970013,0.009269448917987094
0.01,0.01,0.9936587309970013,0.00879000921675774
0.01,0.01,0.9936587309970013,0.009003191366511237
0.01,0.01,0.9936587309970013,0.00935888503868214
0.01,0.01,0.9936587309970013,0.009053901740476943
0.01,0.01,0.9936587309970013,0.009320653533529599
0.01,0.01,0.9936587309970013,0.00910891580692273
0.01,0.01,0.9936587309970013,0.009288873419322547
0.01,0.01,0.9936587309970013,0.008798928500314726
0.01,0.01,0.9936587309970013,0.009152340948442276
0.01,0.01,0.9936587309970013,0.009002202308763361
0.02,0.02,0.9872769935436303,0.009269787232001
0.02,0.02,0.9872769935436303,0.00919989048422277
0.02,0.02,0.9872769935436303,0.009026948296456328
0.02,0.02,0.9872769935436303,0.00902507105534898
0.02,0.02,0.9872769935436303,0.00923095021117158
0.02,0.02,0.9872769935436303,0.009126988147181601
0.02,0.02,0.9872769935436303,0.009217655698083022
0.02,0.02,0.9872769935436303,0.008997372108288935
0.02,0.02,0.9872769935436303,0.009228154858384158
0.02,0.02,0.9872769935436303,0.009494543933481597
0.02,0.02,0.9872769935436303,0.009241496850194299
0.02,0.02,0.9872769935436303,0.00929065246962924
0.02,0.02,0.9872769935436303,0.009354492549733385
0.02,0.02,0.9872769935436303,0.009044082694805312
0.02,0.02,0.9872769935436303,0.009209118824341053
0.02,0.02,0.9872769935436303,0.0090825411755628
0.02,0.02,0.9872769935436303,0.009096435806518496
0.02,0.02,0.9872769935436303,0.009216843919916473
0.02,0.02,0.9872769935436303,0.009214399221053382
0.02,0.02,0.9872769935436303,0.009282961533051502
0.03,0.03,0.9808542678008314,0.009343171683825287
0.03,0.03,0.9808542678008314,0.009017707618246903
0.03,0.03,0.9808542678008314,0.009243340349201245
0.03,0.03,0.9808542678008314,0.009285411827371253
0.03,0.03,0.9808542678008314,0.009245931010694746
0.03,0.03,0.9808542678008314,0.009216113701681943
0.03,0.03,0.9808542678008314,0.00929778335032551
0.03,0.03,0.9808542678008314,0.008963686528380135
0.03,0.03,0.9808542678008314,0.009316576363536002
0.03,0.03,0.9808542678008314,0.009214644710393852
0.03,0.03,0.9808542678008314,0.009377105165954447
0.03,0.03,0.9808542678008314,0.008616749542585525
0.03,0.03,0.9808542678008314,0.009264117646823894
0.03,0.03,0.9808542678008314,0.008928430881781121
0.03,0.03,0.9808542678008314,0.009268168734568396
0.03,0.03,0.9808542678008314,0.009059243892401222
0.03,0.03,0.9808542678008314,0.009035712130259783
0.03,0.03,0.9808542678008314,0.008984880113482259
0.03,0.03,0.9808542678008314,0.009214873754667502
0.03,0.03,0.9808542678008314,0.009229493484706005
0.04,0.04,0.974390023848345,0.008969877088247605
0.04,0.04,0.974390023848345,0.009006621100874045
0.04,0.04,0.974390023848345,0.00903066430485195
