m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,1.0,0.00911935534935898
0.01,0.01,0.9936587309970013,0.009129606009089833
0.02,0.02,0.9872769935436304,0.009192519353471297
0.03,0.03,0.9808542678008317,0.009156157124544352
0.04,0.04,0.9743900238483448,0.009060878963439153
0.05,0.05,0.9678837214223396,0.009226089125904065
0.06,0.06,0.9613348096444507,0.00914751781032328
0.07,0.07,0.9547427267418882,0.009192058935996191
0.08,0.08,0.9481068997582623,0.0092239169964516
0.09,0.09,0.9414267442547407,0.009231777659967848
0.1,0.1,0.9347016640011663,0.00917752875626588
0.11,0.11,0.9279310506567138,0.009253278216532542
0.12,0.12,0.9211142834396615,0.009168526502369764
0.13,0.13,0.9142507287858315,0.009263532138291907
0.14,0.14,0.9073397399952269,0.009246050547922205
0.15,0.15,0.9003806568663716,0.009270770509577076
0.16,0.16,0.8933728053178399,0.009214639206533638
0.17,0.17,0.8863154969964302,0.00924887327117266
0.18,0.18,0.8792080288714116,0.00927392009749865
0.19,0.19,0.8720496828142521,0.009237732537983302
0.2,0.2,0.8648397251631902,0.009272901104995332
0.21,0.21,0.8575774062720013,0.009209930675170036
0.22,0.22,0.8502619600422527,0.009264965981268511
0.23,0.23,0.8428926034383275,0.009250982185128622
0.24,0.24,0.8354685359844455,0.009276179559898082
0.25,0.25,0.8279889392428699,0.009291447210531779
0.26,0.26,0.8204529762724547,0.00930624815452209
0.27,0.27,0.8128597910666386,0.009261227681559523
0.28,0.28,0.8052085079699282,0.009297528550068207
0.29,0.29,0.797498231071897,0.009297773904150743
0.3,0.3,0.7897280435776313,0.009336948442853633
0.31,0.31,0.7818970071535287,0.00932304267761504
0.32,0.32,0.7740041612472799,0.00933632637712411
0.33,0.33,0.7660485223807948,0.009355910070261016
0.34,0.34,0.7580290834147829,0.009328929523922811
0.35,0.35,0.7499448127836004,0.009350111482011848
0.36,0.36,0.7417946536989197,0.009367336767678003
0.37,0.37,0.7335775233206772,0.009335511647902694
0.38,0.38,0.7252923118936785,0.009386148829381286
0.39,0.39,0.7169378818481358,0.00933342087827151
0.4,0.4,0.708513066862315,0.00935024500983984
0.41,0.41,0.7000166708853597,0.009382691855100503
0.42,0.42,0.6914474671182481,0.009381052117351997
0.43,0.43,0.6828041969507086,0.009397671384241826
0.44,0.44,0.6740855688517898,0.009434994860661159
0.45,0.45,0.6652902572116408,0.009445586569017488
0.46,0.46,0.6564169011319039,0.009426465066028945
0.47,0.47,0.6474641031619578,0.00942292474880528
0.48,0.48,0.6384304279780761,0.009453620322471481
0.49,0.49,0.6293144010023838,0.009436542226406299
0.5,0.5,0.6201145069582774,0.009479902968813165
0.51,0.51,0.6108291883587841,0.009444815049183614
0.52,0.52,0.6014568439240732,0.009476645755574272
0.53,0.53,0.5919958269241085,0.009489468439442431
0.54,0.54,0.5824444434421473,0.009454636074608152
0.55,0.55,0.5728009505545073,0.009455773700222594
0.56,0.56,0.563063554421708,0.009503265583693287
0.57,0.57,0.5532304082857552,0.009535516897874274
0.58,0.58,0.5432996103679851,0.009475892547601518
0.59,0.59,0.53326920166147,0.009590961002732181
0.6,0.6,0.5231371636115854,0.009580356141777711
0.61,0.61,0.5129014156778685,0.009509843668887744
0.62,0.62,0.5025598127697941,0.009575600665697837
0.63,0.63,0.4921101425485735,0.009599262478321846
0.64,0.64,0.4815501225864788,0.009571015789651182
0.65,0.65,0.4708773973745732,0.009562118851867276
0.66,0.66,0.46008953516903023,0.009605363678893522
0.67,0.67,0.44918402466548485,0.009588548007810555
0.68,0.68,0.43815827149003644,0.009617407533975908
0.69,0.69,0.4270095944946358,0.009618384182309932
0.7,0.7,0.41573522184362866,0.009605990753345468
0.71,0.71,0.40433228687716244,0.009617850238517573
0.72,0.72,0.39279782373601113,0.009616434420970647
0.73,0.73,0.38112876273111923,0.009666884243303113
0.74,0.74,0.3693219254397696,0.009657229425727765
0.75,0.75,0.35737401950878844,0.009666235973795925
0.76,0.76,0.3452816331435179,0.009708922466138182
0.77,0.77,0.33304122925948504,0.009688527622772378
0.78,0.78,0.32064913927168365,0.009701088143416855
0.79,0.79,0.30810155649418186,0.009725653759479834
0.8,0.8,0.2953945291203476,0.009731256022412243
0.81,0.81,0.28252395275130054,0.009753267481309233
0.82,0.82,0.2694855624372464,0.009754949957698478
0.83,0.83,0.25627492419307796,0.009764431301875421
0.84,0.84,0.24288742594601262,0.009783239174211356
0.85,0.85,0.22931826786901982,0.00980668185448958
0.86,0.86,0.21556245204933772,0.009805501818184894
0.87,0.87,0.20161477143643655,0.009820231044803205
0.88,0.88,0.18746979800826175,0.009843147230096763
0.89,0.89,0.17312187008846108,0.009849513657198383
0.9,0.9,0.1585650787404291,0.00985531696437956
0.91,0.91,0.14379325315634003,0.009878351796138097
0.92,0.92,0.1287999449507512,0.00987753394390577
0.93,0.93,0.113578411258715,0.009903143548612724
0.94,0.94,0.09812159652752409,0.009913715915497794
0.95,0.95,0.08242211287901122,0.009931926685333615
0.96,0.96,0.06647221890559726,0.009939699865967853
0.97,0.97,0.05026379674774627,0.009956752009062332
0.98,0.98,0.03378832728291657,0.009966303314324831
0.99,0.99,0.017036863236176654,0.009984021087458722
0.1,0.2,1.8648397251631905,0.008416498143396935
0.1,0.3,2.7897280435776315,0.007818871273064396
0.1,0.4,3.7085130668623143,0.007244073286640366
0.1,0.5,4.620114506958276,0.006836358408898712
0.1,0.6,5.523137163611584,0.006299822442673074
0.1,0.7,6.4157352218436285,0.005757291869803816
0.1,0.8,7.295394529120348,0.005651120542772047
0.1,0.9,8.195987029498756,0.005050917645428043
0.2,0.3,1.2897280435776313,0.00889466862167827
0.2,0.4,1.7085130668623154,0.00861922841451433
0.2,0.5,2.120114506958278,0.008397780901770421
0.2,0.6,2.5231371636115854,0.008101992671925278
0.2,0.7,2.9157352218436277,0.007813717778188817
0.2,0.8,3.3359931249441233,0.007525594408890998
0.2,0.9,4.536418382828268,0.006946545608485824
0.3,0.4,1.0418464001956487,0.009137937025216347
0.3,0.5,1.2867811736249444,0.00891853959952118
0.3,0.6,1.5238551221072782,0.008789315407843985
0.3,0.7,1.7804540248006575,0.008519160046475637
0.3,0.8,2.1802663867405037,0.008117526961374005
0.3,0.9,3.5557536486184396,0.007300466418808833
0.4,0.5,0.8719887568651666,0.009221411296755447
0.4,0.6,1.040004453643959,0.009157984258322656
0.4,0.7,1.2474029062976228,0.009019120823490196
0.4,0.8,1.6219243544110256,0.008737876001333165
0.4,0.9,2.970877397374573,0.007821476832321617
0.5,0.6,0.7441312242084208,0.009376592798809794
0.5,0.7,0.9109181462991321,0.00919037541478344
0.5,0.8,1.24047842129593,0.008913890434695329
0.5,0.9,2.4157352218436303,0.008155207975766219
0.6,0.7,0.6491258279171361,0.00940758339053495
0.6,0.8,0.9168332207542781,0.009274684291549058
0.6,0.9,1.8573740195087889,0.008590317707070022
0.7,0.8,0.6073740195087888,0.009493288169395047
0.7,0.9,1.2953945291203475,0.008869960624592355
0.8,0.9,0.729318267869019,0.009280829708095139
