m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,1.0,2.8055618401138476e-08
0.01,0.01,0.9936587309970013,3.2379468329941076e-08
0.02,0.02,0.9872769935436304,1.5242226727160094e-08
0.03,0.03,0.9808542678008317,3.443491249208399e-08
0.04,0.04,0.9743900238483448,4.697132490366834e-08
0.05,0.05,0.9678837214223396,1.0406677090496522e-08
0.06,0.06,0.9613348096444507,3.6535573880448275e-08
0.07,0.07,0.9547427267418882,3.274877018761011e-08
0.08,0.08,0.9481068997582623,1.2520156627951812e-08
0.09,0.09,0.9414267442547407,9.799539768268242e-09
0.1,0.1,0.9347016640011663,2.269155771562769e-08
0.11,0.11,0.9279310506567138,9.6235334504712e-09
0.12,0.12,0.9211142834396615,3.2433221696955e-08
0.13,0.13,0.9142507287858315,1.879003235353621e-08
0.14,0.14,0.9073397399952269,3.19959995792737e-08
0.15,0.15,0.9003806568663716,2.323561284419677e-08
0.16,0.16,0.8933728053178399,2.247958143736917e-08
0.17,0.17,0.8863154969964302,1.287367405671962e-08
0.18,0.18,0.8792080288714116,2.49575088086073e-08
0.19,0.19,0.8720496828142521,2.7193614219033612e-08
0.2,0.2,0.8648397251631902,1.4477926800876923e-08
0.21,0.21,0.8575774062720013,2.5620608672139284e-08
0.22,0.22,0.8502619600422527,3.317115518880891e-08
0.23,0.23,0.8428926034383275,1.5130545577593284e-08
0.24,0.24,0.8354685359844455,2.3298183617993256e-08
0.25,0.25,0.8279889392428699,1.8930996240100182e-08
0.26,0.26,0.8204529762724547,2.2032538240886063e-08
0.27,0.27,0.8128597910666386,2.8651782095992723e-08
0.28,0.28,0.8052085079699282,2.330657192696774e-08
0.29,0.29,0.797498231071897,1.7135415653291062e-08
0.3,0.3,0.7897280435776313,1.670145715590618e-08
0.31,0.31,0.7818970071535287,1.2764798658319137e-08
0.32,0.32,0.7740041612472799,2.8419370011683446e-08
0.33,0.33,0.7660485223807948,2.3057626943182185e-08
0.34,0.34,0.7580290834147829,1.0221551903710214e-08
0.35,0.35,0.7499448127836004,2.3644299986153403e-08
0.36,0.36,0.7417946536989197,1.7809086582755417e-08
0.37,0.37,0.7335775233206772,3.120362277701453e-08
0.38,0.38,0.7252923118936785,1.2343226472057572e-08
0.39,0.39,0.7169378818481358,3.685242075775244e-08
0.4,0.4,0.708513066862315,1.520478575365201e-08
0.41,0.41,0.7000166708853597,2.024200061857056e-08
0.42,0.42,0.6914474671182481,1.4442887572311814e-08
0.43,0.43,0.6828041969507086,1.7879774076343307e-08
0.44,0.44,0.6740855688517898,9.086261170904642e-09
0.45,0.45,0.6652902572116408,8.635308427248027e-09
0.46,0.46,0.6564169011319039,7.477465276732024e-09
0.47,0.47,0.6474641031619578,1.6345055754629242e-08
0.48,0.48,0.6384304279780761,7.791419747070352e-09
0.49,0.49,0.6293144010023838,2.455511352198365e-08
0.5,0.5,0.6201145069582774,5.430405830480508e-09
0.51,0.51,0.6108291883587841,1.6450072163567013e-08
0.52,0.52,0.6014568439240732,7.8219937536404e-09
0.53,0.53,0.5919958269241085,1.2721574112335362e-08
0.54,0.54,0.5824444434421473,1.4411480983200053e-08
0.55,0.55,0.5728009505545073,7.366449983341934e-09
0.56,0.56,0.563063554421708,9.999232195271543e-09
0.57,0.57,0.5532304082857552,3.510151804403614e-09
0.58,0.58,0.5432996103679851,1.3083299157133224e-08
0.59,0.59,0.53326920166147,2.8153030719506716e-09
0.6,0.6,0.5231371636115854,5.023576166917951e-09
0.61,0.61,0.5129014156778685,1.4134281190992797e-08
0.62,0.62,0.5025598127697941,1.037346349731235e-08
0.63,0.63,0.4921101425485735,6.9864774738617954e-09
0.64,0.64,0.4815501225864788,7.453871542202972e-09
0.65,0.65,0.4708773973745732,6.780327749326064e-09
0.66,0.66,0.46008953516903023,8.434427306722219e-09
0.67,0.67,0.44918402466548485,9.58691751872848e-09
0.68,0.68,0.43815827149003644,5.500076800662455e-09
0.69,0.69,0.4270095944946358,3.883580071194544e-09
0.7,0.7,0.41573522184362866,1.205228432513495e-08
0.71,0.71,0.40433228687716244,5.87493048758647e-09
0.72,0.72,0.39279782373601113,1.0738194314210117e-08
0.73,0.73,0.38112876273111923,6.509997454345633e-09
0.74,0.74,0.3693219254397696,9.885996645880422e-09
0.75,0.75,0.35737401950878844,6.178321124267405e-09
0.76,0.76,0.3452816331435179,3.6796702331932463e-09
0.77,0.77,0.33304122925948504,6.057064060973361e-09
0.78,0.78,0.32064913927168365,6.088365816465571e-09
0.79,0.79,0.30810155649418186,2.344736596562393e-09
0.8,0.8,0.2953945291203476,4.160819968568906e-09
0.81,0.81,0.28252395275130054,1.580926089182586e-09
0.82,0.82,0.2694855624372464,3.3895158669827385e-09
0.83,0.83,0.25627492419307796,1.895327160467322e-09
0.84,0.84,0.24288742594601262,1.6034796868988232e-09
0.85,0.85,0.22931826786901982,1.0006085061037513e-09
0.86,0.86,0.21556245204933772,1.766699107004931e-09
0.87,0.87,0.20161477143643655,1.5738059104584437e-09
0.88,0.88,0.18746979800826175,1.1483278377043802e-09
0.89,0.89,0.17312187008846108,9.662817314507488e-10
0.9,0.9,0.1585650787404291,1.1558735786294441e-09
0.91,0.91,0.14379325315634003,5.988078909159498e-10
0.92,0.92,0.1287999449507512,1.3861666898687127e-09
0.93,0.93,0.113578411258715,2.8983288007379814e-10
0.94,0.94,0.09812159652752409,2.1768258604693953e-10
0.95,0.95,0.08242211287901122,2.8138378212125696e-10
0.96,0.96,0.06647221890559726,1.9765097168088597e-10
0.97,0.97,0.05026379674774627,3.9071882827613455e-11
0.98,0.98,0.03378832728291657,7.76755450713316e-11
0.99,0.99,0.017036863236176654,1.4194965150171383e-11
0.1,0.2,1.8648397251631905,1.119528808663717e-07
0.1,0.3,2.7897280435776315,8.384183807619784e-08
0.1,0.4,3.7085130668623143,2.914152476727406e-07
0.1,0.5,4.620114506958276,3.4026136160695725e-07
0.1,0.6,5.523137163611584,3.3746366690450807e-07
0.1,0.7,6.4157352218436285,5.470959940606551e-07
0.1,0.8,7.295394529120348,5.489813290533427e-07
0.1,0.9,8.195987029498756,5.273202774476916e-07
0.2,0.3,1.2897280435776313,1.2642651385994058e-08
0.2,0.4,1.7085130668623154,1.3305768568353615e-07
0.2,0.5,2.120114506958278,1.3589033240115567e-07
0.2,0.6,2.5231371636115854,1.130032918473288e-07
0.2,0.7,2.9157352218436277,8.381584088902768e-08
0.2,0.8,3.3359931249441233,1.7262394081880565e-07
0.2,0.9,4.536418382828268,3.276788499033826e-07
0.3,0.4,1.0418464001956487,2.1239998929849876e-08
0.3,0.5,1.2867811736249444,8.127257093430352e-08
0.3,0.6,1.5238551221072782,8.162630236047356e-08
0.3,0.7,1.7804540248006575,7.242810810420959e-08
0.3,0.8,2.1802663867405037,1.2942403616925117e-07
