m,M,epsilon_of_M,avg_cost
0.0,0.0,1,0.009088296415937313
0.0,0.0,1,0.009103481588225376
0.0,0.0,1,0.009070457759720447
0.0,0.0,1,0.00892780051167077
0.0,0.0,1,0.00917673443327738
0.0,0.0,1,0.009184549748886555
0.0,0.0,1,0.009100913712139719
0.0,0.0,1,0.009255637656870602
0.0,0.0,1,0.0092049976346441
0.0,0.0,1,0.009087773468572077
0.0,0.0,1,0.009081082948976036
0.0,0.0,1,0.009089195094274211
0.0,0.0,1,0.009014616571528161
0.0,0.0,1,0.009175558957231296
0.0,0.0,1,0.008929970821209285
0.0,0.0,1,0.00924252637292329
0.0,0.0,1,0.009280396475406428
0.0,0.0,1,0.008889031274022413
0.0,0.0,1,0.009279469173192252
0.0,0.0,1,0.0093037238054559
0.01,0.01,1,0.00929638771962117
0.01,0.01,1,0.00930224728058854
0.01,0.01,1,0.009369736200157163
0.01,0.01,1,0.009053561599932803
0.01,0.01,1,0.009131948956016636
0.01,0.01,1,0.009415443648169926
0.01,0.01,1,0.009037614183235166
0.01,0.01,1,0.009043447835402903
0.01,0.01,1,0.00932096562684117
0.01,0.01,1,0.009138382401562199
0.01,0.01,1,0.009182384001602288
0.01,0.01,1,0.00879583889459716
0.01,0.01,1,0.009285471472523158
0.01,0.01,1,0.009591936670019474
0.01,0.01,1,0.009248932716103954
0.01,0.01,1,0.009270326574881315
0.01,0.01,1,0.008961721300218302
0.01,0.01,1,0.008800708217222992
0.01,0.01,1,0.009083631250853227
0.01,0.01,1,0.009141190774784222
0.02,0.02,1,0.009239086196955675
0.02,0.02,1,0.008937719915434548
0.02,0.02,1,0.009156387804740934
0.02,0.02,1,0.00936115800544721
0.02,0.02,1,0.009739101515347917
0.02,0.02,1,0.009287619738401042
0.02,0.02,1,0.009462319114831419
0.02,0.02,1,0.009182608707092014
0.02,0.02,1,0.009596169441993036
0.02,0.02,1,0.009025346875064446
0.02,0.02,1,0.009509523520649868
0.02,0.02,1,0.00909429209417277
0.02,0.02,1,0.009442599804530943
0.02,0.02,1,0.009465495629443588
