m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,1.0,0.009124310721208182
0.01,0.01,1.0,0.00917359386621669
0.02,0.02,1.0,0.009335827327948814
0.03,0.03,1.0,0.009441461538589635
0.04,0.04,1.0,0.009614229148504126
0.05,0.05,1.0,0.009646869344334803
0.06,0.06,1.0,0.00970149613969438
0.07,0.07,1.0,0.009841656652603902
0.08,0.08,1.0,0.010055569099436229
0.09,0.09,1.0,0.010214347680638138
0.1,0.1,1.0,0.01032987230416815
0.11,0.11,1.0,0.01052438291962498
0.12,0.12,1.0,0.010374742361008313
0.13,0.13,1.0,0.010625621607803917
0.14,0.14,1.0,0.010744507730755491
0.15,0.15,1.0,0.010962839582802966
0.16,0.16,1.0,0.011103054150098792
0.17,0.17,1.0,0.011088576637953573
0.18,0.18,1.0,0.01114931716014579
0.19,0.19,1.0,0.011546271538256618
0.2,0.2,1.0,0.011535127946243739
0.21,0.21,1.0,0.011954969527891499
0.22,0.22,1.0,0.0121054534397576
0.23,0.23,1.0,0.012154206557186142
0.24,0.24,1.0,0.012540780841167724
0.25,0.25,1.0,0.012605467843638474
0.26,0.26,1.0,0.012834473157284759
0.27,0.27,1.0,0.013084741280114835
0.28,0.28,1.0,0.01308069311704697
0.29,0.29,1.0,0.013310738664474481
0.3,0.3,1.0,0.01371242268312108
0.31,0.31,1.0,0.0135281610202081
0.32,0.32,1.0,0.013991659608690935
0.33,0.33,1.0,0.014500314256254448
0.34,0.34,1.0,0.014340421213577845
0.35,0.35,1.0,0.014596586501158134
0.36,0.36,1.0,0.014568274704033842
0.37,0.37,1.0,0.01520735048771219
0.38,0.38,1.0,0.015409442697996392
0.39,0.39,1.0,0.0157709767922081
0.4,0.4,1.0,0.01603932085600958
0.41,0.41,1.0,0.015999063818746752
0.42,0.42,1.0,0.01722056360024056
0.43,0.43,1.0,0.016876413187539685
0.44,0.44,1.0,0.017002654672063695
0.45,0.45,1.0,0.017524804844981555
0.46,0.46,1.0,0.017607685989821743
0.47,0.47,1.0,0.017545933283448778
0.48,0.48,1.0,0.017851621723991816
0.49,0.49,1.0,0.019255789110630785
0.5,0.5,1.0,0.01988547683276196
0.51,0.51,1.0,0.01948276813958333
0.52,0.52,1.0,0.020520394479367092
0.53,0.53,1.0,0.02006109753404199
0.54,0.54,1.0,0.021848254920117292
0.55,0.55,1.0,0.02219154057656527
0.56,0.56,1.0,0.021659355249536643
0.57,0.57,1.0,0.022232802033695914
0.58,0.58,1.0,0.022925480234124246
0.59,0.59,1.0,0.023345215045970286
0.6,0.6,1.0,0.023847477310178312
0.61,0.61,1.0,0.024644147397631606
0.62,0.62,1.0,0.02658252244926748
0.63,0.63,1.0,0.02545706983936749
0.64,0.64,1.0,0.028366730986800204
0.65,0.65,1.0,0.030032895329308935
0.66,0.66,1.0,0.029099052155563986
0.67,0.67,1.0,0.030402696561216254
0.68,0.68,1.0,0.031180948050299286
0.69,0.69,1.0,0.030915268726047978
0.7,0.7,1.0,0.03276269873279885
0.71,0.71,1.0,0.03397385819986273
0.72,0.72,1.0,0.03576693688556244
0.73,0.73,1.0,0.03646106291295312
0.74,0.74,1.0,0.03695184589580774
0.75,0.75,1.0,0.03950440873219478
0.76,0.76,1.0,0.04260394873554035
0.77,0.77,1.0,0.04540827919068426
0.78,0.78,1.0,0.04999638437182298
0.79,0.79,1.0,0.045525916478065274
0.8,0.8,1.0,0.05129946722273915
0.81,0.81,1.0,0.05189266286956843
0.82,0.82,1.0,0.06044063821795685
0.83,0.83,1.0,0.05980224947682463
0.84,0.84,1.0,0.06357918599842093
0.85,0.85,1.0,0.06678605658961989
0.86,0.86,1.0,0.07285702005092534
0.87,0.87,1.0,0.0713859997808783
0.88,0.88,1.0,0.09700470949384728
0.89,0.89,1.0,0.10529369952627692
0.9,0.9,1.0,0.12790141121441018
0.91,0.91,1.0,0.10584605296477545
0.92,0.92,1.0,0.166773098550337
0.93,0.93,1.0,0.13990096711272149
0.94,0.94,1.0,0.19407121724906437
0.95,0.95,1.0,0.2479192403431732
0.96,0.96,1.0,0.323172076672117
0.97,0.97,1.0,inf
0.98,0.98,1.0,inf
0.99,0.99,1.0,inf
0.1,0.2,1.0,0.010815003237057448
0.1,0.3,1.0,0.011225033096156904
0.1,0.4,1.0,0.011836372705258903
0.1,0.5,1.0,0.01234633086046504
0.1,0.6,1.0,0.012737998441126486
0.1,0.7,1.0,0.013557553575326304
0.1,0.8,1.0,0.01445630292407602
0.1,0.9,1.0,0.014835220161118864
0.2,0.3,1.0,0.012136294192128725
0.2,0.4,1.0,0.012618425781804183
0.2,0.5,1.0,0.013291428910655757
0.2,0.6,1.0,0.013754977739865532
0.2,0.7,1.0,0.014616284380329452
0.2,0.8,1.0,0.015620583846706018
0.2,0.9,1.0,0.01777816609639229
0.3,0.4,1.0,0.01362496046735629
0.3,0.5,1.0,0.014941016619334469
0.3,0.6,1.0,0.01556558948875068
0.3,0.7,1.0,0.01717834009222452
0.3,0.8,1.0,0.018242336417875905
0.3,0.9,1.0,0.01882229872576857
0.4,0.5,1.0,0.01694784614438003
0.4,0.6,1.0,0.017569754773017872
0.4,0.7,1.0,0.018386595340630807
0.4,0.8,1.0,0.021071764216531556
0.4,0.9,1.0,0.022970961993487065
0.5,0.6,1.0,0.020953931669850125
0.5,0.7,1.0,0.022640913239314546
0.5,0.8,1.0,0.02393023620840406
