m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,1.0,1.4776318922456205e-08
0.01,0.01,1.0,3.902818011942506e-08
0.02,0.02,1.0,4.5838145126428356e-08
0.03,0.03,1.0,4.531469776706349e-08
0.04,0.04,1.0,1.1388428901150558e-07
0.05,0.05,1.0,8.73904388741806e-08
0.06,0.06,1.0,1.0012386665183838e-07
0.07,0.07,1.0,1.6282222248461133e-07
0.08,0.08,1.0,1.5425303975604462e-07
0.09,0.09,1.0,2.419239887693196e-07
0.1,0.1,1.0,1.929363601486351e-07
0.11,0.11,1.0,1.9682919363929212e-07
0.12,0.12,1.0,1.479381798649105e-07
0.13,0.13,1.0,2.658419055090619e-07
0.14,0.14,1.0,3.2747309790077763e-07
0.15,0.15,1.0,3.1026961256289374e-07
0.16,0.16,1.0,3.488222923611048e-07
0.17,0.17,1.0,2.9757670579016925e-07
0.18,0.18,1.0,4.543136086476499e-07
0.19,0.19,1.0,1.975326907831185e-07
0.2,0.2,1.0,4.585851904528784e-07
0.21,0.21,1.0,5.026005231804084e-07
0.22,0.22,1.0,3.975605693606494e-07
0.23,0.23,1.0,4.518948263219776e-07
0.24,0.24,1.0,5.790810331196346e-07
0.25,0.25,1.0,8.141657964585854e-07
0.26,0.26,1.0,8.058855364833263e-07
0.27,0.27,1.0,8.840624652058628e-07
0.28,0.28,1.0,1.7364659711299655e-06
0.29,0.29,1.0,6.811486204272419e-07
0.3,0.3,1.0,1.250301444734076e-06
0.31,0.31,1.0,7.310440679415397e-07
0.32,0.32,1.0,1.2602904943110924e-06
0.33,0.33,1.0,1.4050665632960482e-06
0.34,0.34,1.0,8.295394635152625e-07
0.35,0.35,1.0,1.3612205091728199e-06
0.36,0.36,1.0,1.4089060521609154e-06
0.37,0.37,1.0,1.2877018219286733e-06
0.38,0.38,1.0,1.9213171399700913e-06
0.39,0.39,1.0,7.594421157263689e-07
0.4,0.4,1.0,2.477513979209547e-06
0.41,0.41,1.0,2.3185072361740686e-06
0.42,0.42,1.0,1.3405321574049453e-06
0.43,0.43,1.0,1.3265089783911307e-06
0.44,0.44,1.0,4.490743104076453e-06
0.45,0.45,1.0,4.511495537340536e-06
0.46,0.46,1.0,3.088774196017934e-06
0.47,0.47,1.0,2.7789060615336274e-06
0.48,0.48,1.0,3.296038246462358e-06
0.49,0.49,1.0,3.0791227137702774e-06
0.5,0.5,1.0,5.9572659613800105e-06
0.51,0.51,1.0,3.0287209337190902e-06
0.52,0.52,1.0,6.905700131816473e-06
0.53,0.53,1.0,4.312013380709194e-06
0.54,0.54,1.0,4.740795936435665e-06
0.55,0.55,1.0,5.73463001152408e-06
0.56,0.56,1.0,5.500746000681697e-06
0.57,0.57,1.0,5.744216475872087e-06
0.58,0.58,1.0,1.0390665171910137e-05
0.59,0.59,1.0,1.654182492329608e-05
0.6,0.6,1.0,7.110067656187773e-06
0.61,0.61,1.0,7.505036589681011e-06
0.62,0.62,1.0,1.4074122289691023e-05
0.63,0.63,1.0,1.0982294798360742e-05
0.64,0.64,1.0,1.1124511009871092e-05
0.65,0.65,1.0,3.614357332330528e-05
0.66,0.66,1.0,1.7936238609937475e-05
0.67,0.67,1.0,1.267736455398975e-05
0.68,0.68,1.0,1.7368414437128177e-05
0.69,0.69,1.0,1.247714654814725e-05
0.7,0.7,1.0,3.5594571283018645e-05
0.71,0.71,1.0,3.083822073384295e-05
0.72,0.72,1.0,4.9427074659155336e-05
0.73,0.73,1.0,2.513224698509917e-05
0.74,0.74,1.0,3.886160567748297e-05
0.75,0.75,1.0,3.4927094860709754e-05
0.76,0.76,1.0,5.135000943774301e-05
0.77,0.77,1.0,0.00012151271463346238
0.78,0.78,1.0,0.0002681251895538457
0.79,0.79,1.0,5.4344009962139e-05
0.8,0.8,1.0,0.00010872374538512726
0.81,0.81,1.0,0.0001239269106939946
0.82,0.82,1.0,0.000163943419283383
0.83,0.83,1.0,0.00023926155315223606
0.84,0.84,1.0,0.0002014834596867735
0.85,0.85,1.0,0.0001537628107602521
0.86,0.86,1.0,0.000350341576726441
0.87,0.87,1.0,0.00022041260710802565
0.88,0.88,1.0,0.0006083331815026703
0.89,0.89,1.0,0.0021118481011719458
0.9,0.9,1.0,0.0026289772963626356
0.91,0.91,1.0,0.000884424713740866
0.92,0.92,1.0,0.008676902725420505
0.93,0.93,1.0,0.002453554207282245
0.94,0.94,1.0,0.004773511921092872
0.95,0.95,1.0,0.03499211264395063
0.96,0.96,1.0,0.0682484587259498
0.97,0.97,1.0,
0.98,0.98,1.0,
0.99,0.99,1.0,
0.1,0.2,1.0,1.6332436984710174e-07
0.1,0.3,1.0,3.7031077103134803e-07
0.1,0.4,1.0,7.319467858540573e-07
0.1,0.5,1.0,6.191894140480133e-07
0.1,0.6,1.0,1.0415578754139517e-06
0.1,0.7,1.0,4.956321662205519e-07
0.1,0.8,1.0,1.9124227349227905e-06
0.1,0.9,1.0,1.088541253465152e-06
0.2,0.3,1.0,7.409358985000251e-07
0.2,0.4,1.0,6.634775433079009e-07
0.2,0.5,1.0,4.2130864387530405e-07
0.2,0.6,1.0,2.2561177012287154e-06
0.2,0.7,1.0,1.1035419991261612e-06
0.2,0.8,1.0,2.040113926538905e-06
0.2,0.9,1.0,3.633617407436479e-06
0.3,0.4,1.0,7.440739626371479e-07
0.3,0.5,1.0,2.3704319751715587e-06
0.3,0.6,1.0,1.3182733880039332e-06
0.3,0.7,1.0,3.0662687588370373e-06
0.3,0.8,1.0,5.683697818371753e-06
0.3,0.9,1.0,4.99555448855328e-06
0.4,0.5,1.0,3.581099457312404e-06
0.4,0.6,1.0,5.169329740252809e-06
0.4,0.7,1.0,2.607473805427533e-06
0.4,0.8,1.0,6.13691551682061e-06
0.4,0.9,1.0,6.345468064689055e-06
0.5,0.6,1.0,3.385021722650814e-06
0.5,0.7,1.0,1.4311892695757397e-05
0.5,0.8,1.0,5.658048959056448e-06
0.5,0.9,1.0,1.884677188269454e-05
0.6,0.7,1.0,2.029142658332034e-05
0.6,0.8,1.0,4.1093620368323506e-05
0.6,0.9,1.0,3.275059540042398e-05
0.7,0.8,1.0,4.953775170897133e-05
0.7,0.9,1.0,6.034591943148709e-05
0.8,0.9,1.0,0.0002662529138797976
