m,M,difference_error_M_minus_MoS,difference_error_M_minus_MoSChangeEpsDelta,difference_error_MChangeEpsDelta_minus_MoS
0.0,0.0,6.046516016629949e-05,-4.0635207003009155e-06,-4.955371849199933e-06
0.01,0.01,2.171186888960154e-05,-0.00013193561929489978,-4.3987857126798896e-05
0.02,0.02,-0.0001814368977525998,-0.00026965661972619924,-0.0001433079744775998
0.03,0.03,-0.0002794028687721998,-0.0003583968264889003,-0.0002853044140452999
0.04,0.04,-0.0005060042286465002,-0.0003240684011404007,-0.0005533501850649991
0.05,0.05,-0.000548742957472299,-0.0005149225373508003,-0.00042078021843079856
0.06,0.06,-0.0004859280751311999,-0.0005420741082352992,-0.0005539783293711
0.07,0.07,-0.0005998310453868005,-0.0006453809206205998,-0.0006495977166078009
0.08,0.08,-0.0009090816727396998,-0.0009460383078741998,-0.0008316521029845987
0.09,0.09,-0.0010643292758749003,-0.000941613543662,-0.0009825700206703009
0.1,0.1,-0.0011539171854152014,-0.0011019011386837006,-0.0011523435479023
0.11,0.11,-0.0013864960428209994,-0.0011286618938930997,-0.0012711047030923989
0.12,0.12,-0.0012361810434423012,-0.0013144194203127003,-0.0012062158586386013
0.13,0.13,-0.0014070136885146987,-0.0013184674753154001,-0.001362089469511999
0.14,0.14,-0.001615165994865199,-0.0014210767823471995,-0.0014984571828331999
0.15,0.15,-0.0018123060361429008,-0.0016111770728051006,-0.0016920690732259002
0.16,0.16,-0.0019914163807861,-0.0019298112463168992,-0.0018884149435651008
0.17,0.17,-0.0019502625710333,-0.0020158775020846006,-0.0018397033667809006
0.18,0.18,-0.0020128465332487997,-0.0021599707142343997,-0.0018753970626471002
0.19,0.19,-0.0024988057355340987,-0.0024950292626354995,-0.002308539000273299
0.2,0.2,-0.002358344854966001,-0.0024716421963642994,-0.0022622268412484
0.21,0.21,-0.002772300315934501,-0.0024017138107221003,-0.0027450388527214004
0.22,0.22,-0.002977946354189201,-0.002602201092335601,-0.0028404874584891
0.23,0.23,-0.0030093187409843004,-0.0028939070480463007,-0.0029032243720575005
0.24,0.24,-0.0034383214105276998,-0.002794248811591401,-0.003264601281269699
0.25,0.25,-0.0035410982064760007,-0.003409108915392799,-0.0033140206331067016
0.26,0.26,-0.0037074846727553,-0.0032850721421764997,-0.003528225002762699
0.27,0.27,-0.0039102888340329,-0.0035645873612372998,-0.0038235135985552997
0.28,0.28,-0.003943646751538901,-0.0036047306038337005,-0.0037831645669787004
0.29,0.29,-0.0041098240074452005,-0.003699620119874101,-0.004012964760323701
0.3,0.3,-0.0045785653805816996,-0.0039096075187313,-0.004375474240267399
0.31,0.31,-0.004358677368388599,-0.0042269617426314,-0.004205118342593099
0.32,0.32,-0.004843713819974199,-0.004497303286765699,-0.0046553332315668
0.33,0.33,-0.0053535538616509,-0.0046200204389689,-0.0051444041859933995
0.34,0.34,-0.005233136021095701,-0.004931035573224,-0.005011491689655
0.35,0.35,-0.005485143736174999,-0.0053501634938257995,-0.0052464750191463
0.36,0.36,-0.005391242451747,-0.005236516174307199,-0.005200937936355801
0.37,0.37,-0.0060375875752529,-0.0055957566257607005,-0.005871838839809499
0.38,0.38,-0.0062966349526939,-0.005896114157561199,-0.006023293868615101
0.39,0.39,-0.006600288902101001,-0.005846533131127801,-0.006437555913936601
0.4,0.4,-0.006866987619290799,-0.0061334796572732,-0.0066890758461696995
0.41,0.41,-0.006771667506285399,-0.0060394295908224,-0.0066163719636462
0.42,0.42,-0.008110906142899301,-0.006836613122109099,-0.007839511482888601
0.43,0.43,-0.007752635881625601,-0.008053781826519899,-0.007478741803297802
0.44,0.44,-0.007878566167285501,-0.007704236498467701,-0.007567659811402502
0.45,0.45,-0.0083824675807094,-0.008207987780165302,-0.0080792182759641
0.46,0.46,-0.0084546765654831,-0.009058850446523199,-0.008181220923792802
0.47,0.47,-0.008405481305949902,-0.0083146262221968,-0.008123008534643502
0.48,0.48,-0.008725087346946998,-0.0084969992552743,-0.008398001401520399
