m,M,epsilon_of_M,avg_cost
0.0,0.0,2,0.008108146734880218
0.0,0.0,2,0.008569770058710001
0.0,0.0,2,0.008520110014249894
0.0,0.0,2,0.008672663034079327
0.0,0.0,2,0.008196376249398448
0.0,0.0,2,0.008489417091950781
0.0,0.0,2,0.008686137766451545
0.0,0.0,2,0.008237111663143728
0.0,0.0,2,0.00856288801532176
0.0,0.0,2,0.008085672742972082
0.0,0.0,2,0.008147275042982453
0.0,0.0,2,0.008669338217639946
0.0,0.0,2,0.008190403335297037
0.0,0.0,2,0.008429929415375669
0.0,0.0,2,0.008130790688691407
0.0,0.0,2,0.008299743076929338
0.0,0.0,2,0.008766796081408509
0.0,0.0,2,0.008492604504871855
0.0,0.0,2,0.008565644420200995
0.0,0.0,2,0.008730638535867849
0.01,0.01,2,0.008220850178165899
0.01,0.01,2,0.008402113586692322
0.01,0.01,2,0.008160656455738102
0.01,0.01,2,0.00834508836909916
0.01,0.01,2,0.008640323753790629
0.01,0.01,2,0.008593376809034417
0.01,0.01,2,0.008333243499770025
0.01,0.01,2,0.008160096710745883
0.01,0.01,2,0.00848005999139458
0.01,0.01,2,0.008195191545496016
0.01,0.01,2,0.008292761327278162
0.01,0.01,2,0.008445232371380906
0.01,0.01,2,0.008540272668308462
0.01,0.01,2,0.008116000294516895
0.01,0.01,2,0.00892424551254547
0.01,0.01,2,0.008164715924406811
0.01,0.01,2,0.008326408538078709
0.01,0.01,2,0.008120159335490967
0.01,0.01,2,0.008391691791981175
0.01,0.01,2,0.008218215687527898
0.02,0.02,2,0.008386081264182506
0.02,0.02,2,0.008166425616668664
0.02,0.02,2,0.008461595471874332
0.02,0.02,2,0.008322332471182518
0.02,0.02,2,0.00841423609283914
0.02,0.02,2,0.008458354415600423
0.02,0.02,2,0.008496558986098551
0.02,0.02,2,0.008853209424447178
0.02,0.02,2,0.008461855880070299
0.02,0.02,2,0.008631347983113638
0.02,0.02,2,0.00867738464107714
0.02,0.02,2,0.008865103375971744
0.02,0.02,2,0.008277371903335759
0.02,0.02,2,0.008494284830521302
0.02,0.02,2,0.007928873887362364
0.02,0.02,2,0.008694332455551004
0.02,0.02,2,0.008580876979683582
0.02,0.02,2,0.008468646839680481
0.02,0.02,2,0.009008821241000994
0.02,0.02,2,0.008026102540786685
0.03,0.03,2,0.00772872241949491
0.03,0.03,2,0.008773266752961764
0.03,0.03,2,0.008685533681019734
0.03,0.03,2,0.008547956538420052
0.03,0.03,2,0.0082225093582741
0.03,0.03,2,0.00845322983107155
0.03,0.03,2,0.008526547529725906
0.03,0.03,2,0.00862853211614097
0.03,0.03,2,0.008433665020315428
0.03,0.03,2,0.008621364066845067
0.03,0.03,2,0.00785506583520481
0.03,0.03,2,0.008784022153501839
0.03,0.03,2,0.008427576091145196
0.03,0.03,2,0.008474192782459603
0.03,0.03,2,0.008559630253002205
0.03,0.03,2,0.00855727325186257
0.03,0.03,2,0.007694537922437374
0.03,0.03,2,0.007926175347615375
0.03,0.03,2,0.008476732265729094
0.03,0.03,2,0.00819933744537471
0.04,0.04,2,0.008560315650468197
0.04,0.04,2,0.007597108432803008
0.04,0.04,2,0.008495038765630543
0.04,0.04,2,0.008414910912955936
0.04,0.04,2,0.007645433699373559
0.04,0.04,2,0.00850146193643544
0.04,0.04,2,0.008134981515678177
0.04,0.04,2,0.008370349467215705
0.04,0.04,2,0.008658681686955048
0.04,0.04,2,0.008672162978841791
0.04,0.04,2,0.008579150181402428
0.04,0.04,2,0.008257482418084923
0.04,0.04,2,0.008408181790430944
0.04,0.04,2,0.008455669367491281
0.04,0.04,2,0.00868450928109635
0.04,0.04,2,0.008695465755566768
0.04,0.04,2,0.008436504893574419
0.04,0.04,2,0.00791380883954156
0.04,0.04,2,0.008827825102727768
0.04,0.04,2,0.0086937338310686
0.05,0.05,2,0.008380614655639346
0.05,0.05,2,0.00866445878279101
0.05,0.05,2,0.008337428285453072
0.05,0.05,2,0.008609233582838698
0.05,0.05,2,0.008349801813869226
0.05,0.05,2,0.008265419521474415
0.05,0.05,2,0.0088646932964695
0.05,0.05,2,0.00824287298299607
0.05,0.05,2,0.00773645708000161
0.05,0.05,2,0.008454916638852707
0.05,0.05,2,0.00857706705304466
0.05,0.05,2,0.008380282676684711
0.05,0.05,2,0.007927974720475158
0.05,0.05,2,0.0078020583077291535
0.05,0.05,2,0.008069276959671152
0.05,0.05,2,0.008629429378227282
0.05,0.05,2,0.00858747616576158
0.05,0.05,2,0.008386252669033213
0.05,0.05,2,0.008737182818783962
0.05,0.05,2,0.008593991429974784
0.06,0.06,2,0.008699257004076928
0.06,0.06,2,0.00844089611599761
0.06,0.06,2,0.007544205384083486
0.06,0.06,2,0.008133428319556026
0.06,0.06,2,0.008303733991786076
0.06,0.06,2,0.008411824571661914
0.06,0.06,2,0.00792593396025724
0.06,0.06,2,0.008358139607043808
0.06,0.06,2,0.008424835271673238
0.06,0.06,2,0.008243289217865596
0.06,0.06,2,0.00826787879643833
0.06,0.06,2,0.008038871852330815
0.06,0.06,2,0.008907107417054982
0.06,0.06,2,0.008493495111104534
0.06,0.06,2,0.008391847557490052
0.06,0.06,2,0.00825659098958892
0.06,0.06,2,0.008098816878293563
0.06,0.06,2,0.008603782109571112
0.06,0.06,2,0.008510135446878304
0.06,0.06,2,0.008137488301087152
0.07,0.07,2,0.008083442913992572
0.07,0.07,2,0.008426888660009605
0.07,0.07,2,0.008671580981348804
0.07,0.07,2,0.008673386582683651
0.07,0.07,2,0.00793758092822462
0.07,0.07,2,0.008622928939703834
0.07,0.07,2,0.008448081011168512
0.07,0.07,2,0.008095424604278369
0.07,0.07,2,0.008592164513507737
0.07,0.07,2,0.008163429559958251
0.07,0.07,2,0.008175013213418857
0.07,0.07,2,0.008645235928542107
0.07,0.07,2,0.008490284139436387
0.07,0.07,2,0.008490842916755193
0.07,0.07,2,0.008284931252316094
0.07,0.07,2,0.008432567796691581
