m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,2.0,0.008427572834521144
0.01,0.01,2.0,0.008353535217572124
0.02,0.02,2.0,0.008483689815052415
0.03,0.03,2.0,0.008378793533130114
0.04,0.04,2.0,0.008400138825367122
0.05,0.05,2.0,0.008379844440988564
0.06,0.06,2.0,0.008309577895191985
0.07,0.07,2.0,0.008424958583443793
0.08,0.08,2.0,0.008369743081249506
0.09,0.09,2.0,0.00841156541424277
0.1,0.1,2.0,0.008398167415454457
0.11,0.11,2.0,0.008491978630061072
0.12,0.12,2.0,0.00846464728972764
0.13,0.13,2.0,0.008320644983725237
0.14,0.14,2.0,0.008371843013523016
0.15,0.15,2.0,0.008327773541111116
0.16,0.16,2.0,0.008214454928592912
0.17,0.17,2.0,0.008404033773299357
0.18,0.18,2.0,0.008420796604855934
0.19,0.19,2.0,0.008466379429729214
0.2,0.2,2.0,0.008461116560633346
0.21,0.21,2.0,0.008361209895773507
0.22,0.22,2.0,0.008264108657522855
0.23,0.23,2.0,0.00845926321912666
0.24,0.24,2.0,0.008580148455064902
0.25,0.25,2.0,0.008273643512538304
0.26,0.26,2.0,0.008305512246204771
0.27,0.27,2.0,0.008402641800192762
0.28,0.28,2.0,0.008359920123573223
0.29,0.29,2.0,0.008355684835594747
0.3,0.3,2.0,0.00830796055555069
0.31,0.31,2.0,0.00836241672397663
0.32,0.32,2.0,0.008475540628083287
0.33,0.33,2.0,0.0085057181053237
0.34,0.34,2.0,0.008291255624600305
0.35,0.35,2.0,0.00844119136711292
0.36,0.36,2.0,0.008352111182367011
0.37,0.37,2.0,0.008477480170188557
0.38,0.38,2.0,0.008397442934171113
0.39,0.39,2.0,0.008314987217367295
0.4,0.4,2.0,0.008479640001537048
0.41,0.41,2.0,0.008436691809041675
0.42,0.42,2.0,0.0083879104481893
0.43,0.43,2.0,0.008563477554377252
0.44,0.44,2.0,0.00839791184387545
0.45,0.45,2.0,0.008489009350417792
0.46,0.46,2.0,0.008406598971988455
0.47,0.47,2.0,0.008375174706317514
0.48,0.48,2.0,0.008404633720905027
0.49,0.49,2.0,0.008401117724357868
0.5,0.5,2.0,0.008331767741829255
0.51,0.51,2.0,0.008391848196599428
0.52,0.52,2.0,0.00831529106303883
0.53,0.53,2.0,0.008408034558868108
0.54,0.54,2.0,0.008358923692018818
0.55,0.55,2.0,0.008321245804930644
0.56,0.56,2.0,0.008357273573599252
0.57,0.57,2.0,0.008389907614901479
0.58,0.58,2.0,0.008445610641189727
0.59,0.59,2.0,0.008422122391319412
0.6,0.6,2.0,0.008360993124833816
0.61,0.61,2.0,0.008487540166182233
0.62,0.62,2.0,0.008377445676355654
0.63,0.63,2.0,0.008362515663831943
0.64,0.64,2.0,0.008433393636270957
0.65,0.65,2.0,0.008310483393228934
0.66,0.66,2.0,0.008274130146589058
0.67,0.67,2.0,0.00833967493972135
0.68,0.68,2.0,0.008391875721295534
0.69,0.69,2.0,0.008254467094761103
0.7,0.7,2.0,0.008360674892251573
0.71,0.71,2.0,0.008467978528333683
0.72,0.72,2.0,0.008358497239997263
0.73,0.73,2.0,0.008376518638435481
0.74,0.74,2.0,0.008478423420406625
0.75,0.75,2.0,0.008440963469921245
0.76,0.76,2.0,0.00834973232716195
0.77,0.77,2.0,0.00834798643725223
0.78,0.78,2.0,0.008484606684224886
0.79,0.79,2.0,0.008307022568354451
0.8,0.8,2.0,0.008372324769600047
0.81,0.81,2.0,0.008365953710870514
0.82,0.82,2.0,0.008270879773516938
0.83,0.83,2.0,0.008460895017956053
0.84,0.84,2.0,0.008403589917010026
0.85,0.85,2.0,0.008392417026371668
0.86,0.86,2.0,0.00834037733874106
0.87,0.87,2.0,0.008463930629967992
0.88,0.88,2.0,0.008499916989473406
0.89,0.89,2.0,0.008420959431322558
0.9,0.9,2.0,0.008335966536087478
0.91,0.91,2.0,0.00834867274514863
0.92,0.92,2.0,0.008372499775697666
0.93,0.93,2.0,0.008206822161425247
0.94,0.94,2.0,0.008369957640977109
0.95,0.95,2.0,0.00850386516814072
0.96,0.96,2.0,0.008415510803601492
0.97,0.97,2.0,0.008232494966473014
0.98,0.98,2.0,0.008392197569171183
0.99,0.99,2.0,0.008471660465438053
0.1,0.2,2.0,0.008355199801391204
0.1,0.3,2.0,0.008338191729720694
0.1,0.4,2.0,0.008375445824045048
0.1,0.5,2.0,0.00839008617631737
0.1,0.6,2.0,0.00844446490988331
0.1,0.7,2.0,0.008451938286028455
0.1,0.8,2.0,0.008418485542730128
0.1,0.9,2.0,0.00829810328272693
0.2,0.3,2.0,0.00854128886468666
0.2,0.4,2.0,0.008423534054230877
0.2,0.5,2.0,0.008381218749582347
0.2,0.6,2.0,0.008338653691591116
0.2,0.7,2.0,0.008421882972470152
0.2,0.8,2.0,0.008411015520206054
0.2,0.9,2.0,0.00832056788985932
0.3,0.4,2.0,0.008328949643907844
0.3,0.5,2.0,0.008460716283126984
0.3,0.6,2.0,0.008331321162378481
0.3,0.7,2.0,0.008447518224391676
0.3,0.8,2.0,0.008422362239265489
0.3,0.9,2.0,0.008338440159199352
0.4,0.5,2.0,0.008458504238920072
0.4,0.6,2.0,0.00850203317126869
