m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,2.0,5.3389769617161036e-08
0.01,0.01,2.0,4.2928832495461076e-08
0.02,0.02,2.0,7.230785224778919e-08
0.03,0.03,2.0,1.1085940702185458e-07
0.04,0.04,2.0,1.1590546945298503e-07
0.05,0.05,2.0,9.343206479421583e-08
0.06,0.06,2.0,8.631073551583801e-08
0.07,0.07,2.0,5.364293693579084e-08
0.08,0.08,2.0,4.804189793894141e-08
0.09,0.09,2.0,9.045482307499414e-08
0.1,0.1,2.0,7.565351061498497e-08
0.11,0.11,2.0,7.431838849934944e-08
0.12,0.12,2.0,3.2396425520840044e-08
0.13,0.13,2.0,7.564253914950672e-08
0.14,0.14,2.0,1.4762877805690465e-07
0.15,0.15,2.0,8.881626977867658e-08
0.16,0.16,2.0,1.8711872723174582e-07
0.17,0.17,2.0,9.573477636346668e-08
0.18,0.18,2.0,4.864076505666619e-08
0.19,0.19,2.0,5.773169548862835e-08
0.2,0.2,2.0,1.1030342435810289e-07
0.21,0.21,2.0,7.866294085014e-08
0.22,0.22,2.0,1.333252724031631e-07
0.23,0.23,2.0,5.8374320885632086e-08
0.24,0.24,2.0,3.927685601616774e-08
0.25,0.25,2.0,1.141829123175888e-07
0.26,0.26,2.0,9.613080711089295e-08
0.27,0.27,2.0,8.232116191295739e-08
0.28,0.28,2.0,8.499339160763138e-08
0.29,0.29,2.0,1.1899905858482334e-07
0.3,0.3,2.0,3.1660036488990564e-07
0.31,0.31,2.0,1.378359329380554e-07
0.32,0.32,2.0,7.226643644649518e-08
0.33,0.33,2.0,3.633591004937706e-08
0.34,0.34,2.0,7.745685500236204e-08
0.35,0.35,2.0,6.04284210305384e-08
0.36,0.36,2.0,6.493165407539503e-08
0.37,0.37,2.0,1.0011722991507065e-07
0.38,0.38,2.0,1.1525091191556572e-07
0.39,0.39,2.0,1.6460953119994513e-07
0.4,0.4,2.0,6.217331891956369e-08
0.41,0.41,2.0,6.927954550857502e-08
0.42,0.42,2.0,7.084190370020634e-08
0.43,0.43,2.0,9.187089641357355e-08
0.44,0.44,2.0,3.9962431624080084e-08
0.45,0.45,2.0,4.4075158447767225e-08
0.46,0.46,2.0,6.194605684354384e-08
0.47,0.47,2.0,1.7448230358575364e-07
0.48,0.48,2.0,9.727900769800326e-08
0.49,0.49,2.0,1.0520175772963799e-07
0.5,0.5,2.0,4.584189026888225e-08
0.51,0.51,2.0,7.684358671201806e-08
0.52,0.52,2.0,9.802854360097551e-08
0.53,0.53,2.0,6.80146985406781e-08
0.54,0.54,2.0,7.469378155700983e-08
0.55,0.55,2.0,1.8269727606268547e-07
0.56,0.56,2.0,1.283458460297847e-07
0.57,0.57,2.0,1.0430335673585384e-07
