m,M,epsilon_of_M,avg_cost
0.0,0.0,2.0,0.008388108655323336
0.0,0.0,2.0,0.008604803448258763
0.0,0.0,2.0,0.00857299125799568
0.0,0.0,2.0,0.008529922376065898
0.0,0.0,2.0,0.008399117602653255
0.0,0.0,2.0,0.0088084019364152
0.0,0.0,2.0,0.008489959135927254
0.0,0.0,2.0,0.008158261938143879
0.0,0.0,2.0,0.008109513841885636
0.0,0.0,2.0,0.008384062671294447
0.0,0.0,2.0,0.008637779581249649
0.0,0.0,2.0,0.008787114681477515
0.0,0.0,2.0,0.007456729702451299
0.0,0.0,2.0,0.008098851044163104
0.0,0.0,2.0,0.00823885165345298
0.0,0.0,2.0,0.00809753927533097
0.0,0.0,2.0,0.008145102042365541
0.0,0.0,2.0,0.008072923044197157
0.0,0.0,2.0,0.00808284142509466
0.0,0.0,2.0,0.008586560455558272
0.01,0.01,2.0086960664121007,0.009035442876522392
0.01,0.01,2.0086960664121007,0.008634059945377071
0.01,0.01,2.0086960664121007,0.008855750578927794
0.01,0.01,2.0086960664121007,0.008290474383754127
0.01,0.01,2.0086960664121007,0.008301170019700588
0.01,0.01,2.0086960664121007,0.008682209429669172
0.01,0.01,2.0086960664121007,0.008422892579301722
0.01,0.01,2.0086960664121007,0.007661588357774992
0.01,0.01,2.0086960664121007,0.008435597449909472
0.01,0.01,2.0086960664121007,0.00858262403644599
0.01,0.01,2.0086960664121007,0.00858647049134142
0.01,0.01,2.0086960664121007,0.0075658176696679035
0.01,0.01,2.0086960664121007,0.00839421363514708
0.01,0.01,2.0086960664121007,0.008612975349103484
0.01,0.01,2.0086960664121007,0.008387444414114082
0.01,0.01,2.0086960664121007,0.008326472632746763
0.01,0.01,2.0086960664121007,0.008407832116760371
0.01,0.01,2.0086960664121007,0.008760276304399262
0.01,0.01,2.0086960664121007,0.008936835544738163
0.01,0.01,2.0086960664121007,0.008701167742694022
0.02,0.02,2.0174923319015563,0.008839316091581404
0.02,0.02,2.0174923319015563,0.008076484593581191
0.02,0.02,2.0174923319015563,0.00847298172165225
0.02,0.02,2.0174923319015563,0.00836286673369024
0.02,0.02,2.0174923319015563,0.008236696806256532
0.02,0.02,2.0174923319015563,0.008866913962271282
0.02,0.02,2.0174923319015563,0.008618651983820906
0.02,0.02,2.0174923319015563,0.008409888692126206
0.02,0.02,2.0174923319015563,0.008800179467161178
0.02,0.02,2.0174923319015563,0.008733779662339639
0.02,0.02,2.0174923319015563,0.008886564712881257
0.02,0.02,2.0174923319015563,0.009292069436373169
0.02,0.02,2.0174923319015563,0.008123252604793697
0.02,0.02,2.0174923319015563,0.00883637638867261
0.02,0.02,2.0174923319015563,0.008428910240569343
0.02,0.02,2.0174923319015563,0.008414172540441148
0.02,0.02,2.0174923319015563,0.008714110296904862
0.02,0.02,2.0174923319015563,0.008748130743825631
0.02,0.02,2.0174923319015563,0.008641161660999376
0.02,0.02,2.0174923319015563,0.008391225812654276
0.03,0.03,2.026390884573188,0.009013333408274034
0.03,0.03,2.026390884573188,0.008953236866362475
0.03,0.03,2.026390884573188,0.008924060461458092
0.03,0.03,2.026390884573188,0.007932064519918607
0.03,0.03,2.026390884573188,0.00871162893127452
