m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,2.0,0.008332471788465225
0.01,0.01,2.0086960664121003,0.008479065777904795
0.02,0.02,2.0174923319015567,0.00859468670762981
0.03,0.03,2.026390884573188,0.008784977514524091
0.04,0.04,2.0353938775840037,0.008778957455034828
0.05,0.05,2.044503531868755,0.008773916024303541
0.06,0.06,2.0537221390097273,0.008986444977088882
0.07,0.07,2.06305206426,0.009200389241969741
0.08,0.08,2.072495749730145,0.00927548480538572
0.09,0.09,2.082055717749076,0.009351984152549363
0.1,0.1,2.0917345744105944,0.009330602058122495
0.11,0.11,2.1015350133180895,0.009537539899761614
0.12,0.12,2.1114598195408165,0.009574548255386593
0.13,0.13,2.121511873796272,0.00960248746849911
0.14,0.14,2.1316941568743455,0.009852621517377902
0.15,0.15,2.142009754320214,0.010129947414895485
0.16,0.16,2.152461861394364,0.010204222418534959
0.17,0.17,2.1630537883296337,0.0102579374022293
0.18,0.18,2.173788965906909,0.010686598471944872
0.19,0.19,2.1846709513729077,0.010734385985678037
0.2,0.2,2.1957034347255657,0.01089307999975051
0.21,0.21,2.206890245394767,0.010973486378925082
0.22,0.22,2.21823535934864,0.01110915193103293
0.23,0.23,2.229742906658366,0.011176111346242957
0.24,0.24,2.2414171795574704,0.011868022805968752
0.25,0.25,2.2532626410348917,0.011584283288341653
0.26,0.26,2.2652839340048283,0.012122223005809375
0.27,0.27,2.277485891100447,0.011978198030314493
0.28,0.28,2.289873545143086,0.011718286369027497
0.29,0.29,2.302452140343649,0.012222984779551218
0.3,0.3,2.315227144298519,0.012342483398868244
0.31,0.31,2.3282042608485667,0.012948593886629209
0.32,0.32,2.3413894438768876,0.013045894926848389
0.33,0.33,2.354788912128712,0.01308955354139991
0.34,0.34,2.368409165145719,0.01309587187894377
0.35,0.35,2.382257000416858,0.013292104524899753
0.36,0.36,2.396339531858863,0.013414393346153342
0.37,0.37,2.4106642097520905,0.014637048231824901
0.38,0.38,2.4252388422714533,0.014489440505654034
0.39,0.39,2.4400716187680507,0.014544954323192309
0.4,0.4,2.455171134975177,0.014850704470539388
0.41,0.41,2.4705464203327727,0.015439247204321074
0.42,0.42,2.486206967647639,0.014985449519775243
0.43,0.43,2.5021627653331873,0.01547421383439342
0.44,0.44,2.5184243325027045,0.01581262083182331
0.45,0.45,2.5350027572246803,0.01606711399074231
0.46,0.46,2.551909738288365,0.016380642733364165
0.47,0.47,2.5691576308733293,0.016977890546021838
0.48,0.48,2.5867594965692637,0.016282744422192907
0.49,0.49,2.6047291582529533,0.017015108196813726
0.5,0.5,2.6230812603996645,0.017817668716288076
0.51,0.51,2.6418313354877627,0.01788646778788109
