m,M,epsilon_of_M,stat_avg_cost
0.0,0.0,2.0,1.0143652286190638e-07
0.01,0.01,2.0086960664121003,1.322839132857142e-07
0.02,0.02,2.0174923319015567,8.890119807723703e-08
0.03,0.03,2.026390884573188,9.217402457451881e-08
0.04,0.04,2.0353938775840037,1.3128808437094542e-07
0.05,0.05,2.044503531868755,2.0790162857381438e-07
0.06,0.06,2.0537221390097273,1.6159964454640091e-07
0.07,0.07,2.06305206426,1.909074580704627e-07
0.08,0.08,2.072495749730145,8.593049472159462e-08
0.09,0.09,2.082055717749076,2.2337055699649175e-07
0.1,0.1,2.0917345744105944,2.083572198739531e-07
0.11,0.11,2.1015350133180895,1.5166202669863101e-07
0.12,0.12,2.1114598195408165,4.312463504512099e-07
0.13,0.13,2.121511873796272,4.2842693313404786e-07
0.14,0.14,2.1316941568743455,2.8003073502323445e-07
0.15,0.15,2.142009754320214,3.5777851878345554e-07
0.16,0.16,2.152461861394364,3.155636585871031e-07
0.17,0.17,2.1630537883296337,3.080041640108149e-07
0.18,0.18,2.173788965906909,4.0283865794669476e-07
0.19,0.19,2.1846709513729077,5.547231568409381e-07
0.2,0.2,2.1957034347255657,7.078330011654582e-07
0.21,0.21,2.206890245394767,6.265386833790997e-07
0.22,0.22,2.21823535934864,3.446782109078769e-07
0.23,0.23,2.229742906658366,6.851336720942118e-07
0.24,0.24,2.2414171795574704,6.008876830984932e-07
0.25,0.25,2.2532626410348917,4.1926332460374745e-07
0.26,0.26,2.2652839340048283,9.369770488663763e-07
0.27,0.27,2.277485891100447,1.0748419909513469e-06
0.28,0.28,2.289873545143086,7.456450358464736e-07
0.29,0.29,2.302452140343649,6.012245909067096e-07
0.3,0.3,2.315227144298519,1.3083550669124835e-06
0.31,0.31,2.3282042608485667,1.1405809351077925e-06
0.32,0.32,2.3413894438768876,1.2755617623169723e-06
0.33,0.33,2.354788912128712,1.6109218036662472e-06
0.34,0.34,2.368409165145719,1.353242928393989e-06
0.35,0.35,2.382257000416858,3.395085012894882e-07
0.36,0.36,2.396339531858863,8.531007051095632e-07
0.37,0.37,2.4106642097520905,3.1847845364391737e-06
0.38,0.38,2.4252388422714533,1.4261297740546618e-06
0.39,0.39,2.4400716187680507,3.7219983907126914e-06
0.4,0.4,2.455171134975177,3.173493201330486e-06
0.41,0.41,2.4705464203327727,4.074401801297936e-06
0.42,0.42,2.486206967647639,1.650847558015624e-06
0.43,0.43,2.5021627653331873,2.6831427689265608e-06
0.44,0.44,2.5184243325027045,2.220246966617853e-06
0.45,0.45,2.5350027572246803,1.4497851968675946e-06
0.46,0.46,2.551909738288365,2.9198206683095825e-06
0.47,0.47,2.5691576308733293,1.774108233033638e-06
