m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,9.432016056618942e-10,38.58164675532078,0.0348214079695862,0.08405550799480281
0.01,0.01,0.25,9.432016056618942e-10,38.58164675532078,0.03358812302506175,0.08434448419217308
0.02,0.02,0.25,9.432016056618942e-10,38.58164675532078,0.03391236195819789,0.08604228522916417
0.03,0.03,0.25,9.432016056618942e-10,38.58164675532078,0.03720984658062872,0.08106335545925811
0.04,0.04,0.25,9.432016056618942e-10,38.58164675532078,0.037386468066218245,0.08578605015265044
0.05,0.05,0.25,9.432016056618942e-10,38.58164675532078,0.03774481265372738,0.09389974216823464
0.06,0.06,0.25,9.432016056618942e-10,38.58164675532078,0.03729693007594136,0.0856864016722773
0.07,0.07,0.25,9.432016056618942e-10,38.58164675532078,0.041924896483027455,0.0897330081583347
0.08,0.08,0.25,9.432016056618942e-10,38.58164675532078,0.040484844615346134,0.09073842413179523
0.09,0.09,0.25,9.432016056618942e-10,38.58164675532078,0.04497958694970269,0.09085052364544584
0.1,0.1,0.25,9.432016056618942e-10,38.58164675532078,0.04191647285450246,0.09108926348264866
0.11,0.11,0.25,9.432016056618942e-10,38.58164675532078,0.04517346481420236,0.09456195357138815
0.12,0.12,0.25,9.432016056618942e-10,38.58164675532078,0.04632763745893017,0.09689310583118944
0.13,0.13,0.25,9.432016056618942e-10,38.58164675532078,0.044172485429364285,0.09985703432770535
0.14,0.14,0.25,9.432016056618942e-10,38.58164675532078,0.043916708250428454,0.10542246145635721
0.15,0.15,0.25,9.432016056618942e-10,38.58164675532078,0.049814302158823154,0.09699804459354232
0.16,0.16,0.25,9.432016056618942e-10,38.58164675532078,0.048809882031415966,0.09355858914728474
0.17,0.17,0.25,9.432016056618942e-10,38.58164675532078,0.051113112115986424,0.10309628257281733
0.18,0.18,0.25,9.432016056618942e-10,38.58164675532078,0.05031572046547031,0.1010579976675243
0.19,0.19,0.25,9.432016056618942e-10,38.58164675532078,0.04878736396327922,0.10381614291815106
0.2,0.2,0.25,9.432016056618942e-10,38.58164675532078,0.053146829841669956,0.10627957142341304
0.21,0.21,0.25,9.432016056618942e-10,38.58164675532078,0.05415820765409954,0.1087514760597286
0.22,0.22,0.25,9.432016056618942e-10,38.58164675532078,0.0531955033333566,0.1100463721240234
0.23,0.23,0.25,9.432016056618942e-10,38.58164675532078,0.05519895002064426,0.11249063182414976
0.24,0.24,0.25,9.432016056618942e-10,38.58164675532078,0.05578652554551186,0.11594152606535468
0.25,0.25,0.25,9.432016056618942e-10,38.58164675532078,0.05584451590842237,0.11613238975461744
0.26,0.26,0.25,9.432016056618942e-10,38.58164675532078,0.057552022856887416,0.11825888766902845
0.27,0.27,0.25,9.432016056618942e-10,38.58164675532078,0.05626924439440846,0.11610633929933555
0.28,0.28,0.25,9.432016056618942e-10,38.58164675532078,0.060479519522883364,0.12379545041266955
0.29,0.29,0.25,9.432016056618942e-10,38.58164675532078,0.06172282513577919,0.12149617591227743
0.3,0.3,0.25,9.432016056618942e-10,38.58164675532078,0.0618492893681871,0.12784357848677638
0.31,0.31,0.25,9.432016056618942e-10,38.58164675532078,0.06223906903666486,0.12818855037844612
0.32,0.32,0.25,9.432016056618942e-10,38.58164675532078,0.06425428048847409,0.12425501262789508
0.33,0.33,0.25,9.432016056618942e-10,38.58164675532078,0.06809614954244014,0.13050589303020946
0.34,0.34,0.25,9.432016056618942e-10,38.58164675532078,0.06754315648756588,0.1317426111076972
0.35,0.35,0.25,9.432016056618942e-10,38.58164675532078,0.07382702098521393,0.13412972701267728
0.36,0.36,0.25,9.432016056618942e-10,38.58164675532078,0.07237882164268591,0.13364804556282212
0.37,0.37,0.25,9.432016056618942e-10,38.58164675532078,0.06990775428558521,0.13271109327977934
0.38,0.38,0.25,9.432016056618942e-10,38.58164675532078,0.07192767638919469,0.14088251673303148
0.39,0.39,0.25,9.432016056618942e-10,38.58164675532078,0.07432913138826255,0.13984889846661278
0.4,0.4,0.25,9.432016056618942e-10,38.58164675532078,0.07541951523178293,0.15816704315289126
0.41,0.41,0.25,9.432016056618942e-10,38.58164675532078,0.07267309663345442,0.15226044082268242
0.42,0.42,0.25,9.432016056618942e-10,38.58164675532078,0.08125046796822011,0.16052505932833802
0.43,0.43,0.25,9.432016056618942e-10,38.58164675532078,0.07909311980517829,0.15212357802933563
0.44,0.44,0.25,9.432016056618942e-10,38.58164675532078,0.07891134713133588,0.1570369293767917
0.45,0.45,0.25,9.432016056618942e-10,38.58164675532078,0.08571647924365887,0.1652634726137494
0.46,0.46,0.25,9.432016056618942e-10,38.58164675532078,0.08504036482627694,0.16807093968501238
0.47,0.47,0.25,9.432016056618942e-10,38.58164675532078,0.08548938899550147,0.16598090093297668
0.48,0.48,0.25,9.432016056618942e-10,38.58164675532078,0.08750250913051572,0.15999898387737488
0.49,0.49,0.25,9.432016056618942e-10,38.58164675532078,0.08934639047695184,0.17086843224116638
0.5,0.5,0.25,9.432016056618942e-10,38.58164675532078,0.0945896680312407,0.16541276688844117
0.51,0.51,0.25,9.432016056618942e-10,38.58164675532078,0.09272187352322443,0.19017952547980962
0.52,0.52,0.25,9.432016056618942e-10,38.58164675532078,0.09021819662248634,0.18012158625150113
0.53,0.53,0.25,9.432016056618942e-10,38.58164675532078,0.090514198760022,0.19049080706882193
0.54,0.54,0.25,9.432016056618942e-10,38.58164675532078,0.08947293426219714,0.19797553782038524
0.55,0.55,0.25,9.432016056618942e-10,38.58164675532078,0.10605667242914896,0.19257305525487925
0.56,0.56,0.25,9.432016056618942e-10,38.58164675532078,0.10767511848722112,0.20163007996560714
0.57,0.57,0.25,9.432016056618942e-10,38.58164675532078,0.10555597363153925,0.1852051316636729
0.58,0.58,0.25,9.432016056618942e-10,38.58164675532078,0.10206760835006197,0.2109826143304952
0.59,0.59,0.25,9.432016056618942e-10,38.58164675532078,0.11162272101174191,0.21078378467838105
0.6,0.6,0.25,9.432016056618942e-10,38.58164675532078,0.11621027336136854,0.21718311600414303
0.61,0.61,0.25,9.432016056618942e-10,38.58164675532078,0.12041267460218745,0.23604576857760087
0.62,0.62,0.25,9.432016056618942e-10,38.58164675532078,0.11833727424152839,0.23745549883336844
0.63,0.63,0.25,9.432016056618942e-10,38.58164675532078,0.12573883396111027,0.24518320097619814
0.64,0.64,0.25,9.432016056618942e-10,38.58164675532078,0.12508051763422232,0.25060768083370605
0.65,0.65,0.25,9.432016056618942e-10,38.58164675532078,0.12694961669697455,0.25756651532364777
0.66,0.66,0.25,9.432016056618942e-10,38.58164675532078,0.12158251647099756,0.26124786890494256
