m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,9.432016056618942e-10,38.58164675532078,0.0008957519144751687,0.004225232943995964
0.01,0.01,0.252231843108818,9.527288946079735e-10,38.58164675532078,0.0010730437539009966,0.004240929211009016
0.02,0.02,0.2545041109790552,9.624506180223408e-10,38.58164675532078,0.0011183584045129198,0.004162547741401443
0.03,0.03,0.2568179179810562,9.723727893421588e-10,38.58164675532078,0.0008868034043519094,0.0037272767691116995
0.04,0.04,0.2591744200495381,9.825016725644732e-10,38.58164675532078,0.001071855994836851,0.004079188058929323
0.05,0.05,0.26157481665031834,9.92843795433573e-10,38.58164675532078,0.0009939679135993848,0.0037630190454765317
0.06,0.06,0.2640203528603893,1.0034059634701004e-09,38.58164675532078,0.001106212289187482,0.00428463918881433
0.07,0.07,0.26651232156907717,1.0141952749052624e-09,38.58164675532078,0.0011112610149562499,0.004429919013335914
0.08,0.08,0.2690520658086282,1.0252191365890155e-09,38.58164675532078,0.0010055005711691464,0.0043612572808069
0.09,0.09,0.27164098122324504,1.0364852809471368e-09,38.58164675532078,0.001210570440729137,0.004068703811645477
0.1,0.1,0.27428051868631076,1.0480017840687711e-09,38.58164675532078,0.0014686772309891083,0.004100171859078893
0.11,0.11,0.2769721870763485,1.0597770850133643e-09,38.58164675532078,0.0013408432478860175,0.004289477321202922
0.12,0.12,0.2797175562231261,1.071820006433971e-09,38.58164675532078,0.0010072975579185892,0.003804112727167429
0.13,0.13,0.2825182600362664,1.084139776622867e-09,38.58164675532078,0.001281424916108993,0.0048428200881759885
0.14,0.14,0.28537599982977657,1.096746053095226e-09,38.58164675532078,0.001156158286038697,0.0041677804662935405
0.15,0.15,0.2882925478570475,1.1096489478375227e-09,38.58164675532078,0.001343140594137542,0.004781451729740294
0.16,0.16,0.2912697510721274,1.1228590543593976e-09,38.58164675532078,0.0012743977258159146,0.0046157511879876606
0.17,0.17,0.29430953513446373,1.1363874767010773e-09,38.58164675532078,0.0011342979147415456,0.004670960782289548
0.18,0.18,0.29741390867581596,1.1502458605632856e-09,38.58164675532078,0.0012306275921497112,0.004963584686512003
0.19,0.19,0.3005849678497158,1.1644464267430794e-09,38.58164675532078,0.001264178908193909,0.0041088380238425495
0.2,0.2,0.30382490118569716,1.1790020070773678e-09,38.58164675532078,0.0017217494905666826,0.00470164665655619
0.21,0.21,0.30713599477254494,1.193926083116322e-09,38.58164675532078,0.0021665005299994857,0.004894494017868679
0.22,0.22,0.31052063779706046,1.2092328277716591e-09,38.58164675532078,0.0016373824399013425,0.005456848959491234
0.23,0.23,0.3139813284673266,1.2249371502102522e-09,38.58164675532078,0.001535450878654854,0.005264661385668404
0.24,0.24,0.3175206803522031,1.2410547442919664e-09,38.58164675532078,0.0014761945977591197,0.00510079239632375
0.25,0.25,0.3211414291718321,1.2576021408825257e-09,38.58164675532078,0.0017217042967802598,0.005061275338452247
0.26,0.26,0.3248464400773246,1.274596764407965e-09,38.58164675532078,0.001722129038244367,0.0055347848567579285
0.27,0.27,0.3286387154615538,1.2920569940573896e-09,38.58164675532078,0.001741013359078379,0.005520689135045828
0.28,0.28,0.33252140334718094,1.3100022300859644e-09,38.58164675532078,0.0018833562220993121,0.005466919836063153
0.29,0.29,0.336497806402695,1.328452965720978e-09,38.58164675532078,0.0018206763230335992,0.006410886007788975
0.3,0.3,0.34057139164247785,1.3474308652312782e-09,38.58164675532078,0.001868266225899717,0.005145758190559803
0.31,0.31,0.34474580087270945,1.366958848785354e-09,38.58164675532078,0.001983329681435199,0.005944087220201935
0.32,0.32,0.349024861951473,1.3870611847969038e-09,38.58164675532078,0.0017846479850859376,0.0059193929800727295
0.33,0.33,0.35341260093871385,1.4077635905401406e-09,38.58164675532078,0.002137053488948813,0.006044441888893623
0.34,0.34,0.357913255219926,1.4290933419119613e-09,38.58164675532078,0.00214312258566626,0.005794815590652685
0.35,0.35,0.36253128769667475,1.4510793933259914e-09,38.58164675532078,0.002120687527661318,0.006575046559890841
0.36,0.36,0.36727140214746473,1.4737525088467094e-09,38.58164675532078,0.0018368639174324742,0.005701534218401547
0.37,0.37,0.3721385598742083,1.4971454058125307e-09,38.58164675532078,0.0021321880738807554,0.006012896645522562
0.38,0.38,0.377137997762821,1.521292912357894e-09,38.58164675532078,0.0022546250815595375,0.006829636175866716
0.39,0.39,0.38227524790151096,1.5462321404293348e-09,38.58164675532078,0.0021426642792038296,0.006382065821342322
0.4,0.4,0.38755615891737866,1.572002676103157e-09,38.58164675532078,0.0024890358134526873,0.007216423708389267
0.41,0.41,0.39298691921135254,1.598646789257448e-09,38.58164675532078,0.002187329815345589,0.006690082324383063
0.42,0.42,0.39857408229356917,1.6262096649343005e-09,38.58164675532078,0.0023859458337432984,0.007093262777730475
0.43,0.43,0.40432459444653623,1.6547396590559546e-09,38.58164675532078,0.0025006525278045985,0.006452239521503702
0.44,0.44,0.41024582497226336,1.6842885815390964e-09,38.58164675532078,0.0028934769416410046,0.00699929069256581
0.45,0.45,0.416345599312631,1.714912010294353e-09,38.58164675532078,0.0024684135378042578,0.007421605853557465
0.46,0.46,0.4226322353702709,1.7466696401146193e-09,38.58164675532078,0.0030204529637240522,0.00762292733880173
0.47,0.47,0.4291145834010149,1.7796256710601779e-09,38.58164675532078,0.002581251258627141,0.007167087191422337
0.48,0.48,0.43580206989951775,1.8138492416574886e-09,38.58164675532078,0.0029510135417141997,0.007155041218169455
0.49,0.49,0.44270474595816484,1.8494149130625379e-09,38.58164675532078,0.002762935893180919,0.00758170697983736
0.5,0.5,0.44983334064729175,1.8864032113237885e-09,38.58164675532078,0.002968685186464148,0.008444169764297745
0.51,0.51,0.45719932004375335,1.9249012360446816e-09,38.58164675532078,0.00339943147200878,0.008921953913327065
