m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,38.58164675532078,1.6456710786100096e-05,-0.0005018238255543998,0.00016772234085600003,-0.0005084493822727003,-3.185767669899994e-05,-0.00032590808416279975
0.01,0.01,38.58164675532078,-0.00011381334394550005,-0.00026495599499140035,-4.1939938914999954e-05,-0.0005475171820579004,-0.0001223972511186001,-0.0002828366791319003
0.02,0.02,38.58164675532078,-0.00014367814359449995,0.00019136487890520065,-0.00015708537233730005,9.50652399291001e-05,-0.00017913249793849993,2.3121245349400597e-05
0.03,0.03,38.58164675532078,-0.00033219816583019996,-0.0010681163383270999,8.291746365300006e-05,-0.00020280671314010018,-0.00025753582273210004,-0.00033774826953509966
0.04,0.04,38.58164675532078,-7.646811620489998e-05,-0.0006131027073885001,-9.346508995369991e-05,-0.00021087462827619995,-3.92281688973001e-05,-0.0005326475978288999
0.05,0.05,38.58164675532078,-0.0004371920203336,-0.0013295847553886002,-0.00014654025562100008,-0.00011959448816070001,-0.00012315133437620007,-0.0003940818253927005
0.06,0.06,38.58164675532078,-0.0005488620400386,-0.0006947020323549999,-0.0002852219615192,-0.0002839942561414996,-9.299152172860016e-05,-0.0010125518898127
0.07,0.07,38.58164675532078,-0.00041727385250029997,-0.0011815563902389998,-0.00028121750960690003,-0.0009615868478199999,-3.5348468505199846e-05,-0.0005562567982050001
0.08,0.08,38.58164675532078,-0.00037912554533519997,-0.0011158741231539005,-7.701566128179998e-05,-0.00044914905688720006,-0.00010790810513420005,-0.0005344976026573998
0.09,0.09,38.58164675532078,-0.0004977719002688999,-0.0003863687932412997,-0.0002479439598326999,0.00021074376871930024,-0.00034238437141079995,-0.0006759096670269004
0.1,0.1,38.58164675532078,-0.0007437584768339999,-0.0011481646953158003,-0.0006333243690839,-0.00029339565274919986,-0.0003863438922752998,3.160633941239922e-05
0.11,0.11,38.58164675532078,-0.0006505081670729999,-0.0012512034718226003,-0.0004517593255877999,-0.0003771651826944,-0.00030287546055319994,0.00030176228846399977
0.12,0.12,38.58164675532078,-0.00038183619198740013,-0.0011128192898466,6.253879958099994e-06,0.00010958368981349963,-0.00010682133649459998,-8.100197047319988e-05
0.13,0.13,38.58164675532078,-0.0004245383560125001,-0.0009929722940193002,-0.0003281070245176001,-0.0006401626502910004,-0.00011916576284140014,-0.0008332904099322995
0.14,0.14,38.58164675532078,-0.0005004401828724,-0.0023537398993766995,-1.5467989016599865e-05,-0.0005027384975245996,-0.00039097614953089994,-0.0012498269073940999
0.15,0.15,38.58164675532078,-0.0005555389541273,-0.0019449290210021997,-0.0004167353482711001,-0.0011470623782846995,-8.041444017319998e-05,-0.00039709209638860016
0.16,0.16,38.58164675532078,-0.0006895053041755999,-0.0021881694964978,-0.0003406142204485,-0.0007962212454116001,-0.00018252647751479997,-0.0008969283587518997
0.17,0.17,38.58164675532078,-0.0008790438669728001,-0.0023276679950374,-0.00017412939494230008,-0.0007641140300242997,-0.0002578167497498001,-0.0012933647037441003
0.18,0.18,38.58164675532078,-0.00031784324390719994,-0.0013830881156612004,-5.444635526249985e-05,-0.0007703991080074005,-0.00038808995425159993,-0.00023656677072390019
0.19,0.19,38.58164675532078,-0.0009802404645759002,-0.0027694945842374995,-0.00022069530619090003,-0.0001869358467301999,-0.00045451914756890004,-0.0009590030121249
0.2,0.2,38.58164675532078,-0.0008058210495775001,-0.0023999743759867,-0.0007086517458188,-0.0007002285419248,-0.0006855076639637001,-0.0007895628295208996
0.21,0.21,38.58164675532078,-0.0011468996642615,-0.0017099241327113998,-0.0012392295207352998,-0.0007108555862937,-0.0006727138571169002,-0.0007420924880991
0.22,0.22,38.58164675532078,-0.0010980980031149003,-0.0021911114086126003,-0.0007200983781567,-0.0008331509668979007,-0.0004872395260868002,-0.0017628179665026998
0.23,0.23,38.58164675532078,-0.0013095894875143998,-0.0041783820211147,-0.0006031298034972,-0.0015206665462381003,-0.0009203462297570999,-0.0017385087155148
0.24,0.24,38.58164675532078,-0.0010794138034120999,-0.0028578339953679996,-0.0003702286226642999,-0.0010748493638194,-0.0008506163825683999,-0.0016926851318586995
0.25,0.25,38.58164675532078,-0.0012155514381170002,-0.0031632531453630007,-0.0007743601110384999,-0.0009677995791994003,-0.0004291754359353002,-0.0016673047372908001
0.26,0.26,38.58164675532078,-0.0010392870099835,-0.0038388658473400995,-0.0006037539787337,-0.0017227827258917998,-0.0005334376471344,-0.0023316578190541995
0.27,0.27,38.58164675532078,-0.0012250304131715,-0.0029939072632104,-0.0006617506795027,-0.0006998206427566,-0.0004043052632196002,-0.0013301145083073002
0.28,0.28,38.58164675532078,-0.001905686973326,-0.0038346452271757004,-0.0011094848342026,-0.0015955500072351997,-0.00039863363995640017,-0.0009503464254773004
0.29,0.29,38.58164675532078,-0.0018529344511864997,-0.0045035687805853,-0.0008598272008123999,-0.0023251794504495996,-0.0012440379915444999,-0.0018224636585312
0.3,0.3,38.58164675532078,-0.0014612605755966,-0.0057891605013085995,-0.0008516653310437999,-0.0012115697970787997,-0.0005240813218160001,-0.0033117056338330996
0.31,0.31,38.58164675532078,-0.001723868019979,-0.0048193478218846,-0.0008569181326072001,-0.0017888607084344003,-0.0013137191472459998,-0.0020303231012830996
0.32,0.32,38.58164675532078,-0.0017712423240192,-0.0054020673421885995,-0.0009408242230006001,-0.0017083835856636,-0.0007371215560935999,-0.0024681022767208995
0.33,0.33,38.58164675532078,-0.0016858039515449,-0.004789099816751701,-0.0009080337506654002,-0.0022539909132115996,-0.0008758755834765001,-0.0015318028053284
0.34,0.34,38.58164675532078,-0.0024431809054055002,-0.0067736871432519,-0.0011521973446927,-0.0017758431669592997,-0.0011677791235965,-0.0037593511736707004
0.35,0.35,38.58164675532078,-0.0024672239428733,-0.0060199120684353,-0.001270240943696,-0.0024532158149886997,-0.0006396677249100001,-0.002209139390566899
0.36,0.36,38.58164675532078,-0.0027351028145886002,-0.007621679020762,-0.0009992465176759,-0.0016942566759688,-0.0010288879587524,-0.003700906216589901
0.37,0.37,38.58164675532078,-0.0018589860606593,-0.0069473146354181005,-0.0009555862292529999,-0.0021748212647061003,-0.00031255847382960023,-0.0040861763956469
0.38,0.38,38.58164675532078,-0.0024929827321756998,-0.0088166844830232,-0.001162220383284,-0.0028682977548808,-0.0004573949109539003,-0.003996053485860801
0.39,0.39,38.58164675532078,-0.0032979807789845998,-0.007980083817288,-0.0009397358699599,-0.0023420249115735994,-0.0020160140754092995,-0.0036421584005237994
0.4,0.4,38.58164675532078,-0.0030805814378616,-0.007701930482939099,-0.0014849637314248,-0.0036833588189121003,-0.0018695121503092002,-0.0028450051207956004
0.41,0.41,38.58164675532078,-0.0030441268894314,-0.0080545905892607,-0.0010056618810842998,-0.002692378124471299,-0.0018443479468205001,-0.0030105858832264985
0.42,0.42,38.58164675532078,-0.0029351608625765003,-0.0085037290018764,-0.0012772031104252,-0.0031113523853594,-0.0014546652171292,-0.0034733922687847
0.43,0.43,38.58164675532078,-0.0030678794799231,-0.01132326710144,-0.001564316309146,-0.0020946802180736995,-0.0014492586499152,-0.0073174216015952
0.44,0.44,38.58164675532078,-0.003971548408013,-0.010168793861759,-0.0019899831199976,-0.0026979592489236003,-0.0017329119148453004,-0.005329584988822099
0.45,0.45,38.58164675532078,-0.0029072022959942,-0.0117192356514175,-0.0014613144890718,-0.0036044132893186995,-0.0014186272523249001,-0.0041874715924171985
0.46,0.46,38.58164675532078,-0.0037102304541051,-0.0107282980288692,-0.0019322775080273002,-0.0038884612982392,-0.0016362389120693002,-0.0043906019363211
0.47,0.47,38.58164675532078,-0.0041065268920405,-0.0114300786806554,-0.0015978861416593999,-0.0032970467965793,-0.0026297578602906,-0.0056002424418657
0.48,0.48,38.58164675532078,-0.0044846923696029006,-0.0090689692452937,-0.0019228010709351,-0.0029353267429161004,-0.0028362260529239004,-0.0021751955076792003
0.49,0.49,38.58164675532078,-0.0039512694557149,-0.0133638611721822,-0.0018917685509487001,-0.0037826839746098,-0.0016786378337191,-0.004962360821128902
0.5,0.5,38.58164675532078,-0.0054057749594897,-0.0139888946343317,-0.0020404285083987,-0.004570424302792899,-0.0032598386663304003,-0.006784789049545201
0.51,0.51,38.58164675532078,-0.0050972730560054,-0.0174034002226515,-0.0024292988205835,-0.005600431213198701,-0.0021599137457736003,-0.0105331061916771
0.52,0.52,38.58164675532078,-0.0046576843712382,-0.0126011406595161,-0.0026784568299223002,-0.0055887096038728,-0.0018745866898248003,-0.005677172675481101
0.53,0.53,38.58164675532078,-0.0049774214231896,-0.0152239978009402,-0.0025826317110132,-0.0053721185041161,-0.0023591021436389,-0.005891897811060601
0.54,0.54,38.58164675532078,-0.0058336092305679,-0.0164823881787554,-0.0022886154722193,-0.004691428453418,-0.0030021604085564,-0.005828858664067101
0.55,0.55,38.58164675532078,-0.0056683110293214,-0.0168930584086177,-0.0028115034686708998,-0.005069863650505999,-0.0025282435714265,-0.008783516519302401
0.56,0.56,38.58164675532078,-0.0053233923035403,-0.021963357239182198,-0.0027107984051974003,-0.0054148484456869005,-0.0019279587523727002,-0.0108545434631976
0.57,0.57,38.58164675532078,-0.0077772133799263,-0.0184710001327528,-0.0024092554940957998,-0.006010203443067699,-0.0039776096172150005,-0.0076248097298699975
0.58,0.58,38.58164675532078,-0.0072917340159937,-0.0187882064202727,-0.0032877518962033,-0.0056556500479554,-0.0032602356729150997,-0.0070370119520719
0.59,0.59,38.58164675532078,-0.0073134046752693005,-0.018536679707973097,-0.003692140025415,-0.0055974887264232005,-0.0030801548978801,-0.004868917985791598
0.6,0.6,38.58164675532078,-0.0064500211662264,-0.0183732219364932,-0.0028238889986528,-0.005862225366351,-0.0031893132887887005,-0.007128083392818001
0.61,0.61,38.58164675532078,-0.007985626436517599,-0.026099735381071798,-0.0029638984970844,-0.0068641090630908,-0.0028114639972672993,-0.0123535505407859
0.62,0.62,38.58164675532078,-0.0096011129696255,-0.0252296932940644,-0.004066442857523099,-0.007078467505833799,-0.0056118851614842995,-0.013221662483386
0.63,0.63,38.58164675532078,-0.0097253212655894,-0.0220053147082299,-0.0037463349620398,-0.006749896745571399,-0.0044575771002644,-0.011858579821153199
0.64,0.64,38.58164675532078,-0.009624300894197501,-0.0309076119685948,-0.0034743095971465003,-0.006508787674164199,-0.003964739774884901,-0.017338104895817597
0.65,0.65,38.58164675532078,-0.009834554568358599,-0.0377142905983615,-0.0042518915473218006,-0.0051976908356456,-0.004860578914791599,-0.0230952518006422
0.66,0.66,38.58164675532078,-0.0104749543694093,-0.0321134035555493,-0.004515693303070599,-0.0069381305460351,-0.0045212923501573,-0.016409790819248298
0.67,0.67,38.58164675532078,-0.0110495016084835,-0.0334394257095335,-0.0052908082203537,-0.0085132716014921,-0.003550256255102,-0.0181424861362327
0.68,0.68,38.58164675532078,-0.0138704281528324,-0.0394269974989074,-0.0048004730498407,-0.008157484616263599,-0.005025401971100001,-0.0283037301465158
0.69,0.69,38.58164675532078,-0.0129436441673257,-0.042247935599801896,-0.0056459405070498,-0.0101638488233654,-0.0041780545961374,-0.0247631850584587
0.7,0.7,38.58164675532078,-0.0140511862850964,-0.0403485948661432,-0.004545134352990201,-0.007563307927022299,-0.0054110075276231,-0.022581149989984096
0.71,0.71,38.58164675532078,-0.015259266438764301,-0.0548164512281832,-0.005464287979586599,-0.0076520452661957995,-0.005709874196413901,-0.0322530275781661
0.72,0.72,38.58164675532078,-0.016310618353818997,-0.047381512868890495,-0.0051548400312501005,-0.0080867777798217,-0.0077331638392408,-0.0275893351676491
0.73,0.73,38.58164675532078,-0.0157846256149747,-0.0456691664671846,-0.0063683358992056,-0.0109324762694439,-0.0038418481037433005,-0.0247121160313151
0.74,0.74,38.58164675532078,-0.0203612672563432,-0.0721529035029344,-0.006862644853321,-0.010578262587584,-0.008297251325090798,-0.04751221829703191
0.75,0.75,38.58164675532078,-0.0196279225116199,-0.06700619983494681,-0.007519416346429401,-0.012829759015312601,-0.0063946854211767,-0.039847275773432105
0.76,0.76,38.58164675532078,-0.0199260916330501,-0.07257014308507889,-0.0061414915533332,-0.0115207708435048,-0.004862675144961401,-0.04494798595889259
0.77,0.77,38.58164675532078,-0.023180676179697702,-0.0727212422905649,-0.0068442722184027,-0.013146503237433698,-0.0094309283183842,-0.04794407921652201
0.78,0.78,38.58164675532078,-0.022205819506141998,-0.1090201180484217,-0.007960249106102399,-0.015023824804015602,-0.007341303371037,-0.0794611652980969
0.79,0.79,38.58164675532078,-0.0281187820866261,-0.0825335155208554,-0.008176286032596201,-0.0134831010207917,-0.01100097577639,-0.0492194485197063
0.8,0.8,38.58164675532078,-0.023699142046581103,-0.1056623833035735,-0.0092721789971796,-0.0165211308523662,-0.006451850457515403,-0.0700381011939056
0.81,0.81,38.58164675532078,-0.039058821110984895,-0.1078503448132095,-0.009167695737313401,-0.014882543418395601,-0.018660337850584796,-0.0676777626448552
0.82,0.82,38.58164675532078,-0.0392328687410764,-0.1406283491539971,-0.010149470081159599,-0.0188427050193715,-0.0129174534172543,-0.09636058934703041
0.83,0.83,38.58164675532078,-0.0372165172324864,-0.1313560310558282,-0.0128996818198016,-0.0217619075297457,-0.014602761777366205,-0.07774415195384589
0.84,0.84,38.58164675532078,-0.0534896420870242,-0.18243591774282392,-0.0111059823440558,-0.0203303172840897,-0.0208246318195417,-0.13043042537892502
0.85,0.85,38.58164675532078,-0.0495682091377977,-0.1994043935951836,-0.010848289317934901,-0.022423640735601,-0.010013639460649204,-0.1345832922835815
0.86,0.86,38.58164675532078,-0.0595846223672159,-0.1944209889011137,-0.0153752648021913,-0.0238392334809797,-0.013177524184151697,-0.1343922811338114
0.87,0.87,38.58164675532078,-0.0645078269463167,-0.256266862681928,-0.0140445763389934,-0.0238658163052324,-0.0235180742057126,-0.17834863084161062
0.88,0.88,38.58164675532078,-0.0780441996451629,-0.2648195929812811,-0.015185485973778199,-0.0289811603634998,-0.021518420745579796,-0.179382090381968
0.89,0.89,38.58164675532078,-0.0744089408197719,-0.3454697045901395,-0.019705839597686802,-0.0287033971438895,-0.015522284415003494,-0.2509861255502706
0.9,0.9,38.58164675532078,-0.1450389710185625,-0.40155934504732527,-0.0193125272859221,-0.0324830972826617,-0.0837850446881723,-0.3065712366217971
0.91,0.91,38.58164675532078,-0.1451504326038251,-0.500058200222451,-0.0230260969071602,-0.036313395683639504,-0.0484153694367824,-0.3675172570972307
0.92,0.92,38.58164675532078,-0.1343656248578792,-0.6654975135545212,-0.030293684083701998,-0.0513252117651994,-0.030212515174782018,-0.5229559264704084
0.93,0.93,38.58164675532078,-0.2178550111149023,-0.898949604883741,-0.0301090335638946,-0.0530426230825861,-0.058488176624716504,-0.6919820301860777
0.94,0.94,38.58164675532078,-0.2738450009380586,-0.9840495380343971,-0.0337820898752973,-0.0668919165083879,-0.10715212736186569,-0.7948370116674259
0.95,0.95,38.58164675532078,-0.493869919618425,-1.494110689504652,-0.0505527856025859,-0.0820991878756499,-0.2598225467699992,-1.1655962420687371
0.96,0.96,38.58164675532078,-0.78153482379811,-2.266397821063395,-0.058260751254521195,-0.1059635006727136,-0.32282166800637363,-1.873983238925638
0.97,0.97,38.58164675532078,-1.2598399067876969,-4.234135490809752,-0.0773184750808309,-0.1573475238546323,-0.40890846370716294,-3.6170262175393164
0.98,0.98,38.58164675532078,-2.5260887994725145,-10.346023553661958,-0.1293813500673216,-0.2541041018029351,-0.8175380791433946,-9.44991726203187
0.99,0.99,38.58164675532078,-7.8596671244744245,-48.89002286037124,-0.264291185323987,-0.6534787256713281,-0.26570792505943785,-47.23601040419523
0.1,0.2,38.58164675532078,-0.0007241056349856,-0.0016972794858362995,,,-0.0014610815707807039,-0.0050813138462033995
0.1,0.3,38.58164675532078,-0.0016656937983622999,-0.0029276068453686008,,,-0.0026747779632093896,-0.006875748016989656
0.1,0.4,38.58164675532078,-0.0021066790106075003,-0.004725798475887601,,,-0.0031892910897513864,-0.008392726277385317
0.1,0.5,38.58164675532078,-0.0022626441594991997,-0.0057556459138535,,,-0.0035409272123669198,-0.009764255631700825
0.1,0.6,38.58164675532078,-0.002148659533212,-0.007712237489403001,,,-0.0032554569223371627,-0.011547689578573097
0.1,0.7,38.58164675532078,-0.0026582604157856004,-0.0095588855817781,,,-0.0038607295530820257,-0.013256197504600843
0.1,0.8,38.58164675532078,-0.004012299660492,-0.012940432915517299,,,-0.00493786947623993,-0.0164880917985792
0.1,0.9,38.58164675532078,-0.004125472183523,-0.0113912588299695,,,-0.004971716103760741,-0.015909908566148066
0.2,0.3,38.58164675532078,-0.0016619911566670997,-0.0036432740833824005,,,-0.0024137342290487,-0.006618949966791201
0.2,0.4,38.58164675532078,-0.0020527658830093,-0.0050926102511009,,,-0.0031745022218213122,-0.008914542369931099
0.2,0.5,38.58164675532078,-0.0028672338738995997,-0.0049982862498634,,,-0.0037390188411543885,-0.0090970286266081
0.2,0.6,38.58164675532078,-0.0037842152741244996,-0.0065120349143159995,,,-0.004727958118119682,-0.01088981764772535
0.2,0.7,38.58164675532078,-0.0040119746712207,-0.0121399983918104,,,-0.005138841590616245,-0.01629262841858555
0.2,0.8,38.58164675532078,-0.0044068345644439995,-0.0137000472631685,,,-0.0055358548722358476,-0.017337774537679557
0.2,0.9,38.58164675532078,-0.0051227499861973,-0.015708431048885398,,,-0.005930425717260367,-0.019353283912973467
0.3,0.4,38.58164675532078,-0.0023837689881007996,-0.005397747723830001,,,-0.0031765682215156,-0.0077682725197569
0.3,0.5,38.58164675532078,-0.0037604818112236,-0.0079545564989701,,,-0.004662426864569349,-0.0113921540960074
0.3,0.6,38.58164675532078,-0.004951775706827401,-0.0098037959477005,,,-0.005761389755733838,-0.013494246573282201
0.3,0.7,38.58164675532078,-0.0061925698794069,-0.012428632458816698,,,-0.006949317565597557,-0.0162929632381933
0.3,0.8,38.58164675532078,-0.0063403151818896995,-0.013710388030018698,,,-0.00738701776646565,-0.0174957256088263
0.3,0.9,38.58164675532078,-0.0082555801089067,-0.0206225146148908,,,-0.009245905577649934,-0.024421411124363447
