m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,38.58164675532078,0.016018004442159325,0.04667359674296277
0.01,0.01,0.5,9.432016056618942e-10,38.58164675532078,0.017014133710777257,0.04384716418056583
0.02,0.02,0.5,9.432016056618942e-10,38.58164675532078,0.016900986607788382,0.04614877419079894
0.03,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.01626397523776602,0.04623991388119994
0.04,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.01636157699194068,0.04585991136001395
0.05,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.01813357939542547,0.04646285778568117
0.06,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.014730193808929726,0.04361229640049598
0.07,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.016483093056716285,0.043983272850160876
0.08,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.01662300074301024,0.04612538525473262
0.09,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.0172660484040901,0.044762677655833555
0.1,0.1,0.5,9.432016056618942e-10,38.58164675532078,0.01776676015566527,0.04810652181745102
0.11,0.11,0.5,9.432016056618942e-10,38.58164675532078,0.015699533355372167,0.04290210822843747
0.12,0.12,0.5,9.432016056618942e-10,38.58164675532078,0.01696743279245341,0.04583877801958953
0.13,0.13,0.5,9.432016056618942e-10,38.58164675532078,0.016259455204266176,0.04247302639264402
0.14,0.14,0.5,9.432016056618942e-10,38.58164675532078,0.015495625514653312,0.04485520903740935
0.15,0.15,0.5,9.432016056618942e-10,38.58164675532078,0.01709820095261894,0.04516566327297416
0.16,0.16,0.5,9.432016056618942e-10,38.58164675532078,0.015152826019981419,0.04548181911230193
0.17,0.17,0.5,9.432016056618942e-10,38.58164675532078,0.017668779888426314,0.04389869655468176
0.18,0.18,0.5,9.432016056618942e-10,38.58164675532078,0.016632805130381668,0.047431933564511385
0.19,0.19,0.5,9.432016056618942e-10,38.58164675532078,0.016517797504047152,0.04905926323345628
0.2,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.01645447543147391,0.045784900873082915
0.21,0.21,0.5,9.432016056618942e-10,38.58164675532078,0.017772265144481422,0.046904131718745634
0.22,0.22,0.5,9.432016056618942e-10,38.58164675532078,0.017586082066373562,0.04422591417998527
0.23,0.23,0.5,9.432016056618942e-10,38.58164675532078,0.017220744378599294,0.04841264457905268
0.24,0.24,0.5,9.432016056618942e-10,38.58164675532078,0.018635599100630243,0.045746673380931795
0.25,0.25,0.5,9.432016056618942e-10,38.58164675532078,0.017921919608929356,0.043956414069546014
0.26,0.26,0.5,9.432016056618942e-10,38.58164675532078,0.014890678992159068,0.044170227107530255
0.27,0.27,0.5,9.432016056618942e-10,38.58164675532078,0.015954766393636632,0.04560653065033661
0.28,0.28,0.5,9.432016056618942e-10,38.58164675532078,0.01744427447131352,0.04626270786372271
0.29,0.29,0.5,9.432016056618942e-10,38.58164675532078,0.016055180774845055,0.04665903054242143
0.3,0.3,0.5,9.432016056618942e-10,38.58164675532078,0.01668000713001858,0.045963995945264215
0.31,0.31,0.5,9.432016056618942e-10,38.58164675532078,0.016932124445090978,0.04574699803908324
0.32,0.32,0.5,9.432016056618942e-10,38.58164675532078,0.01644539843461051,0.045420944098554114
0.33,0.33,0.5,9.432016056618942e-10,38.58164675532078,0.017295963296350778,0.04707061248317889
0.34,0.34,0.5,9.432016056618942e-10,38.58164675532078,0.01671124175631988,0.04600658304013011
0.35,0.35,0.5,9.432016056618942e-10,38.58164675532078,0.01598540791861659,0.045403069058437766
0.36,0.36,0.5,9.432016056618942e-10,38.58164675532078,0.017592827981275462,0.048149721920655184
0.37,0.37,0.5,9.432016056618942e-10,38.58164675532078,0.017337132354188937,0.043370979199608584
0.38,0.38,0.5,9.432016056618942e-10,38.58164675532078,0.018925420521787445,0.04699638408002373
0.39,0.39,0.5,9.432016056618942e-10,38.58164675532078,0.018437021617862457,0.04728072318388865
0.4,0.4,0.5,9.432016056618942e-10,38.58164675532078,0.015753494864775165,0.04500322148154619
0.41,0.41,0.5,9.432016056618942e-10,38.58164675532078,0.01608717214395726,0.0450771396032681
0.42,0.42,0.5,9.432016056618942e-10,38.58164675532078,0.014914152661990641,0.04412816749268217
0.43,0.43,0.5,9.432016056618942e-10,38.58164675532078,0.016271073185983708,0.04522748034583525
0.44,0.44,0.5,9.432016056618942e-10,38.58164675532078,0.0157048097980268,0.04449083403669584
0.45,0.45,0.5,9.432016056618942e-10,38.58164675532078,0.0168592315162754,0.04380232177794811
0.46,0.46,0.5,9.432016056618942e-10,38.58164675532078,0.016954809993278544,0.04613339569916114
0.47,0.47,0.5,9.432016056618942e-10,38.58164675532078,0.016434262957345368,0.042941932606409154
0.48,0.48,0.5,9.432016056618942e-10,38.58164675532078,0.016679777531046696,0.04614005741122142
0.49,0.49,0.5,9.432016056618942e-10,38.58164675532078,0.015987287906767563,0.04336473760845489
0.5,0.5,0.5,9.432016056618942e-10,38.58164675532078,0.016392434578167765,0.04106571819542831
0.51,0.51,0.5,9.432016056618942e-10,38.58164675532078,0.01678028096297203,0.04571278031615671
0.52,0.52,0.5,9.432016056618942e-10,38.58164675532078,0.017584235012053057,0.04737739687096799
0.53,0.53,0.5,9.432016056618942e-10,38.58164675532078,0.016230312845455303,0.047790138136404064
0.54,0.54,0.5,9.432016056618942e-10,38.58164675532078,0.016449950304358012,0.04376531978835126
0.55,0.55,0.5,9.432016056618942e-10,38.58164675532078,0.015589974250709517,0.04361081734098974
0.56,0.56,0.5,9.432016056618942e-10,38.58164675532078,0.01663344396310309,0.04645644486680133
0.57,0.57,0.5,9.432016056618942e-10,38.58164675532078,0.01681224391064424,0.044740906524689476
0.58,0.58,0.5,9.432016056618942e-10,38.58164675532078,0.017247506442689145,0.042996077897836216
0.59,0.59,0.5,9.432016056618942e-10,38.58164675532078,0.016200604372358696,0.04498040100110399
0.6,0.6,0.5,9.432016056618942e-10,38.58164675532078,0.017292702040883127,0.0466763724442167
0.61,0.61,0.5,9.432016056618942e-10,38.58164675532078,0.01555030453070097,0.04534228641367467
0.62,0.62,0.5,9.432016056618942e-10,38.58164675532078,0.01645946924256016,0.046138116623576336
0.63,0.63,0.5,9.432016056618942e-10,38.58164675532078,0.016447621920162633,0.04520790002337525
0.64,0.64,0.5,9.432016056618942e-10,38.58164675532078,0.015582709978460826,0.04811005671499582
0.65,0.65,0.5,9.432016056618942e-10,38.58164675532078,0.016910415460829185,0.044563013508686966
0.66,0.66,0.5,9.432016056618942e-10,38.58164675532078,0.015797418056235572,0.047087374414808876
0.67,0.67,0.5,9.432016056618942e-10,38.58164675532078,0.01803024890172206,0.04452267472516355
0.68,0.68,0.5,9.432016056618942e-10,38.58164675532078,0.01638123488584992,0.04269948408539645
0.69,0.69,0.5,9.432016056618942e-10,38.58164675532078,0.016297034503905905,0.047193829585485375
0.7,0.7,0.5,9.432016056618942e-10,38.58164675532078,0.017518663132304498,0.04391703422201019
0.71,0.71,0.5,9.432016056618942e-10,38.58164675532078,0.016395968007403196,0.04486338278779777
0.72,0.72,0.5,9.432016056618942e-10,38.58164675532078,0.01626681687307942,0.04383011342729348
0.73,0.73,0.5,9.432016056618942e-10,38.58164675532078,0.017115324590679323,0.046170608775145124
0.74,0.74,0.5,9.432016056618942e-10,38.58164675532078,0.01686862451965577,0.04525951439352741
0.75,0.75,0.5,9.432016056618942e-10,38.58164675532078,0.017216370204463743,0.047057573495592024
0.76,0.76,0.5,9.432016056618942e-10,38.58164675532078,0.016818252225710838,0.045644252493424575
0.77,0.77,0.5,9.432016056618942e-10,38.58164675532078,0.015849111927338542,0.04882951973967448
0.78,0.78,0.5,9.432016056618942e-10,38.58164675532078,0.01619151669698954,0.0476274333982159
0.79,0.79,0.5,9.432016056618942e-10,38.58164675532078,0.015828674200874374,0.04736846440338475
0.8,0.8,0.5,9.432016056618942e-10,38.58164675532078,0.01614157684593185,0.04609213964373644
0.81,0.81,0.5,9.432016056618942e-10,38.58164675532078,0.01716420857845951,0.046330102932861036
0.82,0.82,0.5,9.432016056618942e-10,38.58164675532078,0.01658086480905351,0.048199410533552825
0.83,0.83,0.5,9.432016056618942e-10,38.58164675532078,0.01698587666177775,0.04375061114215016
0.84,0.84,0.5,9.432016056618942e-10,38.58164675532078,0.016810788877517923,0.0465518131068925
0.85,0.85,0.5,9.432016056618942e-10,38.58164675532078,0.01699145345299067,0.04549784131363336
0.86,0.86,0.5,9.432016056618942e-10,38.58164675532078,0.017725214959021685,0.045236710765044166
0.87,0.87,0.5,9.432016056618942e-10,38.58164675532078,0.01635448024496287,0.043621155654634404
0.88,0.88,0.5,9.432016056618942e-10,38.58164675532078,0.018325403849083658,0.04440078031902146
0.89,0.89,0.5,9.432016056618942e-10,38.58164675532078,0.01722070813364054,0.04526551026693222
0.9,0.9,0.5,9.432016056618942e-10,38.58164675532078,0.015845720932356117,0.044968457905536496
0.91,0.91,0.5,9.432016056618942e-10,38.58164675532078,0.015736556155466788,0.04695860263021976
0.92,0.92,0.5,9.432016056618942e-10,38.58164675532078,0.01676685531312188,0.046352144489516335
0.93,0.93,0.5,9.432016056618942e-10,38.58164675532078,0.016855276385456704,0.04162153869019519
0.94,0.94,0.5,9.432016056618942e-10,38.58164675532078,0.016643965413373124,0.044598431745788064
0.95,0.95,0.5,9.432016056618942e-10,38.58164675532078,0.016774561175235077,0.04776187523258193
