m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,38.58164675532078,0.00024701672011201534,0.0011733428055722497
0.01,0.01,0.5,9.432016056618942e-10,38.58164675532078,0.0002239642430125462,0.0012761330582705096
0.02,0.02,0.5,9.432016056618942e-10,38.58164675532078,0.00018492676655277728,0.0011105648252132832
0.03,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.0002322023398595654,0.001175526535246668
0.04,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.00022468262352228039,0.0010969285037381483
0.05,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.00025343394487555373,0.0011764343345082714
0.06,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.00026158132754210026,0.0010161992788773496
0.07,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.0003325451466479975,0.001176834005828997
0.08,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.0002816126115485326,0.001125841764977301
0.09,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.00023684946326401138,0.001244364919935487
0.1,0.1,0.5,9.432016056618942e-10,38.58164675532078,0.0002705606220403586,0.0013290934623652348
0.11,0.11,0.5,9.432016056618942e-10,38.58164675532078,0.0002995048812847348,0.0011603633724046338
0.12,0.12,0.5,9.432016056618942e-10,38.58164675532078,0.0002767654146537678,0.0011069851029775054
0.13,0.13,0.5,9.432016056618942e-10,38.58164675532078,0.00023145783511037017,0.0012375949316611276
0.14,0.14,0.5,9.432016056618942e-10,38.58164675532078,0.00027327930504617037,0.001135900846480648
0.15,0.15,0.5,9.432016056618942e-10,38.58164675532078,0.00021757245566803217,0.001115989396100393
0.16,0.16,0.5,9.432016056618942e-10,38.58164675532078,0.0002613374974197236,0.0011753291020914754
0.17,0.17,0.5,9.432016056618942e-10,38.58164675532078,0.0002454473393434019,0.0012252965390249445
0.18,0.18,0.5,9.432016056618942e-10,38.58164675532078,0.00022497040947194616,0.0014134510158347016
0.19,0.19,0.5,9.432016056618942e-10,38.58164675532078,0.00023809115169323375,0.00122621181083949
0.2,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.00021403357750063502,0.0011621935248021986
0.21,0.21,0.5,9.432016056618942e-10,38.58164675532078,0.0003065726144179069,0.0011945481494876596
