m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.58970542293311,38.51137292467195,0.008058667612324655,0.07027383064882997
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.58043148175377,38.54410211414484,0.0012152735670127868,0.03754464117594125
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.54853673636301,38.632497617135705,0.033110018957771103,0.050850861814922155
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.56446126592161,38.620863201743596,0.01718548939917497,0.03921644642281308
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.57831927848395,38.630458914373754,0.003327476836830101,0.04881215905297154
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.61032274127503,38.576430039697804,0.028675985954244254,0.0052167156229785405
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.5813370268268,38.54606133102621,0.0003097284939812539,0.0355854242945739
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.61709441206672,38.4742472145239,0.035447656745937195,0.10739954079688374
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.552600261723576,38.55023291953236,0.02904649359720679,0.031413835788420386
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.5831157352449,38.46485251091186,0.001468979924119651,0.11679424440892205
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.5761086376739,38.59792932124942,0.00553811764688561,0.016282565928634085
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.60690629128957,38.65908259174031,0.02525953596878594,0.07743583641952512
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.610978355290655,38.637964707402,0.029331599969872002,0.056317952081215594
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.583589889416466,38.64761765773916,0.001943134095682808,0.06597090241837833
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.55602020911773,38.61046950290448,0.025626546203049827,0.028822747583696184
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.60829365941737,38.525496655622085,0.02664690409658732,0.056150099698697886
0.0,0.0,38.58164675532078,38.58164675532078,1256257,32561,0.5,9.432016056618942e-10,38.58514822224963,38.68199988349101,0.0035014669288457867,0.10035312817022657
