m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,9.432016056618942e-10,38.58164675532078,0.00022877578358759573,0.0010861531369269135
0.01,0.01,0.5,9.432016056618942e-10,38.58164675532078,0.00026709905587620647,0.0012481021049144247
0.02,0.02,0.5,9.432016056618942e-10,38.58164675532078,0.00032074103268620984,0.001305374532449369
0.03,0.03,0.5,9.432016056618942e-10,38.58164675532078,0.00029311958997432135,0.0013063823568427789
0.04,0.04,0.5,9.432016056618942e-10,38.58164675532078,0.0002700823859662496,0.0013965076452797979
0.05,0.05,0.5,9.432016056618942e-10,38.58164675532078,0.00035511515012583497,0.001649172886082409
0.06,0.06,0.5,9.432016056618942e-10,38.58164675532078,0.0003846451470929987,0.0013885051200027518
0.07,0.07,0.5,9.432016056618942e-10,38.58164675532078,0.000376589244865536,0.00150138302363496
0.08,0.08,0.5,9.432016056618942e-10,38.58164675532078,0.0004738106118438665,0.0015134913486773525
0.09,0.09,0.5,9.432016056618942e-10,38.58164675532078,0.00044766524701848014,0.001622028972562825
0.1,0.1,0.5,9.432016056618942e-10,38.58164675532078,0.0005352886806692993,0.0016297410633713497
0.11,0.11,0.5,9.432016056618942e-10,38.58164675532078,0.000525252809096777,0.0019426523700733303
0.12,0.12,0.5,9.432016056618942e-10,38.58164675532078,0.0005761000399156944,0.001787676046735591
0.13,0.13,0.5,9.432016056618942e-10,38.58164675532078,0.000590104780742762,0.0016951782705515812
0.14,0.14,0.5,9.432016056618942e-10,38.58164675532078,0.0006104674572454851,0.002057785227413332
0.15,0.15,0.5,9.432016056618942e-10,38.58164675532078,0.0006674523094401622,0.002038333054909268
0.16,0.16,0.5,9.432016056618942e-10,38.58164675532078,0.0008233041713449383,0.0020470890916336423
0.17,0.17,0.5,9.432016056618942e-10,38.58164675532078,0.0006318059745566015,0.002323513074198327
0.18,0.18,0.5,9.432016056618942e-10,38.58164675532078,0.0009028020552332302,0.002181839910600652
0.19,0.19,0.5,9.432016056618942e-10,38.58164675532078,0.000816724930303432,0.0022309567601047084
0.2,0.2,0.5,9.432016056618942e-10,38.58164675532078,0.000813675433083027,0.0025930126967913685
0.21,0.21,0.5,9.432016056618942e-10,38.58164675532078,0.0010077357243862938,0.002445425651362135
0.22,0.22,0.5,9.432016056618942e-10,38.58164675532078,0.000801980152221875,0.002134236742846973
0.23,0.23,0.5,9.432016056618942e-10,38.58164675532078,0.0009219490421878465,0.0028398506608681034
0.24,0.24,0.5,9.432016056618942e-10,38.58164675532078,0.001049691854419816,0.0027511185498242797
0.25,0.25,0.5,9.432016056618942e-10,38.58164675532078,0.0010687111457933782,0.0026964815175890525
0.26,0.26,0.5,9.432016056618942e-10,38.58164675532078,0.0012430646104969248,0.0032651418556785268
