m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,38.58164675532078,-0.0007977757296700992,0.0009544569324097044,-9.840611323179774e-05,0.0020185861465938024,-0.0013824055847131995,-0.00047202909547409966
0.01,0.01,38.58164675532078,-0.00015610388734029965,-0.0021151528027720037,-0.0008574970486174976,-0.00027213577025750335,-0.00028429936342810186,-0.00011651671333470087
0.02,0.02,38.58164675532078,-0.0038645866138128024,-0.002264403642801796,-0.0026391526382118016,0.001362833742713801,-0.0042679327558313995,-3.8073822313994254e-05
0.03,0.03,38.58164675532078,-0.003313389339501399,-0.0006203455611500028,-0.0051166618001285,0.001574464886521,-0.002671609463147699,0.000345335385629697
0.04,0.04,38.58164675532078,-0.004802575944492401,-0.004800454933469901,-0.00408299083468,-0.002204393939483504,-0.004911957725761799,-0.002584003097221295
0.05,0.05,38.58164675532078,-0.0038835241040938995,-0.0017544703172074003,-0.0045341868141082,-0.0033117963924780974,-0.0061142934538501,0.0016733712169286971
0.06,0.06,38.58164675532078,-0.0101288420550558,-0.006914761161127596,-0.0084090028940381,-0.005670501346845699,-0.0080679424287535,-0.0038124066350234964
0.07,0.07,38.58164675532078,-0.007919139115059603,-0.004591111111342902,-0.0082498075998358,-0.006508333178689901,-0.007362360280336603,-0.0011992692995664023
0.08,0.08,38.58164675532078,-0.010633362032062898,-0.005361099573973599,-0.0095112892013192,-0.0026381954514689,-0.0094613865969179,-0.0032482372167216
0.09,0.09,38.58164675532078,-0.009204116815378499,-0.005180284036171101,-0.0088762191395504,-0.006650036009492599,-0.007949820056811802,0.0008180336127375024
0.1,0.1,38.58164675532078,-0.010867295242343502,-0.011019493378707397,-0.0086545546206281,-0.0022698998519615973,-0.0106968360431005,-0.011169489540885896
0.11,0.11,38.58164675532078,-0.0139088866798112,-0.011837467181610994,-0.0135752466065917,-0.0104330123437541,-0.013728958253464502,-0.005726615008288999
0.12,0.12,38.58164675532078,-0.014165625345483001,-0.015978815726302102,-0.0131754557963513,-0.010139683165330503,-0.013458325969284798,-0.010664524554957505
0.13,0.13,38.58164675532078,-0.0143645577338939,-0.0101327566626205,-0.0133730814645752,-0.012600109551904805,-0.010575673812297199,-0.004062889240129194
0.14,0.14,38.58164675532078,-0.015900614729998,-0.016545315896065102,-0.013614434320206101,-0.010374540963676203,-0.013729916816992899,-0.012498019699522002
0.15,0.15,38.58164675532078,-0.0166247866855167,-0.012716381128250395,-0.013031187988573497,-0.009141463091605295,-0.014635792299433004,-0.003916570875313698
0.16,0.16,38.58164675532078,-0.0187837511178326,-0.012305159639177804,-0.017861264545664002,-0.008154983736471805,-0.014999653491184997,-0.004275583040722904
0.17,0.17,38.58164675532078,-0.019706363038656596,-0.017284532272719103,-0.016346481240848497,-0.0115721960686275,-0.017891103095143697,-0.006903863435262801
0.18,0.18,38.58164675532078,-0.018067286093957798,-0.013595035723906697,-0.0166213154619225,-0.009460895825963399,-0.015485253372072096,-0.008811856798856897
0.19,0.19,38.58164675532078,-0.018794754257611204,-0.016891615675618303,-0.016134353762949003,-0.0103793752295862,-0.014053421634554603,-0.012340540157064601
0.2,0.2,38.58164675532078,-0.019081421335768296,-0.0181305692798798,-0.018445822152439,-0.013779638647763597,-0.0169445786559938,-0.009759259891317602
0.21,0.21,38.58164675532078,-0.019945333456878996,-0.015612492511424304,-0.0187731282310035,-0.0122832026524956,-0.016859125999045797,-0.007312609676662002
0.22,0.22,38.58164675532078,-0.022586785725909303,-0.021528783788733005,-0.0184401050868545,-0.013593716471713202,-0.0207826314744565,-0.013724090201158404
0.23,0.23,38.58164675532078,-0.023062379619103002,-0.01576862652371419,-0.020417424106756402,-0.009249554364233699,-0.020781295436544903,-0.00920818317305079
0.24,0.24,38.58164675532078,-0.0232878659540713,-0.0238557067573544,-0.0203457544166728,-0.014410875342218604,-0.0210181263991254,-0.013226447255243294
0.25,0.25,38.58164675532078,-0.020565049859433696,-0.026591650937787405,-0.0211730766773106,-0.013660918091906699,-0.0186812675587437,-0.016538151711242108
0.26,0.26,38.58164675532078,-0.0267391328127137,-0.030855454011679898,-0.0256626501206998,-0.0195542874377492,-0.0206568744794931,-0.017378379584210596
0.27,0.27,38.58164675532078,-0.025675505663703097,-0.025576759171120893,-0.023870790598227696,-0.014361818491680493,-0.019010579204936,-0.014802974423624597
0.28,0.28,38.58164675532078,-0.028000228137131798,-0.02704600523533881,-0.024669832322247297,-0.0151414934701012,-0.024428359542269698,-0.017852303269864506
0.29,0.29,38.58164675532078,-0.0326971406638991,-0.03154904599239731,-0.0284634843545136,-0.01958594728137051,-0.027020178796848197,-0.024007853480873205
