m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,38.58164675532078,5.903513652831694e-05,0.00033390441531619023
0.01,0.01,0.9936587309970014,9.337695896052754e-10,38.58164675532078,5.548528950803416e-05,0.00035768257565281855
0.02,0.02,0.9872769935436304,9.243375735486561e-10,38.58164675532078,6.120159138005995e-05,0.00036615872563873665
0.03,0.03,0.9808542678008313,9.14905557492037e-10,38.58164675532078,7.40726415508179e-05,0.00035464683251915704
0.04,0.04,0.9743900238483449,9.054735414354184e-10,38.58164675532078,7.143287456339359e-05,0.0003518727295053824
0.05,0.05,0.9678837214223395,8.960415253787996e-10,38.58164675532078,6.358269844316576e-05,0.0003767278232453651
0.06,0.06,0.9613348096444502,8.866095093221806e-10,38.58164675532078,6.74613950112996e-05,0.0003910562011251859
0.07,0.07,0.9547427267418882,8.771774932655613e-10,38.58164675532078,7.744690327441885e-05,0.0003797103462549444
0.08,0.08,0.9481068997582622,8.677454772089426e-10,38.58164675532078,7.501768693364594e-05,0.00041559428936175665
0.09,0.09,0.9414267442547409,8.583134611523236e-10,38.58164675532078,7.15111206758694e-05,0.0003707448840810883
0.1,0.1,0.9347016640011662,8.488814450957049e-10,38.58164675532078,7.581235956526455e-05,0.0004207427803052828
0.11,0.11,0.9279310506567138,8.394494290390861e-10,38.58164675532078,5.168615444543644e-05,0.0003779119821385745
0.12,0.12,0.9211142834396617,8.300174129824673e-10,38.58164675532078,8.034845759535283e-05,0.00043683592791939643
0.13,0.13,0.9142507287858314,8.20585396925848e-10,38.58164675532078,7.89320988940949e-05,0.0003831649060090463
0.14,0.14,0.9073397399952268,8.111533808692291e-10,38.58164675532078,6.329921244896821e-05,0.00037811320129355394
0.15,0.15,0.9003806568663714,8.017213648126102e-10,38.58164675532078,8.354097525865308e-05,0.0004571134687860458
0.16,0.16,0.89337280531784,7.922893487559912e-10,38.58164675532078,7.87296592099729e-05,0.00041787385108917123
0.17,0.17,0.8863154969964301,7.828573326993724e-10,38.58164675532078,8.313164325314561e-05,0.00042290723209502845
0.18,0.18,0.8792080288714119,7.734253166427533e-10,38.58164675532078,9.401467248805501e-05,0.0004943068178699882
0.19,0.19,0.8720496828142519,7.639933005861343e-10,38.58164675532078,9.189735517707175e-05,0.0004276663742541564
0.2,0.2,0.86483972516319,7.545612845295155e-10,38.58164675532078,8.81990228062455e-05,0.0004859358849148367
0.21,0.21,0.8575774062720013,7.451292684728968e-10,38.58164675532078,9.582662681225175e-05,0.0004671612208005834
0.22,0.22,0.8502619600422529,7.356972524162776e-10,38.58164675532078,0.00010668346324370507,0.0005069461079084863
0.23,0.23,0.8428926034383277,7.262652363596585e-10,38.58164675532078,8.268890393908292e-05,0.00047475222297822215
0.24,0.24,0.8354685359844455,7.168332203030395e-10,38.58164675532078,8.330213196329959e-05,0.0005699452662988226
0.25,0.25,0.8279889392428699,7.074012042464206e-10,38.58164675532078,7.36465133493758e-05,0.0005006170330141639
0.26,0.26,0.8204529762724546,6.979691881898017e-10,38.58164675532078,8.526738666628598e-05,0.0004834253154265949
0.27,0.27,0.8128597910666385,6.885371721331829e-10,38.58164675532078,9.763336010603323e-05,0.0005328887343690847
0.28,0.28,0.8052085079699279,6.791051560765638e-10,38.58164675532078,9.947967544588285e-05,0.0004797564746901532
0.29,0.29,0.797498231071897,6.696731400199447e-10,38.58164675532078,9.674853733581652e-05,0.0005062124026561736
0.3,0.3,0.7897280435776313,6.602411239633259e-10,38.58164675532078,8.844874620160415e-05,0.0004936267889161629
0.31,0.31,0.7818970071535288,6.508091079067069e-10,38.58164675532078,8.959980058271258e-05,0.0005431261870201593
