m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,9.432016056618942e-10,38.58164675532078,7.537307855773231e-05,0.0003859400030036384
0.01,0.01,1.0,9.432016056618942e-10,38.58164675532078,6.226292502638091e-05,0.00035403994743103294
0.02,0.02,1.0,9.432016056618942e-10,38.58164675532078,5.9265328617409606e-05,0.00032039227496307604
0.03,0.03,1.0,9.432016056618942e-10,38.58164675532078,6.195942215509079e-05,0.00039167677286764584
0.04,0.04,1.0,9.432016056618942e-10,38.58164675532078,5.1509213008544875e-05,0.0003855271241124046
0.05,0.05,1.0,9.432016056618942e-10,38.58164675532078,6.556268591601812e-05,0.00033951948290090187
0.06,0.06,1.0,9.432016056618942e-10,38.58164675532078,6.300070113882544e-05,0.00040223274207472023
0.07,0.07,1.0,9.432016056618942e-10,38.58164675532078,4.9111602851567926e-05,0.0003562265687958441
0.08,0.08,1.0,9.432016056618942e-10,38.58164675532078,4.58130323850137e-05,0.0004158742934405234
0.09,0.09,1.0,9.432016056618942e-10,38.58164675532078,5.4791326961464553e-05,0.0003464952361956015
0.1,0.1,1.0,9.432016056618942e-10,38.58164675532078,7.820797042596603e-05,0.0003444264687033687
0.11,0.11,1.0,9.432016056618942e-10,38.58164675532078,5.499819422652883e-05,0.00032480436053335874
0.12,0.12,1.0,9.432016056618942e-10,38.58164675532078,4.772227905727822e-05,0.00034764826697862046
0.13,0.13,1.0,9.432016056618942e-10,38.58164675532078,6.872225924805383e-05,0.0003509275098001798
0.14,0.14,1.0,9.432016056618942e-10,38.58164675532078,6.376187794348144e-05,0.000348926371556796
0.15,0.15,1.0,9.432016056618942e-10,38.58164675532078,6.662984906409909e-05,0.00034797661156958946
0.16,0.16,1.0,9.432016056618942e-10,38.58164675532078,6.444842501932689e-05,0.00033642970765677846
0.17,0.17,1.0,9.432016056618942e-10,38.58164675532078,6.427619465092767e-05,0.00032293531521087183
0.18,0.18,1.0,9.432016056618942e-10,38.58164675532078,4.881689191825275e-05,0.00033104717259011657
0.19,0.19,1.0,9.432016056618942e-10,38.58164675532078,5.4289134041415176e-05,0.00041156334570733493
0.2,0.2,1.0,9.432016056618942e-10,38.58164675532078,5.045934794220297e-05,0.0003958779351668016
0.21,0.21,1.0,9.432016056618942e-10,38.58164675532078,6.552409681905584e-05,0.0003314427904914722
0.22,0.22,1.0,9.432016056618942e-10,38.58164675532078,7.919106364040724e-05,0.0003418596374376989
0.23,0.23,1.0,9.432016056618942e-10,38.58164675532078,6.452575465479472e-05,0.00029367938716962284
0.24,0.24,1.0,9.432016056618942e-10,38.58164675532078,6.967558649611293e-05,0.0003580846669520983
0.25,0.25,1.0,9.432016056618942e-10,38.58164675532078,7.134185988526142e-05,0.00033183615177820037
0.26,0.26,1.0,9.432016056618942e-10,38.58164675532078,7.212374367441083e-05,0.00038177924491219047
0.27,0.27,1.0,9.432016056618942e-10,38.58164675532078,6.945120453283179e-05,0.00037126445444773514
0.28,0.28,1.0,9.432016056618942e-10,38.58164675532078,6.973434732232562e-05,0.0003391077487909518
0.29,0.29,1.0,9.432016056618942e-10,38.58164675532078,8.070310622885676e-05,0.00039289393468158274
0.3,0.3,1.0,9.432016056618942e-10,38.58164675532078,5.870407710509894e-05,0.0003316028923212317
0.31,0.31,1.0,9.432016056618942e-10,38.58164675532078,7.24785166712497e-05,0.00032902173498093894
0.32,0.32,1.0,9.432016056618942e-10,38.58164675532078,6.599993113699364e-05,0.000387790344231793
0.33,0.33,1.0,9.432016056618942e-10,38.58164675532078,5.49623480486349e-05,0.0003730149825724201
0.34,0.34,1.0,9.432016056618942e-10,38.58164675532078,6.292457680063117e-05,0.0004006901037163882
0.35,0.35,1.0,9.432016056618942e-10,38.58164675532078,6.819255616416918e-05,0.00034058252677133356
0.36,0.36,1.0,9.432016056618942e-10,38.58164675532078,6.918182572227445e-05,0.00033748137835338534
0.37,0.37,1.0,9.432016056618942e-10,38.58164675532078,6.124688041905942e-05,0.00036135988251948073
0.38,0.38,1.0,9.432016056618942e-10,38.58164675532078,5.993239646008348e-05,0.0003864587007716705
0.39,0.39,1.0,9.432016056618942e-10,38.58164675532078,7.648497889630722e-05,0.00031345027384408315
0.4,0.4,1.0,9.432016056618942e-10,38.58164675532078,5.408827419756431e-05,0.0003593041244130395
0.41,0.41,1.0,9.432016056618942e-10,38.58164675532078,6.181836243294276e-05,0.00040083256491707395
0.42,0.42,1.0,9.432016056618942e-10,38.58164675532078,6.310844900218283e-05,0.00038436360741312737
0.43,0.43,1.0,9.432016056618942e-10,38.58164675532078,5.0812164638344726e-05,0.00035686851778520885
0.44,0.44,1.0,9.432016056618942e-10,38.58164675532078,5.281176568297736e-05,0.0003508069228327555
