m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,38.58164675532078,-6.233834023233261e-06,-3.126701459999783e-07,-2.7336292262511363e-06,-1.702232467849996e-05,8.874034926094037e-06,-1.2715116343199996e-05
0.01,0.01,38.58164675532078,-1.6418537952854888e-05,-3.9559904786299965e-05,-6.62312405561621e-06,-4.120088130679997e-05,-1.6540183266327435e-05,-9.57815219929998e-06
0.02,0.02,38.58164675532078,-3.4435950098996674e-05,-0.00016724695520159996,-2.7152539017106855e-05,-9.23031038238e-05,-4.360653675434926e-05,-0.00013091984656839997
0.03,0.03,38.58164675532078,-4.627619401982328e-05,-0.00018304578197970002,-4.3183009692623274e-05,-0.00010404561309830003,-4.1783809745978064e-05,-0.0001345346473478
0.04,0.04,38.58164675532078,-5.486746972511546e-05,-0.00010334099897849996,-9.563967862621545e-05,-0.0001151920326729,-3.726978477739849e-05,-0.00015212556791679998
0.05,0.05,38.58164675532078,-0.00011235015696341955,-0.00024439366556640004,-9.622269220391956e-05,-0.0001111539863515,-0.00011985706021227495,-0.00016140994708090003
0.06,0.06,38.58164675532078,-0.0001244453423440572,-0.00022131898758590002,-0.0001068736969822572,-0.0001717184422126,-0.00013338807148484283,-0.00018896151842550003
0.07,0.07,38.58164675532078,-0.00016723820901758267,-0.00023691885996550004,-0.00015395078291188268,-0.0002507373692366,-0.00017397936682106375,-0.00016918370925730002
0.08,0.08,38.58164675532078,-0.00016789448701031047,-0.0002594782584033,-0.00016800077079251046,-0.0002868163730694,-0.00017835948565041366,-0.00020154226371229997
0.09,0.09,38.58164675532078,-0.0001514025892799692,-0.0002732949388564,-0.00017847464327466918,-0.00020172228156119996,-0.00015001037826828788,-0.000249002943886
0.1,0.1,38.58164675532078,-0.0002295714859966614,-0.0003587209112494,-0.00023333023129786142,-0.00023760734624149997,-0.00020447219405065643,-0.0002826366788942
0.11,0.11,38.58164675532078,-0.0002529626080409525,-0.00028273036830269994,-0.0002270398913683525,-0.00013853164205289995,-0.00024286716008842084,-0.00027608457741419996
0.12,0.12,38.58164675532078,-0.0002963903549242445,-0.0004072044261469,-0.00027935175784304456,-0.000292735900236,-0.000280035052711183,-0.0003634221664243
0.13,0.13,38.58164675532078,-0.0002970758001825355,-0.0004386724699913,-0.0002815635262710355,-0.0003889252160185,-0.00030192459246835407,-0.00039946066048619994
0.14,0.14,38.58164675532078,-0.00027708777171739515,-0.0005534911333519999,-0.0002681879463912951,-0.00031553311164830004,-0.000288701668131639,-0.00038409724195359997
0.15,0.15,38.58164675532078,-0.00043836468517597944,-0.0006801913105484001,-0.0003681871204000794,-0.00042591337340539996,-0.000424348009168059,-0.0006064186493540001
0.16,0.16,38.58164675532078,-0.00042080312562153735,-0.0005186222768902001,-0.0003753370595193373,-0.0004365829672569,-0.00039218441998385294,-0.0003996989480884
