m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,9.432016056618942e-10,38.58164675532078,0.004156580623474909,0.013726786762132107
0.01,0.01,2.0,9.432016056618942e-10,38.58164675532078,0.004044021912560893,0.013415098363156857
0.02,0.02,2.0,9.432016056618942e-10,38.58164675532078,0.004207061999315499,0.013572188845966067
0.03,0.03,2.0,9.432016056618942e-10,38.58164675532078,0.004008519153568429,0.013529750937551712
0.04,0.04,2.0,9.432016056618942e-10,38.58164675532078,0.004030700677241725,0.012335297713998074
0.05,0.05,2.0,9.432016056618942e-10,38.58164675532078,0.004179513389214335,0.01325987824239094
0.06,0.06,2.0,9.432016056618942e-10,38.58164675532078,0.003979472230858377,0.01359268621279125
0.07,0.07,2.0,9.432016056618942e-10,38.58164675532078,0.004139775972016381,0.013928620666756899
0.08,0.08,2.0,9.432016056618942e-10,38.58164675532078,0.0041081908386585726,0.01313181878757186
0.09,0.09,2.0,9.432016056618942e-10,38.58164675532078,0.0040549111210268765,0.0131528769992062
0.1,0.1,2.0,9.432016056618942e-10,38.58164675532078,0.004376834140650487,0.01350601729545066
0.11,0.11,2.0,9.432016056618942e-10,38.58164675532078,0.004023700867722283,0.012655687815457298
0.12,0.12,2.0,9.432016056618942e-10,38.58164675532078,0.00394660745420461,0.013664240048227172
0.13,0.13,2.0,9.432016056618942e-10,38.58164675532078,0.003961986660827094,0.014223241492598262
0.14,0.14,2.0,9.432016056618942e-10,38.58164675532078,0.0039042020020894058,0.013804872164816956
0.15,0.15,2.0,9.432016056618942e-10,38.58164675532078,0.004225237675732771,0.013319921816630824
0.16,0.16,2.0,9.432016056618942e-10,38.58164675532078,0.004096679387194712,0.013521471887963371
0.17,0.17,2.0,9.432016056618942e-10,38.58164675532078,0.004256638896852039,0.012939337857515951
0.18,0.18,2.0,9.432016056618942e-10,38.58164675532078,0.00397840450779978,0.013633215408072587
0.19,0.19,2.0,9.432016056618942e-10,38.58164675532078,0.004252466025115936,0.013783756702503099
0.2,0.2,2.0,9.432016056618942e-10,38.58164675532078,0.004086032039248025,0.013427088226398225
0.21,0.21,2.0,9.432016056618942e-10,38.58164675532078,0.004149749182615835,0.012709873054199348
0.22,0.22,2.0,9.432016056618942e-10,38.58164675532078,0.004283888533068293,0.013713304907073138
0.23,0.23,2.0,9.432016056618942e-10,38.58164675532078,0.0038866943022299693,0.014103046445114217
0.24,0.24,2.0,9.432016056618942e-10,38.58164675532078,0.004288163600220585,0.014667682695252992
0.25,0.25,2.0,9.432016056618942e-10,38.58164675532078,0.004179722698519526,0.013292153892991522
0.26,0.26,2.0,9.432016056618942e-10,38.58164675532078,0.004082126602285285,0.013924413027666815
0.27,0.27,2.0,9.432016056618942e-10,38.58164675532078,0.004140441478505451,0.013444474411393216
0.28,0.28,2.0,9.432016056618942e-10,38.58164675532078,0.004191161501251329,0.01421041404990325
0.29,0.29,2.0,9.432016056618942e-10,38.58164675532078,0.0041944858177169805,0.013404284718038085
0.3,0.3,2.0,9.432016056618942e-10,38.58164675532078,0.00404430423680779,0.013892514027751815
0.31,0.31,2.0,9.432016056618942e-10,38.58164675532078,0.004074630037714627,0.013603327563859778
0.32,0.32,2.0,9.432016056618942e-10,38.58164675532078,0.004249086008579439,0.013946419900440574
0.33,0.33,2.0,9.432016056618942e-10,38.58164675532078,0.004035171468605029,0.013716549459280742
0.34,0.34,2.0,9.432016056618942e-10,38.58164675532078,0.00400765911683439,0.013680738349310061
0.35,0.35,2.0,9.432016056618942e-10,38.58164675532078,0.004025335864681651,0.013727575282265874
0.36,0.36,2.0,9.432016056618942e-10,38.58164675532078,0.004087821953958297,0.014048147969665224
0.37,0.37,2.0,9.432016056618942e-10,38.58164675532078,0.004084974913934218,0.013824424002928182
0.38,0.38,2.0,9.432016056618942e-10,38.58164675532078,0.004028695851820928,0.0133601025275037
0.39,0.39,2.0,9.432016056618942e-10,38.58164675532078,0.00405546292569349,0.013480375453292226
0.4,0.4,2.0,9.432016056618942e-10,38.58164675532078,0.00402220418136119,0.013461973319198066
0.41,0.41,2.0,9.432016056618942e-10,38.58164675532078,0.003961024649820615,0.013579113805828144
0.42,0.42,2.0,9.432016056618942e-10,38.58164675532078,0.004211448052480975,0.013462097252607491
0.43,0.43,2.0,9.432016056618942e-10,38.58164675532078,0.0041259601614355434,0.013557938201015717
0.44,0.44,2.0,9.432016056618942e-10,38.58164675532078,0.004402573248876564,0.013175123885375286
0.45,0.45,2.0,9.432016056618942e-10,38.58164675532078,0.004120709760081212,0.01374983120803512
0.46,0.46,2.0,9.432016056618942e-10,38.58164675532078,0.004021004931114305,0.013817898060979886
0.47,0.47,2.0,9.432016056618942e-10,38.58164675532078,0.004368887453241086,0.013351464057969423
0.48,0.48,2.0,9.432016056618942e-10,38.58164675532078,0.004017996240796762,0.014023350173069816
0.49,0.49,2.0,9.432016056618942e-10,38.58164675532078,0.004180072975218124,0.0136644706470546
0.5,0.5,2.0,9.432016056618942e-10,38.58164675532078,0.004026542229024898,0.013678888154968675
0.51,0.51,2.0,9.432016056618942e-10,38.58164675532078,0.004190395807694202,0.014149824389983521
0.52,0.52,2.0,9.432016056618942e-10,38.58164675532078,0.004013470177612433,0.01397801318429147
0.53,0.53,2.0,9.432016056618942e-10,38.58164675532078,0.003765919499975766,0.013208058280244316
0.54,0.54,2.0,9.432016056618942e-10,38.58164675532078,0.004282947778677268,0.013908714236726197
0.55,0.55,2.0,9.432016056618942e-10,38.58164675532078,0.004078415322898735,0.013391515138102009
0.56,0.56,2.0,9.432016056618942e-10,38.58164675532078,0.004397898642368006,0.013402431180844488
0.57,0.57,2.0,9.432016056618942e-10,38.58164675532078,0.0039901649399459276,0.013546370459757298
0.58,0.58,2.0,9.432016056618942e-10,38.58164675532078,0.00443291129728226,0.013984535003000132
0.59,0.59,2.0,9.432016056618942e-10,38.58164675532078,0.004127738908240275,0.013268268445185541
0.6,0.6,2.0,9.432016056618942e-10,38.58164675532078,0.003799609499079409,0.013321015677826523
0.61,0.61,2.0,9.432016056618942e-10,38.58164675532078,0.004029438311436451,0.013662287305629833
0.62,0.62,2.0,9.432016056618942e-10,38.58164675532078,0.004076945991463603,0.013416606310985799
0.63,0.63,2.0,9.432016056618942e-10,38.58164675532078,0.004400978039590995,0.013544446898513186
0.64,0.64,2.0,9.432016056618942e-10,38.58164675532078,0.0043463904613431055,0.013590251414705904
0.65,0.65,2.0,9.432016056618942e-10,38.58164675532078,0.004155951228516074,0.013619125451330589
0.66,0.66,2.0,9.432016056618942e-10,38.58164675532078,0.004219604047274003,0.013837521363976507
0.67,0.67,2.0,9.432016056618942e-10,38.58164675532078,0.0040774823167768655,0.01342695131609328
0.68,0.68,2.0,9.432016056618942e-10,38.58164675532078,0.0041751951503884045,0.013395327577944541
0.69,0.69,2.0,9.432016056618942e-10,38.58164675532078,0.004167353672520264,0.014248609241795862
0.7,0.7,2.0,9.432016056618942e-10,38.58164675532078,0.004002417923522288,0.012908031629267996
0.71,0.71,2.0,9.432016056618942e-10,38.58164675532078,0.003878069970966095,0.01390718802867704
0.72,0.72,2.0,9.432016056618942e-10,38.58164675532078,0.004405009579272814,0.01307272308806138
0.73,0.73,2.0,9.432016056618942e-10,38.58164675532078,0.0036058430311302916,0.013543576468044336
0.74,0.74,2.0,9.432016056618942e-10,38.58164675532078,0.004239817650914759,0.01370042858948885
0.75,0.75,2.0,9.432016056618942e-10,38.58164675532078,0.004001701262205117,0.013365604160022413
0.76,0.76,2.0,9.432016056618942e-10,38.58164675532078,0.004111842477853102,0.01313579204711229
